method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Daniel_Pronk_20260316_014417,0.0031970780752355044,-0.01465720347338706,0.16747275567501463,0.08287899396311595,0.18764222996503516,0.1912699354528241
WO_HARD,Daniel_Pronk_20260321_011710,0.13087405050372602,-0.01465720347338706,0.7472445639437092,0.08287899396311595,0.19205880272708342,0.1912699354528241
WO_RL_COMPLETION,Daniel_Pronk_20260321_162411,-0.014341649376865329,-0.01465720347338706,0.08432414129607574,0.08287899396311595,0.19131062134031265,0.1912699354528241
WO_REGIME_SPLIT,Daniel_Pronk_20260321_225234,-0.009691980674830236,-0.01465720347338706,0.11430264586929001,0.08287899396311595,0.18639132779780263,0.1912699354528241
