date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT
2025-04-04 00:00:00,1.0,1.0,1.0,1.0
2025-04-07 00:00:00,0.9864169242310163,0.9929786724941276,1.0095666160403811,0.990215494373996
2025-04-08 00:00:00,0.9749790225039112,0.981025142915372,0.9978602843082508,0.9787335466953956
2025-04-09 00:00:00,1.0715789333837509,1.0706380781573797,1.0967272468887934,1.075705451940162
2025-04-10 00:00:00,1.0391539423190312,1.038816773207125,1.0635412910315702,1.0431555962265104
2025-04-11 00:00:00,1.0648339130997544,1.062804044029474,1.0896673639662569,1.068400345030013
2025-04-14 00:00:00,1.0733096710828796,1.0706114112579146,1.0982775372357327,1.0765393921321644
2025-04-15 00:00:00,1.0686832966285933,1.0644229125038294,1.0933073533557078,1.071683687455717
2025-04-16 00:00:00,1.0393775414839588,1.040538735235125,1.0640163568243763,1.0428135558663485
2025-04-17 00:00:00,1.0390990309151946,1.0394430661441312,1.0633388603389624,1.0421052796010466
2025-04-21 00:00:00,1.0162765669278315,1.0169740911894838,1.03989817043894,1.01920118180595
2025-04-22 00:00:00,1.0453043418454524,1.044093928383229,1.069608760480615,1.0481308726408376
2025-04-23 00:00:00,1.065379664603136,1.0620392992975918,1.0900612135682468,1.068169398260125
2025-04-24 00:00:00,1.0500175814556134,1.0613012125571728,1.0904191523187796,1.0527670889642893
2025-04-25 00:00:00,1.0727556382631396,1.0673539405543866,1.1140321022991673,1.0755646861633568
2025-04-28 00:00:00,1.0707055105391727,1.0667378069144764,1.1119030917241115,1.073509190108735
2025-04-29 00:00:00,1.0737825679701274,1.071284126666898,1.1150985452238964,1.076594304921452
2025-04-30 00:00:00,1.0639557295606472,1.0700975701797502,1.10489359913758,1.0667417345942685
2025-05-01 00:00:00,1.094821074528894,1.0737983266292228,1.136946551288767,1.0976879015404009
2025-05-02 00:00:00,1.1278207112108982,1.0935777112041665,1.1712159163861935,1.1307739489172766
2025-05-05 00:00:00,1.121509143939393,1.080038286740676,1.164313986867428,1.1195320857508524
2025-05-06 00:00:00,1.1251284580179428,1.0797129295111625,1.166007992124359,1.1219889204145477
2025-05-07 00:00:00,1.1479352810012509,1.0847837085596408,1.1703924950346638,1.1412006501073066
2025-05-08 00:00:00,1.164569281355544,1.0911060495470928,1.1846174993036704,1.156304660393032
2025-05-09 00:00:00,1.1682842897860486,1.0911540363679928,1.1890995701207778,1.1603620165111057
2025-05-12 00:00:00,1.2294447910977109,1.120884198433856,1.2545464741909758,1.2227836864501642
2025-05-13 00:00:00,1.2373240714999385,1.126018809303797,1.2639293046485018,1.2313233590305253
2025-05-14 00:00:00,1.239280184310087,1.131799864121057,1.2643379853818022,1.2324380699392423
2025-05-15 00:00:00,1.224568544271548,1.1333829069963015,1.252121827262651,1.219270287292766
2025-05-16 00:00:00,1.227362319804587,1.1396840816736946,1.2538400889724255,1.2214564366451868
2025-05-19 00:00:00,1.235278005413074,1.1417722339320184,1.2554065350077654,1.2259216731216869
2025-05-20 00:00:00,1.2280743669843064,1.1339677990799273,1.246877870520528,1.218139035675026
2025-05-21 00:00:00,1.2116928166765204,1.123473029249869,1.2267805577637885,1.200071404685276
2025-05-22 00:00:00,1.220722876019614,1.12162248552282,1.2320423052253668,1.206975339453681
2025-05-23 00:00:00,1.2081019211028845,1.1124501346383386,1.2122928772357058,1.1908063072706354
2025-05-27 00:00:00,1.231770058385939,1.1262401599710188,1.2327724738779409,1.2085072943970816
2025-05-28 00:00:00,1.222708885771019,1.1220738778028745,1.227902988376674,1.2034498504963664
2025-05-29 00:00:00,1.2133905310058466,1.1256323063248392,1.2269912038675717,1.1637316656691878
2025-05-30 00:00:00,1.2189617247422513,1.126493058241083,1.2334398635028585,1.156973815753079
2025-06-02 00:00:00,1.2221365559441555,1.1263671858259292,1.2333919476724138,1.1598558528272735
2025-06-03 00:00:00,1.2080991513475785,1.124201610313828,1.2192252641611243,1.1465338015387687
2025-06-04 00:00:00,1.2047301889319746,1.1194399176411036,1.215825274941256,1.143336523168616
2025-06-05 00:00:00,1.1991952461897983,1.116138200787462,1.2179126977486066,1.1380836439356423
2025-06-06 00:00:00,1.2279297068269177,1.133859678349755,1.2398557949340037,1.1653537817821045
2025-06-09 00:00:00,1.2277531136317277,1.13222872256581,1.2377840651625809,1.1667266377364025
2025-06-10 00:00:00,1.2459801643462525,1.1441467237863945,1.2537736157965258,1.1859947808312437
2025-06-11 00:00:00,1.2350483140253576,1.1409982343009115,1.2447814629138934,1.1755892239882002
