date,KICL,WO_BC_ANCHOR,WO_ENTRY_PEN,WO_FIDELITY,WO_HARD,WO_MKT_FACTORS,WO_REV_PEN,WO_RL_COMPLETION,WO_SOFT,WO_REGIME_SPLIT
2025-03-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-03-21,0.9834302147130236,0.9902954024533402,0.998384095677182,0.9922880436666782,0.9886007474944946,0.992393777451842,0.9896377670316024,0.991816486716167,0.9907247347890502,0.9887577831693092
2025-03-24,1.031976084433482,1.035758715702179,1.0162222586819494,1.0091359608218515,1.021026610570843,1.0079781838722346,1.0372805564180962,1.0255117403062626,1.008781571062062,1.0350511130471174
2025-03-25,1.0362980449320371,1.038951036843785,1.0109275880604969,1.0100726073250197,1.0233767475165136,1.0075696250208823,1.041457166345279,1.026786918951879,1.0099131644846275,1.0390862580721
2025-03-26,1.0047315351573325,1.0036690109848243,1.0047513883894672,1.0059510325313206,0.998618426733149,0.9954067597891612,1.0101623521360543,0.9954767642789296,0.990016874063126,1.0084726017958063
2025-03-27,0.9616925401025944,0.955270889576426,0.9719132055801276,1.007951224400804,0.9678084232019704,0.943983758451235,0.9704795944614676,0.9405116001135208,0.9464560274768944,0.9658029304090302
2025-03-28,0.9186177678401708,0.9087443772811182,0.9609083372980768,1.000650315653133,0.9477883999159844,0.9362512745496558,0.9298375298040452,0.899003201039987,0.91991662655381,0.9184770357773908
2025-03-31,0.9225694317668232,0.914752454868846,0.9683567266378408,0.9983171320135936,0.941348439776326,0.9430480801141684,0.9324513815819492,0.8957272995674135,0.9275427991713469,0.9214365270196736
2025-04-01,0.933569796453678,0.926168144384756,0.9724778949974164,1.0018189165978983,0.9566990608971984,0.9451941036604092,0.9452570788751544,0.9053480529089706,0.9313271934416828,0.932760601794994
2025-04-02,0.9556965269915864,0.9481194468384586,0.9745293084371208,1.0039322240573594,0.9716060681712972,0.9656024852174506,0.9676608121072832,0.9268058940750338,0.9332918006900496,0.9548681534431896
2025-04-03,0.911544209816928,0.9043171839296996,0.9306582170515612,0.9848315261395598,0.9151931060504892,0.9656024852174506,0.9229557557562472,0.8839882980716698,0.9332918006900496,0.9107541063789848
2025-04-04,0.8553897611823883,0.8469866387586575,0.9208296350678816,0.9535484524040286,0.8587415801178063,0.9246727827548288,0.862220099077054,0.8277254201222379,0.9022023684713344,0.8529082884775768
2025-04-07,0.8247888501533603,0.8222843661829398,0.9023316724042671,0.9228595300452296,0.8495091824100844,0.9291487521590492,0.8392370999660692,0.8041653462878506,0.9038099304260526,0.8266634114484819
2025-04-08,0.8063993043643436,0.8035021819741508,0.8944617383248968,0.905968033405241,0.8317476524255364,0.9276856692970123,0.819875107279898,0.7880716498789799,0.8973716345412209,0.8079341818000779
2025-04-09,0.8521217077025746,0.8537480657370273,0.898092327397046,0.9186688595229672,0.9059364979581712,0.9401736693157552,0.8708971533193667,0.838997230596932,0.8973716345412209,0.856409823070382
2025-04-10,0.8015821979532313,0.803043311999688,0.898092327397046,0.913624136152619,0.8797569714866719,0.9042709639490704,0.8206154761132884,0.7904017512228304,0.8514710583630601,0.8051935562999627
2025-04-11,0.8158846825818643,0.81737186701916,0.9141168246232668,0.9299257646032464,0.9057642610222058,0.9042709639490704,0.8352575680448429,0.8045047451842416,0.8666637008082884,0.8195604777354192
2025-04-14,0.8168607555978604,0.8178364946235036,0.9141750238157424,0.9289491101226504,0.9139878895216446,0.9017700958229516,0.8362981834206582,0.8047267801149689,0.8619517556425307,0.8207507707197937
2025-04-15,0.8215539323952451,0.8232715081598682,0.9141750238157424,0.9344689260142888,0.9404617896676304,0.9086624173033282,0.8412119646464158,0.8066473537382762,0.8625579897861997,0.8260194574653665
2025-04-16,0.7952810133361233,0.7969436618132458,0.9141750238157424,0.9092881849003096,0.9135846335122684,0.886574615810322,0.8143103907055739,0.7808511402477848,0.8415908965161321,0.7996037329565991
2025-04-17,0.7918214001512476,0.793867610877113,0.913366095617196,0.9100054456353456,0.9168631758763686,0.8838313805664599,0.809552195795236,0.7773174430568947,0.8402120235222333,0.7967376793780842
2025-04-21,0.7726001711122452,0.7745967106811851,0.8911944052373149,0.8879153340344779,0.8976832838826252,0.8838313805664599,0.7899005569642631,0.7584482932635772,0.8302123744607236,0.7773971091227158
2025-04-22,0.7843751341033962,0.7855458887303799,0.9051162911691129,0.8926058071006459,0.9134153367015188,0.8870014753819245,0.8038836855290703,0.7722069363566069,0.8322468899256602,0.7872059780391956
2025-04-23,0.7908513655802809,0.7920317865998329,0.9104388522670788,0.8974473420614333,0.923086370724114,0.8820891047939036,0.810520990310447,0.7785827005164663,0.8395932666798849,0.7937055825168373
2025-04-24,0.8104378921867843,0.8116475479636024,0.9104388522670788,0.8974473420614333,0.9370103215592008,0.8885090714759653,0.8305946623464012,0.7978653766838643,0.8395932666798849,0.8133627977487913
2025-04-25,0.8447504137931868,0.8479812858841768,0.9131614647006356,0.9056387864278724,0.96164404358551,0.8934923532852375,0.8659071176162783,0.831376951021517,0.8395932666798849,0.8480317147894716
2025-04-28,0.8475074296346883,0.8507488463378989,0.9131614647006356,0.9056387864278724,0.9610598050259888,0.8934923532852375,0.8687331826901231,0.8340903198305752,0.8395932666798849,0.8507994398282457
2025-04-29,0.9002019468957285,0.9032859937741964,0.9131614647006356,0.8933396426096213,0.989960046538356,0.8922985063273435,0.9231179076784156,0.8813613056893562,0.8335083367406305,0.8956674581034247
2025-04-30,0.8794049921134766,0.8808888196364892,0.913202734002298,0.8855841971716878,0.9683750904519426,0.8815269872708119,0.90265252524125,0.8668951533761224,0.825225100133486,0.8747214180757611
2025-05-01,0.8653508381383439,0.8670543721957239,0.916532300517545,0.8847171444467461,0.962628214975933,0.8802942193588846,0.8887178501618603,0.853821571189536,0.8108821723638269,0.8607123547726627
2025-05-02,0.8966907583653981,0.8957730026849872,0.9153348029438712,0.8844703639132135,0.9992262017352814,0.8810039424898287,0.918842113646316,0.8828134183332419,0.8326118970637494,0.8897617540489007
2025-05-05,0.8780181866881132,0.8774926755983867,0.9141655751349672,0.8763824622756587,0.9834332683996646,0.8803068551562397,0.9012849029846468,0.865595795158552,0.8270494688198243,0.8717779400897518
2025-05-06,0.8430459930428681,0.8435298845891492,0.9065378610490848,0.8448843046766258,0.9614977632273088,0.8508636851468327,0.8662574932874527,0.8346367105605491,0.7963085994734003,0.838282540877668
2025-05-07,0.8559442060362064,0.8547248079511048,0.9065378610490848,0.856969434087221,0.9716141686586844,0.8643643752654562,0.8813840268818045,0.8462211607373988,0.8037433999943644,0.8526922945290895
2025-05-08,0.8791552158524163,0.8655377538208816,0.9032923827258325,0.8788017782654195,1.0052339393772434,0.8811036285785314,0.8917198937839269,0.8440588162679058,0.8222568235449079,0.8764439328611567
2025-05-09,0.8806957211014297,0.8619165586495751,0.9027029371313288,0.8762956259742201,1.0150093423943292,0.8766527027301808,0.8870819861881014,0.8454947537798525,0.8217796783066291,0.8742052335882667
2025-05-12,0.9485102728228402,0.9258710357569184,0.9054468638980576,0.8902791876847289,1.059903761335364,0.9191754562818778,0.9527893443341322,0.904910698228092,0.8217796783066291,0.940417024997912
