method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,EliteOptions2_20260320_161843,0.2556034449033684,0.2409410975039996,0.8994760485506361,0.8658238217720032,0.18432404641381117,0.18537174458873187
WO_BC_ANCHOR,EliteOptions2_20260321_144810,0.2440847729453557,0.2409410975039996,0.8689940941872889,0.8658238217720032,0.18028933368088296,0.18537174458873187
WO_ENTRY_PEN,EliteOptions2_20260321_194032,0.232440111668343,0.2409410975039996,0.8379317673980143,0.8658238217720032,0.18189047148879453,0.18537174458873187
WO_FIDELITY,EliteOptions2_20260321_162814,0.20589261478741627,0.2409410975039996,0.7721826316036499,0.8658238217720032,0.19308103006932936,0.18537174458873187
WO_HARD,EliteOptions2_20260321_003328,0.18223661725773543,0.2409410975039996,0.7343012303429313,0.8658238217720032,0.20983712203824356,0.18537174458873187
WO_MKT_FACTORS,EliteOptions2_20260321_211641,0.25341072197291736,0.2409410975039996,0.8931263367943327,0.8658238217720032,0.1827893680046468,0.18537174458873187
WO_REV_PEN,EliteOptions2_20260321_180404,0.25017481245294926,0.2409410975039996,0.8828072724770932,0.8658238217720032,0.18621585558179599,0.18537174458873187
WO_RL_COMPLETION,EliteOptions2_20260321_162411,0.24060966610129997,0.2409410975039996,0.8649997470047995,0.8658238217720032,0.1855087239203638,0.18537174458873187
WO_SOFT,EliteOptions2_20260321_131414,0.21163221093536477,0.2409410975039996,0.7892922753881894,0.8658238217720032,0.1851797483721633,0.18537174458873187
WO_REGIME_SPLIT,EliteOptions2_20260321_225234,0.19379752371697845,0.2409410975039996,0.7473268309915942,0.8658238217720032,0.1961043952182163,0.18537174458873187
