method,run_name,cumulative_return,baseline_cumulative_return,sharpe,baseline_sharpe,max_drawdown,baseline_max_drawdown
HARD_BOTH,Sven_Carlin_Ph.D._20260325_001338,0.14275421539850774,0.16442561016663437,1.3889452795871977,1.5690801712292453,0.13035140806146484,0.13035140804732184
BC,Sven_Carlin_Ph.D._20260317_153655,0.05809857488721226,0.1861858745279077,2.4464730810139956,3.196259144836844,0.02370597477685428,0.03653030072295593
IQL,Sven_Carlin_Ph.D._20260317_164724,0.05237423192625523,0.1861858745279077,2.2007836796695575,3.196259144836844,0.02870419130681571,0.03653030072295593
TRAIN_ONLY,Sven_Carlin_Ph.D._20260325_014425,0.016779014258527347,0.16442561016663437,0.4720147430295771,1.5690801712292453,0.07047920509816273,0.13035140804732184
INFER_ONLY,Sven_Carlin_Ph.D._20260325_031348,0.20507427643519516,0.16442561016663437,1.8299263324721589,1.5690801712292453,0.1303514080227958,0.13035140804732184
HARD_NONE,Sven_Carlin_Ph.D._20260325_105833,0.01825204592645302,0.16442561016663437,0.8378342495125414,1.5690801712292453,0.04171832573173654,0.13035140804732184
