date,full_modified,bc_only,iql_modified_only,bc_plus_vanilla_iql,train_v2,baseline
2023-10-02,1.0,1.0,1.0,1.0,1.0,1.0
2023-10-09,1.0056181417982466,1.0078902784179986,1.0027857567770857,1.004513881421942,1.006169363344916,1.005127114303235
2023-10-12,1.01055239165553,1.0077672693199209,1.0084794854181385,1.0110940371406847,1.008679317321019,1.008635150276606
2023-10-16,1.0179377918697934,1.023351788944256,1.0248572685834914,0.9905538551943036,1.0216561819518803,1.0185668764191051
2023-10-23,0.9701276947700224,0.9921008799586288,0.9878228234571844,0.9766575497862193,0.9846643402861278,0.9709666110868376
2023-10-30,0.9405840083437176,0.9721701675847848,0.9540238981723116,1.0094408955812235,0.96084750156801,0.9620900480444048
2023-11-06,1.010620817682297,1.029959262584249,1.013750509407571,1.0179569669060808,1.0417234660621963,1.0217594002994856
2023-11-13,1.048574359918711,1.0685662027577554,1.0516930476572788,1.0414796432938251,1.0807821669460445,1.0597987180965796
2023-11-20,1.0756642516543138,1.0852262837715263,1.0715128082244745,1.04142664721995,1.1079914433097304,1.0884934309689178
2023-11-27,1.0705502273627214,1.093825294254266,1.0644387550864585,1.046625654190641,1.100478792593545,1.0932639126836612
2023-12-04,1.0718177490957224,1.099062349268537,1.0705705738130014,1.0579356054159577,1.1168667363353395,1.1042462938949624
2023-12-18,1.0952635737819136,1.1351365943885985,1.1009084358411103,1.0654002404094298,1.1474497769529326,1.1295103615789142
2023-12-26,1.1009202380444527,1.1452778091989342,1.1085914183188867,1.0611328151059123,1.155898139746421,1.1440372808195267
2024-01-08,1.0815738341109709,1.1233202892665883,1.0871173766474969,1.0340816311051346,1.137216235175751,1.121895682151909
2024-01-16,1.0455244396388796,1.0647087862450395,1.036953137370879,1.0419489663952015,1.082298668175865,1.0980070317152582
2024-01-23,1.0421693280342728,1.0710467155945829,1.0259177288511565,1.042356019696202,1.1309360023539483,1.110138271154427
2024-01-25,1.019519691535142,1.0643687066632086,1.029566403679345,1.0428920953096703,1.127004510043189,1.1170823455352172
2024-02-05,1.0389382386202566,1.0796134553968353,1.0397371692593038,1.0685002869924956,1.1569955406769583,1.142065936305937
2024-02-12,1.0622469302020807,1.115515357208896,1.0694333353335543,1.0799845265713208,1.1819428499423432,1.1614541978106407
2024-02-26,1.0973972337627325,1.170535762511531,1.1065161335766789,1.0902213000178185,1.2212370396065668,1.2023083598447273
2024-03-04,1.117738649433468,1.1940290240061049,1.1148682721330443,1.0731592062485977,1.231226672764072,1.2249814683216809
2024-03-05,1.1006974303119854,1.1819944064027754,1.0804876885299723,1.1058769107977728,1.2092028826568058,1.2065096373277353
2024-03-12,1.1358660465239845,1.2020037351381183,1.0758839119673969,1.113423100639023,1.2426376875297394,1.2284205449300245
2024-03-25,1.128543352975805,1.22425289037219,1.110688094161422,1.1148287973600552,1.2388211634651396,1.2237899619028294
2024-03-28,1.1270717745850276,1.232196725695211,1.1238373208698411,1.1006965280243914,1.2419308312534194,1.2333977728924337
2024-04-05,1.0961074541403293,1.1241039835173678,1.055111293351219,1.1044305805012262,1.2096945626485474,1.2069538468549914
2024-04-08,1.1023999400960744,1.1356769294591462,1.0668028045577715,1.0898349424228597,1.216893323808279,1.2102703535195989
2024-04-16,1.090712835205885,1.1186138216496928,1.055520327679106,1.0799744689634996,1.200796535166882,1.1903106021254373
2024-04-22,1.0496188979053476,1.0826646892905354,1.0204920884166782,1.1273916748680934,1.1650292388395689,1.1633930785454825
2024-04-29,1.098082701816289,1.1139963094702658,1.0554451421711797,1.1242626523220776,1.2308892728176322,1.2314237329931723
2024-05-06,1.1016297888681486,1.1150575380027734,1.0522319275631906,1.1376911323020313,1.235377857060575,1.2290188752445292
2024-05-13,1.108348767164935,1.1136629226608017,1.0535605065639315,1.146996412778378,1.2448585231322242,1.2410348773066062
2024-05-20,1.1067957732800509,1.119034723093373,1.0759033269077836,1.135305155971901,1.2456998146566167,1.2417102916170155
2024-05-29,1.1197411314529706,1.105587008654373,1.0891886343856036,1.1478779982794434,1.2681000694286102,1.2353236582762994
2024-06-03,1.1341163268562962,1.1544606363086451,1.138552034887515,1.143503059601694,1.2824026660996977,1.2502632752525291
2024-06-10,1.151023678348874,1.1649150827255963,1.1655934600005868,1.149457180450071,1.3071559644267343,1.24520162346826
2024-06-17,1.186059494811885,1.1578751506972158,1.175696925962191,1.1368872173398812,1.3392911213813004,1.2807779832646498
2024-06-25,1.1819617283919954,1.1532512965123527,1.1515298508725935,1.1423954981983087,1.3305863414401402,1.2693214215188853
2024-07-01,1.1967819101798114,1.159380182725458,1.1555818831983249,1.1433596102605004,1.3474155271593105,1.2771228612878678
