scope,gaps_count,gap_median_days,gap_p90_days,gap_max_days
all,41948,5.63730324074074,107.1252199074075,1425.3355902777778
positive_only,22094,7.14324074074074,129.0935289351852,1409.2916898148148
negative_only,10750,13.062378472222221,185.03677083333335,1352.8366319444444
