from,to,count,row_prob
positive,positive,14541,0.6360892388451443
positive,negative,4780,0.20909886264216973
positive,neutral,3539,0.15481189851268592
negative,positive,4862,0.4156621355903223
negative,negative,4859,0.41540565957083014
negative,neutral,1976,0.16893220483884758
neutral,positive,3555,0.48099039372209446
neutral,negative,1985,0.26856988228927076
neutral,neutral,1851,0.25043972398863484
