date,HARD_BOTH,BC,IQL,TRAIN_ONLY,INFER_ONLY,HARD_NONE
2024-12-30 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-31 00:00:00,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212
2025-01-02 00:00:00,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578
2025-01-03 00:00:00,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242
2025-01-06 00:00:00,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627
2025-01-07 00:00:00,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729
2025-01-08 00:00:00,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757
2025-01-10 00:00:00,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345
2025-01-13 00:00:00,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016
2025-01-14 00:00:00,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733
2025-01-15 00:00:00,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307
2025-01-16 00:00:00,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035
2025-01-17 00:00:00,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164
2025-01-21 00:00:00,1.2693069278746425,1.2777619254093608,1.2681935872473435,1.270621524521987,1.2692709757257543,1.276663488323633
2025-01-22 00:00:00,1.2799298530538754,1.2875097899206662,1.2801824809504667,1.2800445538356495,1.280076373420203,1.2877448730873968
2025-01-23 00:00:00,1.2767095409532632,1.2859491474642235,1.2758638967317122,1.2775651286977383,1.2768406810844222,1.285381405474702
2025-01-24 00:00:00,1.2617696660190485,1.2788600214781023,1.2633951306284996,1.2652662916685151,1.2612740202315271,1.2779677163771488
2025-01-27 00:00:00,1.1622867580387433,1.1814882850050288,1.1682767347488612,1.172248597529611,1.160838142784205,1.1804933052528648
2025-01-28 00:00:00,1.205168462989284,1.2218008591833067,1.1982273912832615,1.2140495745974182,1.2041292432239008,1.214154559155646
2025-01-29 00:00:00,1.179441829034419,1.2151584557387811,1.1870751895830032,1.191781637530051,1.1778622484269623,1.2140847688957173
2025-01-30 00:00:00,1.2046229817342533,1.2443904598924502,1.2092503237700918,1.2170451504490742,1.2028441403129762,1.2409557621225646
2025-01-31 00:00:00,1.2001405020880136,1.2324568946542085,1.197709802482955,1.2128564999588016,1.197870640730473,1.223911530756649
2025-02-03 00:00:00,1.1622944343028243,1.2031135916776003,1.1648003228578072,1.1784283900825017,1.1596399909881,1.19608572499157
2025-02-04 00:00:00,1.1873601465524717,1.228414432758709,1.1968876679263658,1.2010875723974368,1.1845488864472724,1.2255348836428095
2025-02-05 00:00:00,1.1659464427865829,1.2191897647391152,1.1632880737880495,1.184303448912986,1.164572246641517,1.211192215939335
2025-02-06 00:00:00,1.1746330877840454,1.2189700414967637,1.1650033695257105,1.1917468308195325,1.173398614071883,1.2074341828616113
2025-02-07 00:00:00,1.152332758626718,1.216092832941859,1.1417731358907426,1.1745852730289017,1.1514641764117648,1.2035183068826023
2025-02-10 00:00:00,1.1540605913371629,1.2214680112539276,1.150868156883328,1.1757898655698436,1.1530778281713447,1.2131344273899314
2025-02-11 00:00:00,1.1247471211667868,1.1844251896479467,1.130676670026786,1.1453293686593466,1.1233164450684996,1.181158568331352
2025-02-12 00:00:00,1.1259205257695597,1.1996457007091257,1.1332476234229396,1.148880226692114,1.1247343574310882,1.1970930946425025
2025-02-13 00:00:00,1.1650010281548446,1.2696482706553625,1.1623399568664228,1.1934400071466231,1.1642756500408165,1.260397058890941
2025-02-14 00:00:00,1.1734290794539055,1.2845319004716187,1.1722779756815094,1.2021838346971538,1.1729994153607868,1.2766502536644533
2025-02-18 00:00:00,1.1700844951951703,1.260585799967317,1.1735828951534877,1.1940504058691153,1.1697819071956457,1.2571769386884224
2025-02-19 00:00:00,1.1799007462187576,1.262304384743984,1.1820437336902894,1.2019228406144191,1.1796012810866687,1.2585026315790662
2025-02-20 00:00:00,1.1741409849568183,1.2416118543343404,1.1766827035162548,1.193432711563843,1.173816590029414,1.2387513294727637
2025-02-21 00:00:00,1.129342009811686,1.1823179677676128,1.1348103687230104,1.1479262287336098,1.1287395315505395,1.1811681512216732
2025-02-24 00:00:00,1.1084788228484022,1.1554329800709116,1.1117886139922808,1.1276156156869324,1.107497780944415,1.1522571654755347
2025-02-25 00:00:00,1.0588342008080214,1.0935154124045865,1.063767921934664,1.0781874567955747,1.0573440541308776,1.0905809135589355
2025-02-26 00:00:00,1.052548152297924,1.1063904794045187,1.061142259080871,1.0754153349089723,1.0512787296821666,1.1051918881085154
2025-02-27 00:00:00,1.003170762440208,1.065280835670691,1.0100952535155885,1.03082980211664,1.0014582552390547,1.061358355812311
2025-02-28 00:00:00,1.0333612039042677,1.0954332315232678,1.0338284581726471,1.0603982487263448,1.0320142211292913,1.088389684009451
2025-03-03 00:00:00,0.9865938215951788,1.0420787960467688,0.9945628825962692,1.013688899304532,0.9847344811637924,1.0387695351132629
2025-03-04 00:00:00,0.9849082425512238,1.0381658646651075,0.999267438091356,1.0109609313864862,0.9825246276571205,1.0378200407103462
2025-03-05 00:00:00,1.0012348940388394,1.0610397100301965,1.0137464692510874,1.0281602371115506,0.9989016485821268,1.0594022118165949
2025-03-06 00:00:00,0.961529391230242,1.011308312679225,0.9761617133896971,0.9884390655809268,0.9585265036595974,1.0097974794132307
2025-03-07 00:00:00,0.9695272186182432,1.0159100607634282,0.9859049130573816,0.9951129010596864,0.9664902914657542,1.0156255827088905
2025-03-10 00:00:00,0.8878760103226572,0.9048867651603438,0.9152846700437772,0.9096068853372578,0.8843063624720001,0.91134097680952
2025-03-11 00:00:00,0.8936450795373574,0.9069125709804934,0.9225037043186196,0.9157604693916032,0.8904123284721,0.9103589180529988
2025-03-12 00:00:00,0.9074512478781004,0.9330463731619626,0.950743883449552,0.9325140787642016,0.900762326024794,0.9169810114267992
2025-03-13 00:00:00,0.8846913983564859,0.9070062548127048,0.9223123579554596,0.906783910603624,0.87992745691444,0.9021396225325148
2025-03-14 00:00:00,0.9116141445474112,0.9422618958259632,0.958740818397552,0.9364650064166236,0.9076617478057076,0.9289627097398316
2025-03-17 00:00:00,0.8999376779807404,0.9566399725790882,0.9586989569574972,0.9322717654487797,0.8985903817367914,0.9364794294449452
2025-03-18 00:00:00,0.8795249706845468,0.9367894805716676,0.9328231498349168,0.9114312592786056,0.8796944854331397,0.9255200477734784
2025-03-19 00:00:00,0.9005119718579934,0.9604960788391418,0.9598289997615348,0.9346950253401138,0.8997103478546494,0.9373510007721682
2025-03-20 00:00:00,0.8976101715288296,0.9640533009646006,0.96129922176377,0.933298526917398,0.8964281255766494,0.937770497616578
2025-03-21 00:00:00,0.9264760416540724,0.9705351383008148,0.9812646232184064,0.9591075553240944,0.9254315904376542,0.9440145809853184
2025-03-24 00:00:00,0.9758574624470382,1.0102750526496624,1.0334655106523054,1.0103339415181356,0.972355610595462,0.9586255783147052
2025-03-25 00:00:00,0.9913961895323596,1.014363536955909,1.0445145533595923,1.0241172285019202,0.9856434205361342,0.957446762874156
2025-03-26 00:00:00,0.986739094828338,0.985007666018906,1.0169162767543685,1.014693023175314,0.9900188291001392,0.9535826420109488
2025-03-27 00:00:00,0.9536727187076104,0.9578945244823808,0.9924560936362804,0.9813822554352574,0.9432887586378916,0.9219955503483528
2025-03-28 00:00:00,0.9240167044518572,0.9268096265597068,0.9587072980874374,0.9494994467530672,0.9144635541226924,0.9027990528721386
2025-03-31 00:00:00,0.9263935481763614,0.9260774751069348,0.9572178336774436,0.9507622268414664,0.9178671280894842,0.9058127761106488
2025-04-01 00:00:00,0.9418679972938608,0.9347390914078136,0.972061790825332,0.9650369095464494,0.9325478852024404,0.911232420217407
2025-04-02 00:00:00,0.962652509470732,0.9388605512591834,0.9874732159874532,0.9837614448880568,0.9515590213102032,0.9121635408827372
2025-04-03 00:00:00,0.8888087758723572,0.8663220412078921,0.910730941742336,0.9079388670869144,0.8783536194537667,0.8535951498301211
2025-04-04 00:00:00,0.850595710066567,0.8205288835608086,0.858871285403929,0.8679878235446831,0.8521976456211647,0.8369459474192523
2025-04-07 00:00:00,0.8445754101162191,0.8281293046548919,0.862275068389983,0.8652363131599357,0.8507380208847626,0.850885675621518
2025-04-08 00:00:00,0.809133343167266,0.8019900651205583,0.8320658424499725,0.8303733484101478,0.8161864290160135,0.8346366656833457
2025-04-09 00:00:00,0.9353713882471588,0.9304384992760818,0.9711349251605408,0.9601498385254482,0.9369538403952472,0.9169627848480766
2025-04-10 00:00:00,0.8896485052182833,0.886290024417778,0.9234172565765684,0.914071617846323,0.8936661361535114,0.8914896160159014
2025-04-11 00:00:00,0.912921033953818,0.924342875624576,0.9552572171175476,0.9416553111936764,0.918899829073354,0.92067115682593
2025-04-14 00:00:00,0.91932607008768,0.9314032596460898,0.9612639281989408,0.9478372387304204,0.9253007118432784,0.9248955818923148
2025-04-15 00:00:00,0.9161542828931946,0.9295033547775388,0.9588700075894472,0.9440801984989052,0.9209931499950658,0.9216674745387742
2025-04-16 00:00:00,0.8831210061085191,0.8845006021591298,0.9156027960650528,0.90817576819404,0.8896431589397225,0.8933625390033145
2025-04-17 00:00:00,0.8876814854171265,0.8802280746739066,0.9149866662868936,0.9120502172268444,0.8945623916301176,0.891822625455107
2025-04-21 00:00:00,0.8609731162122659,0.8579658416709994,0.885956272139088,0.8860639217300704,0.8698502855562085,0.8771305108359122
2025-04-22 00:00:00,0.8942251188858718,0.88212200774728,0.9186023187659074,0.9191755932507918,0.9032476785204548,0.898198037063836
2025-04-23 00:00:00,0.9201123854919466,0.9123747611763012,0.9517016853421082,0.9474991607451256,0.9260922976899244,0.9142891645010752
2025-04-24 00:00:00,0.9415215348985048,0.9455519930628088,0.9841169063193398,0.9732280069943884,0.9462473286845142,0.9336057835059716
2025-04-25 00:00:00,0.9754755178024216,0.963672533478818,1.016634883965839,1.0044309235668216,0.9773255724165726,0.9394903177489362
2025-04-28 00:00:00,0.9768947327942776,0.9566572075871798,1.0123583803210676,1.00452287513237,0.9785337507607836,0.9339024115726928
2025-04-29 00:00:00,0.9822865943002544,0.9567049039237924,1.017100711943425,1.0089292645046226,0.9820788603897508,0.9321376159798752
2025-04-30 00:00:00,0.97430176532423,0.9575748856618448,1.009907773874729,1.0019885629777097,0.9761298932002976,0.9349942547017585
2025-05-01 00:00:00,0.9781487291428476,0.9579016725039208,1.0104027782747094,1.0032273489951662,0.9799903408760208,0.9411688262231428
2025-05-02 00:00:00,0.974242156940578,0.9705308588515212,1.0194612782844803,1.0037522988509353,0.9767212351768152,0.9413669484001668
2025-05-05 00:00:00,0.9483761615097216,0.963615767551756,1.0014417760527825,0.9812260932520872,0.950774126803296,0.92814240146494
2025-05-06 00:00:00,0.9378598313214196,0.9593863627323876,0.9954040387143508,0.9717949398694672,0.9396565059347228,0.926696935428075
2025-05-07 00:00:00,0.939669749573346,0.9612721425299148,0.997556980257615,0.9746558598776704,0.9422398810552228,0.933777630977078
2025-05-08 00:00:00,0.95883990224371,0.984063633916029,1.024115327133435,0.9977583304583724,0.9620479847228304,0.9471599355383896
2025-05-09 00:00:00,0.9796951355103408,0.9868912917019692,1.0373103937522783,1.0166239621664357,0.9825529040645168,0.946910928913251
