date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT
2024-12-30 00:00:00,1.0,1.0,1.0,1.0
2024-12-31 00:00:00,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212
2025-01-02 00:00:00,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578
2025-01-03 00:00:00,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242
2025-01-06 00:00:00,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627
2025-01-07 00:00:00,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729
2025-01-08 00:00:00,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757
2025-01-10 00:00:00,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345
2025-01-13 00:00:00,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016
2025-01-14 00:00:00,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733
2025-01-15 00:00:00,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307
2025-01-16 00:00:00,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035
2025-01-17 00:00:00,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164
2025-01-21 00:00:00,1.269332841235481,1.278112320150679,1.269332841235481,1.269144212255297
2025-01-22 00:00:00,1.2798242386166043,1.2887157127421145,1.2798242386166043,1.2805929061040062
2025-01-23 00:00:00,1.2766150100688798,1.2870307893687882,1.2766150100688798,1.2773029574800006
2025-01-24 00:00:00,1.262126826344772,1.2786794820231149,1.262126826344772,1.2595252925969938
2025-01-27 00:00:00,1.1633312840443788,1.1785705079773183,1.1633312840443788,1.1557356601928597
2025-01-28 00:00:00,1.205917205882869,1.2179904583181764,1.205917205882869,1.2004612293526389
2025-01-29 00:00:00,1.1805806582250191,1.2133248489638035,1.1805806582250191,1.172296816977569
2025-01-30 00:00:00,1.2059057148330996,1.2416293004065837,1.2059057148330996,1.1965797617830112
2025-01-31 00:00:00,1.201778060162834,1.2260295177621583,1.201778060162834,1.1898866792260852
2025-02-03 00:00:00,1.1642102140502937,1.1966852990016863,1.1642102140502937,1.150313185087551
2025-02-04 00:00:00,1.189389293049521,1.2227224003430857,1.189389293049521,1.1746734861259494
2025-02-05 00:00:00,1.1669356565796027,1.217537412223977,1.1669356565796027,1.159710808093375
2025-02-06 00:00:00,1.1755213645104443,1.2159117275330502,1.1755213645104443,1.169026868351534
2025-02-07 00:00:00,1.1529568923407725,1.2156500205831025,1.1529568923407725,1.1483771138635648
2025-02-10 00:00:00,1.1547671262665236,1.2222415730443177,1.1547671262665236,1.1495895085475094
2025-02-11 00:00:00,1.125777045360175,1.184516812336976,1.125777045360175,1.1182558957120954
2025-02-12 00:00:00,1.1267738254982516,1.202017300821513,1.1267738254982516,1.1205308839659045
2025-02-13 00:00:00,1.1655214888034746,1.2744776305402308,1.1655214888034746,1.1616876488256689
2025-02-14 00:00:00,1.1737361479470396,1.29136161871028,1.1737361479470396,1.171450822807189
2025-02-18 00:00:00,1.1702999210916576,1.2670961697496523,1.1702999210916576,1.16868071541102
2025-02-19 00:00:00,1.18011389701514,1.267913395277543,1.18011389701514,1.178510788339051
2025-02-20 00:00:00,1.1743721259183564,1.2459613981301716,1.1743721259183564,1.1726384768386442
2025-02-21 00:00:00,1.1297737870285545,1.184894385512413,1.1297737870285545,1.126583555262435
2025-02-24 00:00:00,1.109183761814917,1.155666533580869,1.109183761814917,1.1040109838044063
2025-02-25 00:00:00,1.0599067930929118,1.09109265326256,1.0599067930929118,1.0520713305236868
2025-02-26 00:00:00,1.0534612910593917,1.1068768238305473,1.0534612910593917,1.0467795843334629
2025-02-27 00:00:00,1.0044041027666946,1.0643512575818976,1.0044041027666946,0.99540766917086
2025-02-28 00:00:00,1.0343301698237533,1.0947632544587111,1.0343301698237533,1.0272406559573148
2025-03-03 00:00:00,0.9879330948995289,1.0402530085183108,0.9879330948995289,0.9781674965938506
2025-03-04 00:00:00,0.9866266354609964,1.0353310771116444,0.9866266354609964,0.9741250455328504
2025-03-05 00:00:00,1.0029167172504323,1.058575281080164,1.0029167172504323,0.9906762654891826
2025-03-06 00:00:00,0.9636960797030264,1.0058496241988664,0.9636960797030264,0.9479683828006944
