date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT,Baseline
2025-03-24,1.0,1.0,1.0,1.0,1.0
2025-03-25,0.9873868751770362,0.9873868751770362,0.9873868751770362,0.9873868751770362,0.9873868751770362
2025-03-26,0.9755156322774452,0.9755156322774452,0.9755156322774452,0.9755156322774452,0.9755156322774452
2025-03-27,0.9764060490830802,0.9764060490830802,0.9764060490830802,0.9764060490830802,0.9764060490830802
2025-03-28,0.9391601348678618,0.9391601348678618,0.9391601348678618,0.9391601348678618,0.9391601348678618
2025-03-31,0.949300675071432,0.9468602913553082,0.949300675071432,0.949300675071432,0.949300675071432
2025-04-01,0.9452745631494188,0.9505472400198174,0.9452745631494188,0.9452745631494188,0.9452745631494188
2025-04-02,0.9469729286047276,0.9521924284283328,0.9499726565844452,0.9463712609392052,0.9499856167039732
2025-04-03,0.8951998300213051,0.9038419364874524,0.879922343799943,0.8982503246458682,0.8798560902864677
2025-04-04,0.8464491223931025,0.8665554803704799,0.8324988455711593,0.8492320943134137,0.8324383022411583
2025-04-07,0.8395330336232172,0.8719775695486418,0.8256967404422425,0.8424740800160679,0.8256366917941234
2025-04-08,0.816754083413912,0.8538471721776396,0.8032932087344471,0.8199383659422922,0.8032347893791739
2025-04-09,0.8810863053751715,0.942426653763359,0.8665651752341699,0.8892732155637032,0.8665021544364228
2025-04-10,0.8475793163772106,0.9051361277524952,0.8336104128965307,0.8526416009373173,0.8335497887279945
2025-04-11,0.8506549058922936,0.9161244975525488,0.8366353138067218,0.8549552391623846,0.8365744696528067
2025-04-14,0.8590181852718998,0.925021100525952,0.844860758484397,0.8630359944293965,0.8447993161364854
2025-04-15,0.8526209575935254,0.9323408182730246,0.838568963128705,0.8572714908421105,0.838507978350488
2025-04-16,0.8502156690929833,0.9092773908920674,0.8362033160425509,0.8542149212258178,0.8361425033055961
2025-04-17,0.8674153495242348,0.9148452019187644,0.8531195295802618,0.8709090423718846,0.8530574866146959
2025-04-21,0.8651112755217678,0.9054854392484074,0.8508534288821581,0.8676077586256633,0.8507915507183611
2025-04-22,0.8904102905515435,0.9288260979044102,0.875735492374445,0.8935565513588255,0.8756718046670203
