method,run_name,cumulative_return,baseline_cumulative_return,sharpe,baseline_sharpe,max_drawdown,baseline_max_drawdown
HARD_BOTH,Unrivaled_Investing_20260325_001533,0.013702674009490101,0.02467238351887069,0.48808801249614475,0.5817465848754507,0.2069886248694798,0.21491476344857094
BC,Unrivaled_Investing_20260317_153722,-0.01309624602135262,0.010895018767763665,-0.2684858953604371,0.37399973351785043,0.033945831324390656,0.06558255093396337
IQL,Unrivaled_Investing_20260317_164730,-0.00195561123933663,0.010895018767763665,0.05592694028327405,0.37399973351785043,0.029035661760331948,0.06558255093396337
TRAIN_ONLY,Unrivaled_Investing_20260325_014617,-0.04817947294769642,0.02467238351887069,-1.471036639004837,0.5817465848754507,0.038350605767663346,0.21491476344857094
INFER_ONLY,Unrivaled_Investing_20260325_031534,0.07818247362627218,0.02467238351887069,1.010631685529126,0.5817465848754507,0.20658453908032404,0.21491476344857094
HARD_NONE,Unrivaled_Investing_20260325_105832,-0.015613519395340836,0.02467238351887069,-0.37142532399433026,0.5817465848754507,0.02841805102362854,0.21491476344857094
