method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Stephanie_Link_20260320_161843,-0.11342136246011314,-0.23397046526656623,0.2887875878676368
WO_BC_ANCHOR,Stephanie_Link_20260321_144810,-0.07878332877413663,-0.08603902341010194,0.25118944182300046
WO_ENTRY_PEN,Stephanie_Link_20260321_194032,-0.014489434965189285,0.187555055797449,0.2233961313485512
WO_FIDELITY,Stephanie_Link_20260321_162814,-0.0842803615937684,-0.10312413024806066,0.2648200338561735
WO_HARD,Stephanie_Link_20260321_003327,-0.11058502537209425,-1.764998281669376,0.07598400728882901
WO_MKT_FACTORS,Stephanie_Link_20260321_211641,-0.06860010687833584,-0.03977201626067771,0.26825989074604667
WO_REV_PEN,Stephanie_Link_20260321_180404,-0.16041083735025574,-0.43932316248812936,0.303708440775442
WO_RL_COMPLETION,Stephanie_Link_20260321_162412,-0.05104088425703712,0.03216123539293825,0.2708383950966566
WO_SOFT,Stephanie_Link_20260321_131414,-0.14225144771716203,-0.3582205681317181,0.30169648029928264
WO_REGIME_SPLIT,Stephanie_Link_20260321_225233,-0.12743931048511192,-0.2962836293829492,0.2995473721096883
