method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Stephanie_Link_20260320_161843,-0.11313805442899949,-0.0505557397701798,-0.0978000724010003,0.0850396076309436,0.2898094965132824,0.2697116312480106
WO_BC_ANCHOR,Stephanie_Link_20260321_144810,-0.07811071037877071,-0.05061161703180883,0.00817016323663181,0.08487711513378285,0.2702910077470612,0.269711631247882
WO_ENTRY_PEN,Stephanie_Link_20260321_194032,0.13985961009949244,0.12200693780629068,0.6234587442003795,0.5708793715284867,0.23229665209089265,0.23382815305969123
WO_FIDELITY,Stephanie_Link_20260321_162814,-0.0836322357318795,-0.05061161703180883,-0.01015164072333259,0.08487711513378285,0.26413146528127074,0.269711631247882
WO_HARD,Stephanie_Link_20260321_003327,0.07207639311556369,-0.045133250391727886,0.5958417275938003,0.01563842589967566,0.13542313648384602,0.2322006004005474
WO_MKT_FACTORS,Stephanie_Link_20260321_211641,-0.19845076050506694,-0.16228171547582304,-0.9155471184776198,-0.7094051444921391,0.23023919222490188,0.20383358643512992
WO_REV_PEN,Stephanie_Link_20260321_180404,0.12076782858710078,0.1623682872101262,0.9826658447780016,1.3315838883715354,0.17444125268919228,0.13593150406575336
WO_RL_COMPLETION,Stephanie_Link_20260321_162412,-0.050578275539232886,-0.05061161703180883,0.08497090354292329,0.08487711513378285,0.2697590512070916,0.269711631247882
WO_SOFT,Stephanie_Link_20260321_131414,-0.14251481019827106,-0.05061161703180883,-0.18802158912872827,0.08487711513378285,0.30273317714086195,0.269711631247882
WO_REGIME_SPLIT,Stephanie_Link_20260321_225233,-0.1588543303702159,-0.06901044558226332,-0.24699491087003494,0.030507869919740596,0.3274284322658653,0.28567522293690445
