method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Stephanie_Link_20260320_161843,-0.11313805442899949,-0.0505557397701798,-0.0978000724010003,0.0850396076309436,0.2898094965132824,0.2697116312480106
WO_HARD,Stephanie_Link_20260321_003327,0.07207639311556369,-0.045133250391727886,0.5958417275938003,0.01563842589967566,0.13542313648384602,0.2322006004005474
WO_RL_COMPLETION,Stephanie_Link_20260321_162412,-0.050578275539232886,-0.05061161703180883,0.08497090354292329,0.08487711513378285,0.2697590512070916,0.269711631247882
WO_REGIME_SPLIT,Stephanie_Link_20260321_225233,-0.1588543303702159,-0.06901044558226332,-0.24699491087003494,0.030507869919740596,0.3274284322658653,0.28567522293690445
