method,run_name,cumulative_return,sharpe,max_drawdown
KICL,traderstewie_20260316_085513,-0.08284099684193436,0.3221461001931835,0.37585400252803025
WO_BC_ANCHOR,traderstewie_20260321_144811,-0.07976662593640094,0.3301697660361101,0.3739759196483183
WO_ENTRY_PEN,traderstewie_20260321_194032,-0.08789549507659333,0.3086077453647045,0.38231973373658723
WO_FIDELITY,traderstewie_20260321_162814,-0.11068136440620124,0.2421900032619134,0.38893222814770184
WO_HARD,traderstewie_20260321_011541,0.009478392343132747,0.22878525047787485,0.061753373661709465
WO_MKT_FACTORS,traderstewie_20260321_211641,-0.09314122346734299,0.29431336208660097,0.3857448915292025
WO_REV_PEN,traderstewie_20260321_180404,-0.07933240338591685,0.3318300422272002,0.37455007804061957
WO_RL_COMPLETION,traderstewie_20260321_162411,-0.1425383062681529,0.15104188834793994,0.395843312715526
WO_SOFT,traderstewie_20260321_131414,-0.12367758036698917,0.20445661583206629,0.3876439352218065
WO_REGIME_SPLIT,traderstewie_20260321_225234,-0.10424321322974606,0.25888711953377075,0.37772604065217585
