date,HARD_BOTH,TRAIN_ONLY,INFER_ONLY,HARD_NONE
2025-03-21,1.0,1.0,1.0,1.0
2025-03-24,0.996129464811532,0.996129464811532,0.996129464811532,0.996129464811532
2025-03-25,0.991555250862988,0.991555250862988,0.991555250862988,0.991555250862988
2025-03-26,0.970795217400496,0.970795217400496,0.970795217400496,0.970795217400496
2025-03-27,0.999648127063512,0.999648127063512,0.999648127063512,0.999648127063512
2025-03-28,0.9306826422214638,0.9306826422214638,0.9306826422214638,0.9306826422214638
2025-03-31,0.9228012270700232,0.9127612305628352,0.9228012270700232,0.9121381964053326
2025-04-01,0.9242426577747412,0.9155745957384638,0.9242226097131102,0.9158729492942672
2025-04-02,0.9355931509955044,0.9258684390024206,0.935572856726467,0.9263545775504982
2025-04-03,0.8157098582259128,0.8371837400722397,0.815692164386126,0.8394358188257021
2025-04-04,0.7830252873010731,0.7827708208479746,0.7830083024334235,0.7912346048635125
2025-04-07,0.7769156311641895,0.7733843159229111,0.7781541010102995,0.7755113523802047
2025-04-08,0.769728804241538,0.7660902425804132,0.77095581767195,0.7688128597009987
2025-04-09,0.8432556476925241,0.876806422439215,0.8445998691888329,0.8935141041759531
2025-04-10,0.7892228608723791,0.8284411218028345,0.7904809494933874,0.8413457499180864
2025-04-11,0.8424037328638568,0.8746091748449969,0.8437465963351956,0.8885171883680353
2025-04-14,0.8045627694452483,0.8714437111565642,0.8058453111901834,0.8859889548832972
2025-04-15,0.8100074342345144,0.8777998546924999,0.8112986552399679,0.8940473195768786
2025-04-16,0.7250549139928756,0.8620480831906163,0.7262107134281482,0.8775501520863497
2025-04-17,0.7047827377522997,0.8474497914918097,0.7059062216078853,0.8650163563628741
2025-04-21,0.7203316283335587,0.8439401136119091,0.7214798984482347,0.8524957655803699
2025-04-22,0.7431225341782856,0.8659774141668963,0.744307134942677,0.8839854870764381
2025-04-23,0.7485534025295992,0.8858883088076197,0.749746660561809,0.9133267974648844
2025-04-24,0.7560962624514341,0.9117793155184318,0.7573015444463393,0.9470800166031652
2025-04-25,0.7530791069732093,0.9215954420760764,0.7542795793646894,0.9681661564345732
2025-04-28,0.7346745678962012,0.9113021190605785,0.7358457018810846,0.9547171602154054
2025-04-29,0.7268299866717985,0.913340946126598,0.7279886157244704,0.962537977287007
2025-04-30,0.7349762891987691,0.9124894079818364,0.7361479041531687,0.9590050767594448
2025-05-01,0.7307522485102728,0.9130112579945736,0.7319171299831826,0.970782391617422
2025-05-02,0.7310539698128405,0.9288413099269864,0.7322193322552665,0.9925872444505042
2025-05-05,0.7254239495449483,0.924680319015954,0.726580337254398,0.9864340832374512
2025-05-06,0.7278349948857847,0.9301124102911714,0.7289952260073534,0.983908539575061
2025-05-07,0.7196976953040161,0.9355765573073972,0.7208449548753204,0.994790450854158
2025-05-08,0.6241599302621068,0.9102852055633696,0.6251548944792916,0.9666351714058538
