date,equity_a,equity_b,equity_baseline
2024-05-14 12:00:55,0.9853562032803893,0.9853562032803893,0.9853562032803893
2024-05-18 12:00:45,0.9853562032803893,0.9853562032803893,0.9853562032803893
2024-05-19 15:00:27,1.0416845323203467,1.041617474856177,1.0316915372838542
2024-05-25 18:30:47,1.0416845323203467,1.041617474856177,1.0316915372838542
2024-05-26 13:00:39,1.033705545368979,1.0309950746192174,1.0286863300104365
2024-06-01 12:01:05,1.033705545368979,1.0309950746192174,1.0286863300104365
2024-06-02 16:00:29,1.0562075979516075,1.0499291027474718,1.040091670609776
2024-06-05 15:26:27,1.0309500317662972,1.0248216770349912,1.0152194918258284
2024-06-08 14:00:34,1.0309500317662972,1.0248216770349912,1.0152194918258284
2024-06-09 13:00:56,1.0962125760796069,1.087145305172593,1.0807155098236516
2024-06-15 12:00:07,1.0962125760796069,1.087145305172593,1.0807155098236516
2024-06-16 13:01:02,1.060585845224819,1.025612271515864,1.0513952140571785
2024-06-22 12:00:06,1.060585845224819,1.025612271515864,1.0513952140571785
2024-06-23 12:00:44,1.0758490386290251,1.0421536824594513,1.0589619641263057
2024-06-30 12:00:01,1.0668426642695292,1.0327197402899708,1.0500969584062259
2024-07-02 12:00:38,1.0746693022325424,1.0443771537369613,1.07291969586463
2024-07-06 13:00:47,1.0746693022325424,1.0443771537369613,1.07291969586463
2024-07-07 12:00:44,1.1462238597706529,1.1118208704444026,1.1458919547181579
2024-07-13 12:01:02,1.2032859579233721,1.167170295512412,1.2029375297471248
2024-07-20 12:00:18,1.1942237916212062,1.146017010748368,1.1832418254493497
2024-07-27 14:24:01,1.1942237916212062,1.146017010748368,1.1832418254493497
2024-07-28 12:00:18,1.0652241200589239,1.0222246202194245,1.0554284223563586
2024-08-03 12:00:16,1.0652241200589239,1.0222246202194245,1.0554284223563586
2024-08-04 13:00:17,1.0652241200589239,1.0222246202194245,1.0554284223563586
2024-08-05 17:00:11,1.056424026856959,1.012703270182919,1.0452990655632475
2024-08-07 12:00:57,1.0973898573620686,1.0550808082027712,1.064630638861151
2024-08-11 12:00:11,1.1941508104705476,1.1445712746724714,1.1572391249525578
2024-08-17 12:00:03,1.1941508104705476,1.1445712746724714,1.1572391249525578
2024-08-18 12:00:36,1.1661921020217778,1.1177733742005915,1.1301446315130659
2024-08-24 15:16:09,1.1661921020217778,1.1177733742005915,1.1301446315130659
2024-08-25 14:00:34,1.1506218680491516,1.1047804145216404,1.1191760011311314
2024-08-28 16:30:05,1.1506218680491516,1.1047804145216404,1.1191760011311314
2024-08-31 12:00:28,1.1506218680491516,1.1047804145216404,1.1191760011311314
2024-09-02 13:00:31,1.1660232609202283,1.119067054375397,1.1214701955118285
2024-09-05 14:28:02,1.1303717530504547,1.084851246481151,1.0871809108628647
2024-09-07 13:00:06,1.138564213955299,1.0936918743513968,1.0954230039798514
2024-09-11 13:00:55,1.1387699805428493,1.0591116701938001,1.0985803149849425
2024-09-14 13:00:07,1.1388416464407585,1.0600667312018985,1.1029147441048137
2024-09-18 13:00:02,1.1388416464407585,1.0600667312018985,1.1029147441048137
2024-09-23 13:00:49,1.1895830892209622,1.092158968423838,1.1295737758746185
2024-09-28 13:00:59,1.1895830892209622,1.092158968423838,1.1295737758746185
2024-09-29 14:00:52,1.2246042041065375,1.1235855045920877,1.1207722178730144
2024-10-05 12:00:35,1.2246042041065375,1.1235855045920877,1.1207722178730144
2024-10-06 12:00:07,1.2112591518602602,1.1203751247458256,1.1103371829274558
2024-10-08 17:31:33,1.1959397001855836,1.0998766483033526,1.096456785057464
2024-10-12 13:00:28,1.1959397001855836,1.0998766483033526,1.096456785057464
2024-10-13 12:00:52,1.2133155560267768,1.1134347065003658,1.1120169835917142
2024-10-16 15:10:39,1.1920231279427829,1.0935370056401559,1.0950780753558909
2024-10-19 12:01:06,1.1803299512449783,1.0835775394254443,1.0850042997097498
2024-10-22 17:15:00,1.1680191749568887,1.072275885456065,1.0736877647093008
2024-10-26 12:00:53,1.1756308997784533,1.0792636722560482,1.0806847524167582
2024-10-29 16:15:00,1.149627418798947,1.0553917134816821,1.0567813611316133
2024-10-31 16:00:13,1.178496895134793,1.0825927494594698,1.0839998679087088
2024-11-05 13:01:14,1.331428411264713,1.2464559966550193,1.13765520626878
2024-11-09 13:00:09,1.401323544298952,1.2998970553904476,1.1917439418785518
2024-11-15 13:00:41,1.3883959167492712,1.2897769886411428,1.1807497486546723
2024-11-23 13:00:05,1.4873960073185293,1.4090896224550256,1.2635387288136302
2024-11-30 14:00:40,1.6138943942163804,1.5289282957861492,1.370998753038138
2024-12-07 14:00:07,1.5804127435041775,1.4947786820310327,1.3865003240456335
2024-12-14 13:00:49,1.5803134854249374,1.4893949336157823,1.35795180342398
2024-12-22 13:00:44,1.5650829628223166,1.4744742377466988,1.3448621830980376
2024-12-29 13:00:46,1.5743652487598576,1.4825687056848431,1.3533285065741112
