date,beta5,beta8,test_v2
2023-09-26,1.0,1.0,1.0
2023-09-27,0.9956853657330949,0.9953176334840004,0.9938954771014716
2023-09-28,1.0061944076447351,1.0061153218820118,1.004768339899931
2023-09-29,1.0089518642373054,1.009255892928285,1.0090118547704925
2023-10-02,1.0210189067085458,1.0210903918998708,1.019883050791543
2023-10-03,1.0005506085465037,1.0005703188044837,0.9989392847085262
2023-10-04,1.0114927648556131,1.01336338121529,1.0103048925103966
2023-10-05,1.0113141437441913,1.0143099163341285,1.0103507892013843
2023-10-06,1.0235518724861203,1.0299633161401558,1.026596777944393
2023-10-09,1.0308580067999142,1.0362263900394555,1.0331396923133784
2023-10-10,1.0364070491072992,1.0414417034364647,1.0413621902426942
2023-10-11,1.0461652465781122,1.051448334816553,1.0520622819011898
2023-10-12,1.045119883346724,1.0508583309882735,1.054364422634625
2023-10-13,1.033682258460478,1.039435308360751,1.0417481021260588
2023-10-16,1.0458250120136332,1.0512206697328563,1.053630875124648
2023-10-17,1.0441544332956922,1.0488772620725868,1.0511170051016354
2023-10-18,1.03556898156923,1.039175612485289,1.0429861146010082
2023-10-19,1.0312679830463716,1.0341708893576949,1.0406587352377283
2023-10-20,1.0190109519897732,1.021615520698994,1.0285093148286564
2023-10-23,1.0184450865273844,1.0211785104876063,1.0274384086143118
2023-10-24,1.0258490748249989,1.029172080522773,1.0359354120530135
2023-10-25,1.0245121049895476,1.0266313061499903,1.0330321413737915
2023-10-26,1.0075233849137062,1.0095853546799054,1.0134679805607505
2023-10-27,1.0063619818825045,1.0082964129374743,1.012572631469285
2023-10-30,1.0219543837726794,1.0235934391120856,1.0211228657933156
2023-10-31,1.0387503555517943,1.0417872646824629,1.0324911137530508
2023-11-01,1.0426815183085778,1.045045369110431,1.0409145679103449
2023-11-02,1.069248804064142,1.071364043123912,1.0637674417682927
2023-11-03,1.086587512205598,1.0856281087848227,1.0778788414927776
2023-11-06,1.084654641662306,1.082377558225922,1.0811268003415413
2023-11-07,1.0834131318179934,1.0813026617242985,1.0852907592770389
2023-11-08,1.0826167072104007,1.0806114371678373,1.08822630148284
2023-11-09,1.068890504232157,1.0681716630042446,1.0725799751296867
2023-11-10,1.0929375921233233,1.091484943927122,1.0965920578272708
2023-11-13,1.0954693830237698,1.091122694339402,1.1003301722093797
2023-11-14,1.1250455428889583,1.122074286433609,1.1316751148385464
2023-11-15,1.1231479229075825,1.122665509822584,1.131860289296848
2023-11-16,1.1244024205071954,1.1214305235085111,1.131480079546534
2023-11-17,1.124259397884292,1.1216714399210057,1.1317961551867748
2023-11-20,1.1340479740723102,1.1309542047109296,1.1458240358025955
2023-11-21,1.131930149924112,1.1288659291789962,1.1442600686236162
2023-11-22,1.138848211128258,1.1354903030793209,1.1508546100338264
2023-11-24,1.139618775963013,1.1367174558676318,1.149567948234368
2023-11-27,1.133926796046319,1.1301047184659203,1.1453605398512057
2023-11-28,1.1335179588433557,1.1297640594546117,1.1477610871254145
2023-11-29,1.1377771371868803,1.1343163157721745,1.1599878057517437
2023-11-30,1.1392120507769568,1.1355480543014418,1.1640777310907489
2023-12-01,1.1401507886829494,1.1367158470314935,1.1649351438174986
2023-12-04,1.1270891952655206,1.123959324011249,1.1515421522549982
2023-12-05,1.1300666719531978,1.1272981367725496,1.1547155319143028
2023-12-06,1.128159865594802,1.1257112812575805,1.1502827227982766
2023-12-07,1.135970325935284,1.1381405390124688,1.1567656591813709
2023-12-08,1.1354292100889265,1.1357735441429817,1.1560501860445185
2023-12-11,1.142564595769911,1.145684886536508,1.1662202546754528
2023-12-12,1.155455166418724,1.154883779934487,1.1760681949559473
2023-12-13,1.1825229372278308,1.1818539547159344,1.2092756401688587
2023-12-14,1.1867317681480796,1.1862211166059404,1.1999901665909285
2023-12-15,1.1819121258405512,1.1813460425894635,1.2000968958917868
2023-12-18,1.1955134971205337,1.1948220625939137,1.218836412493456
2023-12-19,1.2078107861220335,1.2073661088153944,1.2268633615526696
2023-12-20,1.1899980706609563,1.187958641802329,1.2118313788717092
2023-12-21,1.2079256371609963,1.2095876908350032,1.2244857516030534
2023-12-22,1.2062978649003648,1.2069621505493286,1.224441366974698
2023-12-26,1.2109790960975386,1.213144918109757,1.229349120047372
2023-12-27,1.2177360639203212,1.2222359074329885,1.2307249570357115
