method,run_name,cumulative_return,sharpe,max_drawdown
KICL,goldseek_20260320_161843,0.6246963936806844,1.8505440243295195,0.27550206795787624
WO_BC_ANCHOR,goldseek_20260321_144810,0.520836435877384,1.6553913203673083,0.2744468826318579
WO_ENTRY_PEN,goldseek_20260321_194032,0.5598492238330146,1.7427831315103537,0.27451624790404755
WO_FIDELITY,goldseek_20260321_162814,0.5722702414728589,1.7666362934455737,0.27445795160231007
WO_HARD,goldseek_20260321_003328,-0.05298919839862459,-0.40074335644614234,0.08231432376370111
WO_MKT_FACTORS,goldseek_20260321_211641,0.6110609264055056,1.820664201522668,0.27662755496337876
WO_REV_PEN,goldseek_20260321_180405,0.5117150711945908,1.633644628735553,0.2751811683341152
WO_RL_COMPLETION,goldseek_20260321_162412,0.46305088529155314,1.5318037197892702,0.2743119372772456
WO_SOFT,goldseek_20260321_131414,0.536327711811946,1.686391016592303,0.2752697665725334
WO_REGIME_SPLIT,goldseek_20260321_225235,0.4971923815947894,1.6086325874545682,0.2743045436937155
