method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,goldseek_20260320_161843,0.6260698172201669,0.46419313503543735,1.708131587023611,1.4022167888442385,0.2754947431844186,0.2743174424064421
WO_BC_ANCHOR,goldseek_20260321_144810,0.5222482565567075,0.46419313503543735,1.5200881399915158,1.4022167888442385,0.2744505757819231,0.2743174424064421
WO_ENTRY_PEN,goldseek_20260321_194032,0.561219960777382,0.46419313503543735,1.5973273849490106,1.4022167888442385,0.27451597622927687,0.2743174424064421
WO_FIDELITY,goldseek_20260321_162814,0.5740053688671463,0.46419313503543735,1.6223024223383498,1.4022167888442385,0.2744584775865847,0.2743174424064421
WO_HARD,goldseek_20260321_003328,0.4910889438917243,0.46419313503543735,1.8673617109805063,1.4022167888442385,0.19817421041449335,0.2743174424064421
WO_MKT_FACTORS,goldseek_20260321_211641,0.6127845125853284,0.46419313503543735,1.6796595621479293,1.4022167888442385,0.2766270611515459,0.2743174424064421
WO_REV_PEN,goldseek_20260321_180405,0.5133622283108794,0.46419313503543735,1.498872018924924,1.4022167888442385,0.27518188046933273,0.2743174424064421
WO_RL_COMPLETION,goldseek_20260321_162412,0.4641983502121545,0.46419313503543735,1.4022280803027336,1.4022167888442385,0.2743174424064421,0.2743174424064421
WO_SOFT,goldseek_20260321_131414,0.5377712290204131,0.46419313503543735,1.5484633395866891,1.4022167888442385,0.2752699142039534,0.2743174424064421
WO_REGIME_SPLIT,goldseek_20260321_225235,0.4982428242274879,0.46419313503543735,1.473552990727637,1.4022167888442385,0.27430981845821306,0.2743174424064421
