date,KICL,WO_ENTRY_PEN,WO_FIDELITY,WO_HARD,WO_MKT_FACTORS,WO_REV_PEN,WO_RL_COMPLETION,WO_SOFT,WO_REGIME_SPLIT
2023-03-27 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-03-28 00:00:00,0.9957754046616968,0.9957754046616968,1.0,0.9957021922226396,0.9957754046616968,1.0001043965285183,0.9957754046616968,0.9999058211803854,0.9957754046616968
2023-03-29 00:00:00,1.0079158804245232,1.0079158804245232,1.0,1.0080295912758876,1.0079158804245232,1.00577730231744,1.0079158804245232,1.0022922299588308,1.0079158804245232
2023-03-30 00:00:00,1.0193053172277022,1.0190836671214625,1.000836948288286,1.009122821373775,1.017756439223814,1.0055662066580604,1.020786483009439,1.0089079894925572,1.0199486381521354
2023-03-31 00:00:00,1.0273592009047836,1.0270564184106867,1.002609491091462,1.0210538996497112,1.0270852999980866,1.0091086488668306,1.0274809126747697,1.0066756668326076,1.027945377877003
2023-04-03 00:00:00,0.9892529932283745,0.988961441365775,1.002609491091462,1.0123850296864392,0.988989251694197,1.0091086488668306,0.9893701905364471,0.9693366407263272,0.989817428066568
2023-04-04 00:00:00,1.0126797774533671,1.012381321267382,1.002609491091462,1.0187100582281263,1.0124097901801778,1.0091086488668306,1.0127997501445487,0.9922917800881674,1.0132575788350575
2023-04-05 00:00:00,0.9908617349973664,0.9905697090076604,1.002609491091462,1.0120401775665906,0.99059756456176,1.0091086488668306,0.9909791228938992,0.97091299414939,0.9914270877300784
2023-04-06 00:00:00,1.0329896436781956,1.0326852017844417,1.002609491091462,1.0246321427750469,1.0327142416574,1.0091086488668306,1.0331120224896166,1.0121927534839903,1.033579033193695
2023-04-10 00:00:00,1.0271387916066113,1.0268360740713691,1.002609491091462,1.0258007862616776,1.0268649494625228,1.009286222650137,1.0272604772645948,1.0062815784768415,1.0277248428206194
2023-04-11 00:00:00,1.0199101497700485,1.019609562654432,1.002609491091462,1.0228296514341235,1.019638234830731,1.0110296274003632,1.0200309790471365,0.9974615077403454,1.0204920765615748
2023-04-12 00:00:00,0.9910298836771988,0.9907378081308466,1.002609491091462,1.0024246519303983,0.990765668412018,1.0123993284945771,0.9911472914943916,0.967865588619474,0.991595332349952
2023-04-13 00:00:00,1.0088468789546805,1.0085495523975203,1.002609491091462,1.012870811461804,1.0085779135581368,1.0180318158371982,1.0089663975604166,0.979881406403493,1.0094224934120364
