method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Investing_with_Tom_20260316_014417,0.06536793277720454,0.06354447339569869,0.853401462216137,0.8326377991646327,0.04900643798391222,0.05057847683902994
WO_BC_ANCHOR,Investing_with_Tom_20260321_144811,0.0,0.06029242407433344,0.0,0.7961736119857652,0.0,0.05142191639519058
WO_ENTRY_PEN,Investing_with_Tom_20260321_194032,0.013353186726173583,0.027206592582295963,0.251825212385597,0.42670104463684083,0.05011710527214407,0.051947444663521206
WO_FIDELITY,Investing_with_Tom_20260321_162814,-0.004604371426980114,-0.01209689119109203,-0.0552872859673754,-0.23278123361446276,0.05814094778289594,0.05086517934032186
WO_HARD,Investing_with_Tom_20260321_012114,0.00126029654138482,0.06029242407433344,0.10023000383147936,0.7961736119857652,0.0986649318227657,0.05142191639519058
WO_MKT_FACTORS,Investing_with_Tom_20260321_211640,0.04024260962698856,0.06029242407433344,0.5416697566235384,0.7961736119857652,0.05304705563925601,0.05142191639519058
WO_REV_PEN,Investing_with_Tom_20260321_180404,0.08208344545295576,0.09201461080592033,2.290788581013264,2.5534898303368894,0.03346005683016403,0.030802353081222648
WO_RL_COMPLETION,Investing_with_Tom_20260321_162411,0.06039623761370594,0.06029242407433344,0.7973211042331574,0.7961736119857652,0.0514806090001191,0.05142191639519058
WO_SOFT,Investing_with_Tom_20260321_032511,-0.079002821610903,-0.0479579108495245,-0.9808252919061741,-0.5988310604671193,0.09545757997396817,0.08824161693272355
WO_REGIME_SPLIT,Investing_with_Tom_20260321_225235,0.051976569088751035,0.06435973784715876,0.6902317662845642,0.8420059676028441,0.04982057091144767,0.05142191639699994
