method,run_name,turnover,baseline_turnover,turnover_improve_vs_baseline,rebalance_freq,baseline_rebalance_freq,rebalance_freq_improve_vs_baseline,active_exposure_ratio,baseline_active_exposure_ratio,active_exposure_ratio_improve_vs_baseline
HARD_BOTH,intocryptoverse_20260324_232706,0.847517730496454,0.3501401827659574,-0.4973775477304966,0.6595744680851063,1.0,0.34042553191489366,0.9894736842105263,0.9894736842105263,0.0
BC,,,,,,,,,,
IQL,,,,,,,,,,
TRAIN_ONLY,intocryptoverse_20260325_005745,0.6337507380142922,0.3501401827659574,-0.2836105552483348,1.0,1.0,0.0,1.0,0.9894736842105263,-0.010526315789473717
INFER_ONLY,intocryptoverse_20260325_022818,0.8262411347517731,0.3501401827659574,-0.4761009519858157,0.6382978723404256,1.0,0.36170212765957444,0.9894736842105263,0.9894736842105263,0.0
HARD_NONE,intocryptoverse_20260325_035533,0.12325504424867319,0.3501401827659574,0.2268851385172842,0.9042553191489362,1.0,0.0957446808510638,1.0,0.9894736842105263,-0.010526315789473717
