method,run_name,cumulative_return,baseline_cumulative_return,sharpe,baseline_sharpe,max_drawdown,baseline_max_drawdown
HARD_BOTH,intocryptoverse_20260324_232706,-0.16254286639676008,-0.16254286639676008,-0.32621521711481555,-0.32621521711481555,0.41149412791443296,0.41149412791443296
BC,,,,,,,
IQL,,,,,,,
TRAIN_ONLY,intocryptoverse_20260325_005745,-0.021656772719624184,-0.16254286639676008,-0.058226067946217,-0.32621521711481555,0.16805560326448002,0.41149412791443296
INFER_ONLY,intocryptoverse_20260325_022818,-0.14406560719599248,-0.16254286639676008,-0.24821786494626485,-0.32621521711481555,0.3985096120920638,0.41149412791443296
HARD_NONE,intocryptoverse_20260325_035533,-0.051028876263695566,-0.16254286639676008,-0.5369339655956462,-0.32621521711481555,0.13815694862366168,0.41149412791443296
