date,exp0.5,exp0.6,test_v2
2024-05-13,1.0,1.0,1.0
2024-05-14,0.9976168207202496,0.9976168207202496,0.9976168207202496
2024-05-15,1.003744974807525,1.003744974807525,1.003744974807525
2024-05-16,1.0046203829843985,1.0046203829843985,1.0046203829843985
2024-05-17,1.0139098322156592,1.0139098322156592,1.0139098322156592
2024-05-20,1.0043285802587738,1.0043285802587738,1.0043285802587738
2024-05-21,1.007660118396804,1.007660118396804,1.007660118396804
2024-05-22,1.001192780066825,1.0012715718523248,1.0061046216800134
2024-05-23,1.0398145821211031,1.042211442071462,1.061373961696818
2024-05-24,1.059827309055989,1.0622703000228892,1.0818016298950337
2024-05-28,1.133807862917016,1.1364213852745155,1.1573160868858454
2024-05-29,1.1430056214003643,1.1456403453637285,1.166704550490855
2024-05-30,1.0999531854694622,1.1024886699518432,1.1227594709830566
2024-05-31,1.09132281575359,1.0938384065088738,1.1139501603100348
2024-06-03,1.1447476590858656,1.1473863985924162,1.1684827073579325
2024-06-04,1.1590519924219955,1.1617237046183695,1.1830836248709664
2024-06-05,1.182302525346545,1.185549449478104,1.2057526513262722
2024-06-06,1.1909108274365268,1.1941813923057047,1.21453169293863
2024-06-07,1.1878321100670677,1.1910942199414312,1.2113919114095146
2024-06-10,1.196695066410539,1.1999815163723262,1.2204306581605602
2024-06-11,1.1880483108172737,1.191311014437669,1.2116124003471516
2024-06-12,1.2146982866407932,1.2176535699705562,1.2453061068933708
2024-06-13,1.2229490566996788,1.2260067733359803,1.2626962959575672
2024-06-14,1.1930572335665113,1.196040212236924,1.2318329544774826
2024-06-17,1.25625896114421,1.259399961911127,1.2970888102903524
2024-06-18,1.2389672924618853,1.242065059193247,1.2792351426526998
2024-06-20,1.2196717277908455,1.2239732493347366,1.2628690472830175
2024-06-21,1.2170527973726055,1.2209981232038554,1.2582431980380588
2024-06-24,1.1934782662400365,1.1973471704017928,1.2338708014513804
2024-06-25,1.2169097982509405,1.2208546605212585,1.258095359199391
2024-06-26,1.2150812747291877,1.2190202094661242,1.2562049504277546
2024-06-27,1.2105732364639883,1.2144975574718788,1.2515443403901891
2024-06-28,1.2097868428716512,1.2137086146237,1.2507313317921438
2024-07-01,1.250129356885151,1.254181907156405,1.2924392132898277
2024-07-02,1.245021336302014,1.2490573278786932,1.2871583149031305
2024-07-03,1.2769260850944375,1.2810655024467463,1.3201428602242893
2024-07-05,1.2784315048199637,1.287756771849108,1.3268409450588627
2024-07-08,1.2928489670448549,1.2987878484666875,1.3392177352011392
2024-07-09,1.3215819674099218,1.329894764603182,1.3627980510752362
2024-07-10,1.34082957464902,1.3490562277170106,1.3709253589515968
2024-07-11,1.2468990791700527,1.2545494221585076,1.2748865329399377
2024-07-12,1.2745269455160897,1.2823467991386588,1.303134524559172
2024-07-15,1.2819037414047003,1.2897688553211029,1.3106768973876903
2024-07-16,1.2814690454869002,1.2893314923286994,1.3102324444397448
2024-07-17,1.2188981273957211,1.2263766706863055,1.2462570817494234
2024-07-18,1.227939582793622,1.2354735998880322,1.2555014784432064
2024-07-19,1.1699530520430246,1.177131293071542,1.1962134026231086
2024-07-22,1.1950519720180492,1.2023842073430226,1.221429798343579
2024-07-23,1.1918444932216952,1.1991570490767498,1.216789840901931
2024-07-24,1.1208275788052915,1.1277044107414311,1.1405558729806111
2024-07-25,1.1429337837563898,1.1499462482011056,1.1630511812359308
2024-07-26,1.1619124177271791,1.1645151034422878,1.1712951885223513
2024-07-29,1.186437213375531,1.1895036310912148,1.1856847541697215
2024-07-30,1.131477266646551,1.142776321839202,1.1074591976801684
2024-07-31,1.227975354403019,1.2402380500077992,1.2019089033832102
2024-08-01,1.1467562628099948,1.1582078957220827,1.1224138638774628
2024-08-02,1.1618451468043092,1.173447458955011,1.1224138638774628
2024-08-05,1.036308342393271,1.0497791773840686,1.077074110949326
2024-08-06,1.0343648107357566,1.047810382015758,1.0763814801399871
2024-08-07,1.0343648107357566,1.047810382015758,1.0763814801399871
2024-08-08,1.057484390972177,1.0712304906158718,1.102006438038813
2024-08-09,1.0184110004287086,1.0316491902399625,1.110117773806436
2024-08-12,1.005629970344822,1.0187020212375422,1.096185826235461
2024-08-13,1.0582818004193235,1.0720382654828873,1.15357889481439
2024-08-14,1.0254380611952163,1.038767594839366,1.1177776135481854
2024-08-15,1.0904126550510749,1.1045867848415845,1.188603097026741
2024-08-16,1.1004949021997128,1.1148000897865558,1.1995932392727506
2024-08-19,1.12027345914722,1.131849247570124,1.2183155947060431
2024-08-20,1.1043501548543044,1.1157614077345843,1.2009987424849116
2024-08-21,1.116029610979745,1.1275615477090428,1.2127911916291507
2024-08-22,1.0848947872822252,1.0944891126151377,1.1682269340086642
2024-08-23,1.1190105876536798,1.1289066178999103,1.2049632123431162
2024-08-26,1.10014366001023,1.1095342932491348,1.1778592601143978
2024-08-27,1.0978274402704136,1.1071983026640475,1.1753794195552318
2024-08-28,1.0772404634299837,1.0864355990017185,1.153338151500262
2024-08-29,1.00846032588364,1.017068366270176,1.0796992942621542
2024-08-30,1.0237257897741725,1.032464133481837,1.0960431306691545
2024-09-03,0.9262158226663558,0.9341218384049268,0.9916449307919452
2024-09-04,0.9329429393897892,0.9409063766162998,0.9988472599191184
2024-09-05,0.9506203398848648,0.958734668300136,1.0177734153156617
2024-09-06,0.891866164114164,0.899478977194691,0.9548687670252144
2024-09-09,0.90393344822418,0.9116492655244156,0.9677885000110698
2024-09-10,0.9177721729446184,0.9256061151707774,0.982604810510001
2024-09-11,0.99256937663717,1.0010417746693334,1.062685787388162
2024-09-12,1.0115021060859193,1.0201361105745184,1.062685787388162
2024-09-13,1.011162497134194,1.0197936027803725,1.062685787388162
