date,exp0.5,exp0.6,test_v2
2023-09-26,1.0,1.0,1.0
2023-09-27,0.9950600058879322,0.9955622274656036,0.9938954771014716
2023-09-28,1.00592898781452,1.0063569664501897,1.004768339899931
2023-09-29,1.0092904876762487,1.0092877590907952,1.0090118547704925
2023-10-02,1.0209539780540022,1.0212817244393413,1.019883050791543
2023-10-03,1.000369476688567,1.0008503110331746,0.9989392847085262
2023-10-04,1.0123486031580151,1.0132960101527682,1.0103048925103966
2023-10-05,1.012446458569636,1.0135769375728323,1.0103507892013843
2023-10-06,1.0250789735347887,1.028356497143855,1.026596777944393
2023-10-09,1.0320131248679314,1.0345684816362193,1.0331396923133784
2023-10-10,1.0380995246562816,1.040476991314223,1.0413621902426942
2023-10-11,1.0470027866813876,1.04989601639031,1.0520622819011898
2023-10-12,1.0456338647849677,1.048624392817479,1.054364422634625
2023-10-13,1.034981767560062,1.0375669133470191,1.0417481021260588
2023-10-16,1.0469583244767844,1.049632142694854,1.053630875124648
2023-10-17,1.04577759442426,1.047566553522316,1.0511170051016354
2023-10-18,1.0365599612127263,1.038672511587175,1.0429861146010082
2023-10-19,1.0311491658643055,1.0342340749920635,1.0406587352377283
2023-10-20,1.0186880082272725,1.0220428845589389,1.0285093148286564
2023-10-23,1.018566843718884,1.0214917520354434,1.0274384086143118
2023-10-24,1.0268554818897695,1.0292879455140052,1.0359354120530135
2023-10-25,1.0249470136098668,1.0274867153348402,1.0330321413737915
2023-10-26,1.0092103096242049,1.0107476324845983,1.0134679805607505
2023-10-27,1.0076006647407874,1.009461875890488,1.012572631469285
2023-10-30,1.0217107009354789,1.0247069525083483,1.0211228657933156
2023-10-31,1.0362490729641072,1.040835262157483,1.0324911137530508
2023-11-01,1.0417405326816036,1.0448107355620242,1.0409145679103449
2023-11-02,1.061376498503263,1.072316709951225,1.0637674417682927
2023-11-03,1.0782444593286555,1.0877071494252302,1.0778788414927776
2023-11-06,1.075787279845159,1.086308838863473,1.0811268003415413
2023-11-07,1.075106100371972,1.08750712367156,1.0852907592770389
2023-11-08,1.0746750469717397,1.0878552277424696,1.08822630148284
2023-11-09,1.0598635319790843,1.0735782289478673,1.0725799751296867
2023-11-10,1.0827395325777447,1.0975215484088108,1.0965920578272708
2023-11-13,1.0841591171912577,1.1003055532679995,1.1003301722093797
2023-11-14,1.1153059643016363,1.129073866646852,1.1316751148385464
2023-11-15,1.1136421624237656,1.1287817569753156,1.131860289296848
2023-11-16,1.112946096560291,1.1301384395594962,1.131480079546534
2023-11-17,1.1139830757316014,1.1304788998453004,1.1317961551867748
2023-11-20,1.1226858887227744,1.1401501935816212,1.1458240358025955
2023-11-21,1.120274382907984,1.138124037937878,1.1442600686236162
2023-11-22,1.127020509251217,1.1451326179423502,1.1508546100338264
2023-11-24,1.127936420662005,1.146346544881102,1.149567948234368
2023-11-27,1.1219630437139845,1.1396376496149714,1.1453605398512057
2023-11-28,1.1218509677079844,1.1399046717231018,1.1477610871254145
2023-11-29,1.126945359267522,1.145656234023336,1.1599878057517437
2023-11-30,1.1273809919567794,1.1495919608252494,1.1640777310907489
2023-12-01,1.127886233675678,1.1499186633463985,1.1649351438174986
2023-12-04,1.11467220917012,1.1363347720606218,1.1515421522549982
2023-12-05,1.117843528339992,1.1396934130981031,1.1547155319143028
2023-12-06,1.1159157114803642,1.136936424216229,1.1502827227982766
2023-12-07,1.125726879405917,1.147919732577924,1.1567656591813709
2023-12-08,1.1232988717313517,1.1457460284204994,1.1560501860445185
2023-12-11,1.131232908042091,1.15501093611363,1.1662202546754528
2023-12-12,1.142525110465319,1.1658949871027455,1.1760681949559473
2023-12-13,1.1692899809099049,1.1931427687914269,1.2092756401688587
2023-12-14,1.1734517131448226,1.1975125962756037,1.1999901665909285
2023-12-15,1.1686860047730478,1.1926050889068938,1.2000968958917868
2023-12-18,1.1821351706738823,1.2062384181931043,1.218836412493456
2023-12-19,1.1891791220985992,1.2167318154586968,1.2268633615526696
2023-12-20,1.1725529553889753,1.2007097890673923,1.2118313788717092
2023-12-21,1.1858717266935297,1.2194629865988114,1.2244857516030534
2023-12-22,1.183709706614731,1.2176957553125167,1.224441366974698
2023-12-26,1.1865187887197222,1.2220202262447522,1.229349120047372
2023-12-27,1.1912768792521289,1.2294405045359345,1.2307249570357115
2023-12-28,1.1882700308914191,1.2254914577870348,1.2241226130854452
2023-12-29,1.1821733163069272,1.2142554893164317,1.2192752201145305
2024-01-02,1.15562662270214,1.1891794261330608,1.194300356450214
2024-01-03,1.147652358422509,1.1809736347177402,1.185357904543401
2024-01-04,1.1454686298138477,1.1787265030900471,1.1703037218800565
2024-01-05,1.1496621549084736,1.1830417842263032,1.165607253532444
2024-01-08,1.1685696555222924,1.2024982507768724,1.1937856709532335
2024-01-09,1.152820374154319,1.186291700139105,1.1910836457187528
2024-01-10,1.1582783070085465,1.1919081002219334,1.1978387578880652
2024-01-11,1.1564901291771923,1.1909100523662464,1.1976457156787497
2024-01-12,1.1601484644941036,1.195045466115181,1.203238906428359
