method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Ale_s_World_of_Stocks_20260316_014416,0.729617618872737,0.6797743161520666,2.2630064134345957,2.1010003320719277,0.158268054591721,0.1571776162031464
WO_BC_ANCHOR,Ale_s_World_of_Stocks_20260321_144810,0.6979646109082724,0.6797743161520666,2.2014277096571475,2.1010003320719277,0.15292717491131033,0.1571776162031464
WO_ENTRY_PEN,Ale_s_World_of_Stocks_20260321_194032,0.69231427632488,0.6797743161520666,2.2129400581758,2.1010003320719277,0.1559249145704096,0.1571776162031464
WO_FIDELITY,Ale_s_World_of_Stocks_20260321_162814,0.7344141100180113,0.6797743161520666,2.252561358250627,2.1010003320719277,0.15449403881293725,0.1571776162031464
WO_HARD,Ale_s_World_of_Stocks_20260321_011643,0.2158062000750951,0.6797743161520666,1.2067381973691607,2.1010003320719277,0.12688912811843153,0.1571776162031464
WO_MKT_FACTORS,Ale_s_World_of_Stocks_20260321_211641,0.7812345382987369,0.6797743161520666,2.302686316734107,2.1010003320719277,0.1511026381680592,0.1571776162031464
WO_REV_PEN,Ale_s_World_of_Stocks_20260321_180404,0.6902029068192397,0.6797743161520666,2.190535978235037,2.1010003320719277,0.16015501556415798,0.1571776162031464
WO_RL_COMPLETION,Ale_s_World_of_Stocks_20260321_162412,0.6798277267073984,0.6797743161520666,2.101094882188468,2.1010003320719277,0.1571308606230914,0.1571776162031464
WO_SOFT,Ale_s_World_of_Stocks_20260321_131414,0.7346809197534365,0.6797743161520666,2.321440287310703,2.1010003320719277,0.1487223467305202,0.1571776162031464
WO_REGIME_SPLIT,Ale_s_World_of_Stocks_20260321_225233,0.6834097778816584,0.6797743161520666,2.1533585826250086,2.1010003320719277,0.1507640368322637,0.1571776162031464
