source,method,n_kols,event_mean_cumulative_return,event_mean_sharpe,event_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown
x,KICL,10,0.10845029713221706,0.47256790249115826,0.31600311287498745,0.0,0.0,0.007003685436211526,0.5958789229393006,0.780337541055198,0.8274142622947693,0.11648397771267831,0.025939629092175974,0.4240745380346027,0.2573372941330138,0.31744530952896893,0.33174763688797154
x,WO_BC_ANCHOR,10,0.09794704314228644,0.48527990816837707,0.32174105994772934,0.0,0.0,0.007045366696547717,0.5849444627761841,0.7874072762727758,0.8251446902751922,0.10125085823486732,0.026066247087530713,0.41931640600408804,0.2581488772631583,0.3226073244453661,0.33120998845503313
x,WO_ENTRY_PEN,10,0.10038706199036943,0.5206851263636884,0.30380944407125104,0.0,0.0,0.006227792857680469,0.576427486538887,0.7834156253332324,0.8443483114242554,0.11222153589147262,0.041402896386367516,0.48641409944013053,0.23747964221232812,0.2958408504584794,0.31867247533115567
x,WO_FIDELITY,10,-0.00569336291236523,0.28897325494965037,0.35525322864936004,0.0,0.0,0.006887973705306649,0.5831723690032959,0.7940202500257427,0.8330818235874176,0.002020702722171941,0.02471497228849171,0.20936321242633166,0.1520012462256442,0.3408376543799333,0.3181324203604372
x,WO_HARD,10,0.01356633715922848,-0.02882753609889686,0.10393904249992174,0.2036658102958419,0.19070162517719905,0.02540972181595862,0.7156081408262253,0.7963341897041581,0.8356352508068084,0.20001326329652375,0.027279579588646418,0.7087171727079051,0.25355356863784334,0.23698366497114787,0.3273589875159699
x,WO_MKT_FACTORS,10,0.08377567595871842,0.4379933393878632,0.32430338952971727,0.0,0.0,0.006785969960037619,0.571692430973053,0.8014924118768842,0.8326934039592743,0.07560953881712737,0.015659639233274337,0.23256646476474735,0.14096063407961107,0.3052155220938856,0.31088695288290624
x,WO_REV_PEN,10,0.11129238275619102,0.5016053988657175,0.30474855529230166,0.0,0.0,0.007443860417697579,0.5997925460338592,0.7756334349969827,0.8273801922798156,0.13951714121114253,0.04802973334883183,0.5691729923263823,0.3851481148850293,0.2920450398927717,0.31773207788249047
x,WO_RL_COMPLETION,10,0.021400429314067458,0.29486449702746637,0.330875186234875,0.0,0.0,5.1556364223870335e-05,0.005246288306079805,1.0,0.999988728761673,0.026876431313680338,0.02692568042156217,0.2611026427200981,0.2612750434992984,0.3309615663899278,0.33095202688430503
x,WO_SOFT,10,0.14285366065577773,0.45249521699843925,0.31318935870209474,0.0,0.0,0.007035534793976695,0.5989590466022492,0.7720400718874721,0.8218673467636108,0.15903102235683358,0.02630733621221788,0.3171781751923953,0.21088212383918328,0.30823075890819285,0.3244665116342062
x,WO_REGIME_SPLIT,10,0.06648681810535283,0.4077756418177219,0.3340676664295123,0.0,0.0,0.006825660215690732,0.5910745531320571,0.7763476124559043,0.83151615858078,0.07427333848211488,0.024774187842421514,0.3499211965873001,0.2543784885973738,0.33946890269577745,0.3324686284291617
youtube,KICL,10,0.2866621970778739,2.560002152154383,0.15920044542810247,0.0,0.0,0.008384626125916839,0.576989260315895,0.7826531892677058,0.8476063489913941,0.34186322193065055,0.3168970676527764,1.2888597055579596,1.248722148437647,0.1891604791970106,0.18519276166271545
youtube,WO_BC_ANCHOR,10,0.3074121886142537,2.407111409951431,0.15464793574933383,0.0,0.0,0.010711074294522404,0.6588180661201477,0.6847073609477676,0.8368157744407654,0.36144672288409285,0.31657186272063986,1.2776929870091494,1.2450757297197603,0.18007314719788226,0.1852771056183315
