method,cumulative_return,sharpe,max_drawdown
KICL,0.19755624710504552,1.5162850273227706,0.23760177915154493
WO_BC_ANCHOR,0.20267961587827008,1.446195659059904,0.2381944978485316
WO_ENTRY_PEN,0.19617326554538375,1.534674604063867,0.23056364592886508
WO_FIDELITY,0.1502543059603584,1.4151224078077103,0.25604061160912456
WO_HARD,0.05687984614354276,1.0533117410403399,0.09193231427742453
WO_MKT_FACTORS,0.19373887033743023,1.4571070630691383,0.24208555985752414
WO_REV_PEN,0.2120752094441533,1.5662877243759892,0.23086706384946604
WO_RL_COMPLETION,0.14591212025263164,1.4076178048688255,0.24280881734954168
WO_SOFT,0.21060031510422367,1.424637591054119,0.23633366056331567
WO_REGIME_SPLIT,0.17758355061071152,1.436211024002941,0.2458868006801977
