date,KICL,WO_BC_ANCHOR,WO_ENTRY_PEN,WO_FIDELITY,WO_HARD,WO_MKT_FACTORS,WO_REV_PEN,WO_RL_COMPLETION,WO_SOFT,WO_REGIME_SPLIT
2024-12-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-31,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212,0.9733542191669212
2025-01-02,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578,1.0303030272832578
2025-01-03,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242,1.0801985316803242
2025-01-06,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627,1.1157262394577627
2025-01-07,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729,1.0595611981896729
2025-01-08,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757,1.0660920238942757
2025-01-10,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345,1.0470220247951345
2025-01-13,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016,1.034221562567016
2025-01-14,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733,1.0909090818497733
2025-01-15,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307,1.1901777122817307
2025-01-16,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035,1.2037618417056035
2025-01-17,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164,1.2578370705675164
2025-01-21,1.269332841235481,1.2693012431735533,1.269332841235481,1.2690960221713068,1.278112320150679,1.2690171570616484,1.2692676073903215,1.269332841235481,1.2687887934473867,1.269144212255297
2025-01-22,1.2798242386166043,1.2799530213286072,1.2798242386166043,1.2807892361089337,1.2887157127421145,1.28111049832786,1.2800901002956453,1.2798242386166043,1.2820404715420612,1.2805929061040062
2025-01-23,1.2766150100688798,1.2767302775547469,1.2766150100688798,1.2774786504313496,1.2870307893687882,1.2777661260284927,1.2768529668200612,1.2766150100688798,1.2785981734585088,1.2773029574800006
2025-01-24,1.262126826344772,1.2616913046873743,1.262126826344772,1.25886003766315,1.2786794820231149,1.2577707697456164,1.2612275761959182,1.262126826344772,1.2546128108344672,1.2595252925969938
