method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Humbled_Trader_20260316_014416,0.3528872252154047,4.225103210559967,0.2853356974487406
WO_BC_ANCHOR,Humbled_Trader_20260321_144810,0.3397030074119709,4.117796657558347,0.28784061460776
WO_ENTRY_PEN,Humbled_Trader_20260321_194033,0.34991180811154865,4.200384092386306,0.2853356974487406
WO_FIDELITY,Humbled_Trader_20260321_162814,0.36883580578055475,4.242281854359592,0.3041093848599603
WO_HARD,Humbled_Trader_20260321_012045,0.008119634738317894,0.8906569379797609,0.2563223703210167
WO_MKT_FACTORS,Humbled_Trader_20260321_211641,0.3526510945915753,4.114378426223106,0.31036136850639867
WO_REV_PEN,Humbled_Trader_20260321_180404,0.3609717662790539,4.261812951667344,0.29050707088493544
WO_RL_COMPLETION,Humbled_Trader_20260321_162411,0.34480641083570873,4.162307429795,0.2853356974487406
WO_SOFT,Humbled_Trader_20260321_032433,0.27954218450808277,3.581154688134217,0.328464755263712
WO_REGIME_SPLIT,Humbled_Trader_20260321_225234,0.3150179723360085,3.902402777674851,0.30028914523395656
