date,full,bc_only,iql_modified_only,bc_plus_vanilla_iql,iql_vanilla_only,baseline,SPY
2023-09-26 21:27:24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-10-03 20:31:11,1.0336832280964638,1.033032496892333,1.0312473210400073,1.0307555779690512,1.0297428860123596,1.0241252566714383,1.0
2023-10-09 19:06:31,1.047274202620394,1.045003162857231,1.0443455376547721,1.0350126938413111,1.0338401289964618,1.0400184010248306,1.025380137811561
2023-10-16 17:28:55,1.0242375120696352,1.0275837730198545,1.022511168742259,1.0228492665018991,1.0214313709171285,1.0213266521438764,1.034275035775398
2023-10-25 21:35:46,1.0213261725235239,1.024712556810778,1.0193577169699353,1.0210287766568344,1.0194710283228758,1.017828172652431,0.9904172096586368
2023-10-30 20:18:58,1.067280247474777,1.0669429575502773,1.0702008406809265,1.0438638407037597,1.041233699179691,1.0770057322254465,0.98576816325786
2023-11-02 23:23:45,1.0888446506976932,1.0877884938103826,1.0762769935567373,1.0571544212058295,1.054208226972506,1.097506511893358,1.0217510223377895
2023-11-08 18:01:12,1.100248842833858,1.0991450183371307,1.0859404813686848,1.0592633752269924,1.056767830645469,1.106934022817904,1.037145102583407
2023-11-13 21:46:32,1.1325815277227769,1.1262360415598416,1.1146087359912507,1.0781254609211868,1.073806993118404,1.133984275556734,1.0441187083780046
2023-11-17 21:01:15,1.1441210518277811,1.1364454540430824,1.124138865548547,1.082669403038846,1.0781925273470765,1.1437268393430329,1.0692616344331574
2023-11-20 21:17:14,1.1447724289814998,1.1332436524295164,1.1236448258158247,1.084648873824811,1.0798377271797786,1.1376202726529483,1.0774923829111693
2023-11-27 22:06:11,1.1507243272568846,1.1478267619890432,1.129580361157188,1.092039168622007,1.087544237682377,1.1547482604220833,1.0780142198205223
2023-11-30 21:07:40,1.1412485259837994,1.1379485637442859,1.1199403615299066,1.0902756144862655,1.0860278380820882,1.1448301696439185,1.0825683670413624
2023-12-05 22:32:30,1.1675908343714667,1.1630083523101078,1.1457899875200714,1.099977829471943,1.0949522159402754,1.1588868428611132,1.0830427905541795
2023-12-12 18:42:07,1.2076215672836808,1.2029977078485616,1.1850502958402893,1.108970045767091,1.102802668372446,1.1987344827305584,1.1008325864818533
2023-12-18 22:36:32,1.2116320705385195,1.2193436704871052,1.1922018671810084,1.108752194275256,1.103234693642181,1.2016122716075452,1.119500000760061
2023-12-29 20:32:39,1.1860154405954566,1.192689053970277,1.1666542336855492,1.1017627871969593,1.0952173896697652,1.1760225968211493,1.1274223811934279
2024-01-02 21:51:17,1.188521096782985,1.195208809283393,1.1691189860819198,1.1023215291482709,1.095780894312266,1.1785071414531472,1.1211129248846556
2024-01-10 22:56:31,1.1856132058604574,1.1904317775240734,1.1567713399464112,1.0947218916636883,1.0897973343850673,1.1609090654365426,1.1303873471813737
2024-01-17 21:10:29,1.2345991957724947,1.236856346428073,1.2030951631512476,1.1256092339701995,1.1201876138825888,1.204239358404384,1.1202590494258229
