date,beta5,beta8,test_v2
2024-05-13,1.0,1.0,1.0
2024-05-14,1.0107059429508338,1.0107059429508338,1.0107059429508338
2024-05-15,1.0372158740984416,1.0372158740984416,1.0372158740984416
2024-05-16,1.03398380158126,1.03398380158126,1.03398380158126
2024-05-17,1.0392952450248474,1.038767270918983,1.0358319298819751
2024-05-20,1.0303349907707,1.0323369583102635,1.0284045686910603
2024-05-21,1.0331054062206075,1.0360525852172555,1.0349346332186589
2024-05-22,1.0316119986286278,1.0398029279350278,1.0388385627317556
2024-05-23,1.0008118418276726,1.0087582199779033,1.0078226471883618
2024-05-24,1.0169931301017467,1.0250679865834778,1.0241172873012467
2024-05-28,1.039847781414539,1.0465763836737272,1.045473866822391
2024-05-29,1.0390214472209394,1.045744702472401,1.044643061756389
2024-05-30,1.0494178342882483,1.0562083620335871,1.0550956983658129
2024-05-31,1.0499674678247517,1.0567615521151172,1.055648305688744
2024-06-03,1.049551187868075,1.0563425785120175,1.0552297734537708
2024-06-04,1.0458920182154774,1.0526597312619568,1.0515508059025236
2024-06-05,1.0506701108891432,1.0574687418120017,1.0563547503959934
2024-06-06,1.0471526878510866,1.0539285583843732,1.052818296377844
2024-06-07,1.0480254204819923,1.0548069382560163,1.0536957509194058
2024-06-10,1.0401784411913355,1.0502245396839518,1.045164509266237
2024-06-11,1.0553298450254407,1.069859987259212,1.0610419443542314
2024-06-12,1.0863518517812187,1.101764805700396,1.0953091455142647
2024-06-13,1.094563275861853,1.1082280099773796,1.1099271267270543
2024-06-14,1.1235557279393704,1.1536006161551016,1.1630190196670025
2024-06-17,1.1292889884716708,1.161205383397832,1.1743539254343682
2024-06-18,1.1138481857704778,1.147673035147145,1.1591900174908576
2024-06-20,1.11292509683068,1.1473503168995265,1.1560216417311115
2024-06-21,1.113316327945337,1.1508202937485177,1.1550402269392923
2024-06-24,1.1102031517220468,1.1477425994138866,1.15206833980479
2024-06-25,1.1326554610309751,1.1730703211513964,1.193561396252475
2024-06-26,1.132623677541886,1.1768533559158445,1.197484268105544
2024-06-27,1.1316619518701807,1.1774319030466227,1.1934694943226078
2024-06-28,1.1478010408250294,1.194223735793268,1.2104900456470906
2024-07-01,1.1765772598487727,1.2241638060338722,1.240837924278185
2024-07-02,1.181525506613236,1.2293121841294667,1.2460564275193764
2024-07-03,1.1873874021456716,1.2354111634234246,1.2522384799293795
2024-07-05,1.1849263484495636,1.2340637254576172,1.2508726887498454
2024-07-08,1.1847692256580733,1.234205952309568,1.2510168528485397
2024-07-09,1.2214546688021486,1.2724221646410312,1.2897536014351376
2024-07-10,1.2400292424440518,1.2917717973407798,1.309366792052568
2024-07-11,1.153160214975242,1.2012779961418192,1.217640390825628
2024-07-12,1.1787110849912092,1.227895024316972,1.2446199648242375
2024-07-15,1.1842774053995615,1.2361293217882985,1.2539999686499113
2024-07-16,1.1968445198107902,1.249403138098332,1.267346084071579
2024-07-17,1.1676199397461131,1.2192132982010515,1.2364795450078032
2024-07-18,1.16478572271916,1.2199122943385383,1.2373795184876797
2024-07-19,1.140237711600304,1.189861683221646,1.2114751419216854
2024-07-22,1.1601332106805422,1.212632800132748,1.2337016172030963
