date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT,Baseline
2025-03-31,1.0,1.0,1.0,1.0,1.0
2025-04-01,1.0195905167216612,1.0039510162782694,1.0179200165865725,1.0197677548725506,1.017923777907081
2025-04-02,1.0387154468513615,1.0113844470427913,1.0272422114419966,1.0430766870490669,1.0272547518027315
2025-04-03,0.9537598044746072,0.9436908128265612,0.9432249551143734,0.9577643425902568,0.9432364698097976
2025-04-04,0.91371557966719,0.8877021487309714,0.9036230427991732,0.9175519846493184,0.9036340740426316
2025-04-07,0.91371557966719,0.8835447647636868,0.9036230427991732,0.9175519846493184,0.9036340740426316
2025-04-08,0.91371557966719,0.8628397247405752,0.9036230427991732,0.9175519846493184,0.9036340740426316
2025-04-09,1.0282936223300727,0.9600854566610616,1.0064090003447543,1.017818870853242,1.0064331797819714
2025-04-10,0.9675890255430748,0.9217791259272696,0.9540075634101336,0.979122900705082,0.9540292422575216
2025-04-11,0.9920022364697518,0.933961500074542,0.977848804384972,1.0014800908077146,0.9778722667877132
2025-04-14,1.0093100098205836,0.9458018289308604,0.994826946375272,1.019006491814788,0.9948508352576128
2025-04-15,1.0027257482306622,0.9344187345504792,0.9882736122659947,1.012434836506166,0.9882973633037654
2025-04-16,0.9855040454133176,0.91798171208615,0.9716909413743864,0.9947881570756878,0.9717142026875186
2025-04-17,1.00823441825348,0.9378874349844836,0.9941210559156408,1.0174846345950397,0.9941448172147016
2025-04-21,1.0020200879006138,0.9297711147604432,0.9881528926851316,1.0109761831577877,0.988176455891591
2025-04-22,1.0232093057468712,0.9503041914158276,1.0088584039662674,1.0325491410222851,1.0088825148756762
2025-04-23,1.0251000092102704,0.9557793100210604,1.0103815609743516,1.0347999970932424,1.0104058041878177
2025-04-24,1.0330068595336406,0.9704943690405604,1.01782521716375,1.0427595737720676,1.0178496855232666
2025-04-25,1.0269524681850095,0.969265600388724,1.0117307415915977,1.0368328531684892,1.0117551073413051
2025-04-28,1.0267961622680777,0.9684181972764284,1.0115170555211266,1.0367454023285512,1.0115414343320144
2025-04-29,1.0307955161321722,0.9740414133059666,1.015499712657589,1.0408625386745736,1.015524192319937
2025-04-30,1.028222855511524,0.9739511437697694,1.0129652273206362,1.038264752767623,1.012989645886615
2025-05-01,1.0400158786149605,0.974619751214095,1.0245832557127663,1.0501729496640837,1.0246079543432385
2025-05-02,1.063057157115786,0.9814713235767072,1.0472826285084968,1.073439255404981,1.0473078743306368
2025-05-05,1.0507759863876796,0.9703948096310768,1.03518369603323,1.061038143504613,1.0352086501981907
2025-05-06,1.0316217796274163,0.967151345211568,1.0163137153660489,1.0416968716783697,1.0163382146507671
2025-05-07,1.036429099613688,0.9692211782945936,1.0210497003294194,1.0465511412272972,1.021074313779914
2025-05-08,1.0623060814209138,0.9703488551240927,1.046542697901126,1.072680844505567,1.0465679258864795
2025-05-09,1.0649350182762911,0.9692559301890864,1.049132624399107,1.075335456255889,1.0491579148172958
2025-05-12,1.1104544690839993,0.9932389654950816,1.0939766196359195,1.1212994620992247,1.0940029910646176
2025-05-13,1.1338713427400355,0.9969240580639122,1.11704601419273,1.1449450311572864,1.11707294173285
2025-05-14,1.1484998399187736,0.9973533043713976,1.1314574415312593,1.1597163941212894,1.1314847164736197
2025-05-15,1.1367055494623926,1.0032127504526618,1.1198381645922244,1.1478069174945789,1.1198651594399942
2025-05-16,1.128056469781893,1.007887840990488,1.111317427168708,1.1390733686067998,1.111344216615361
