step,critic_loss,value_loss,actor_loss,loss_fit,loss_align,loss_entry,loss_rev,reward_mean,done_ratio,adv_mean,adv_std,weight_mean,weight_max,policy_abs_mean,baseline_abs_mean,behavior_abs_mean
100,0.00013152819959941553,1.9783324190711938e-05,0.0011391124298097566,0.001125884540961124,0.000330697224708274,0.0,0.0,8.857297296344769e-05,0.0055078125,-0.0011760316921572667,0.0026545131113380194,0.9966460472345352,1.0173221635818481,0.0023877382645150647,0.004970382603933104,0.010494717839173972
200,2849.050695009274,70.9541556862174,0.03483399841818027,0.03481962865917012,0.00035923968651331963,0.0,0.0,9.202640721923671e-05,0.0054296875,7.486163113112561,9.250632713537197,46.498901473283766,69.15069990634919,0.0022175955658894964,0.004895159574225545,0.010421424652449787
300,209527.50833984374,4265.830839233398,0.04522004218248185,0.04520569093510858,0.00035877574053301943,0.0,0.0,8.674679702380672e-05,0.005625,7.9227719354629516,94.58714889526367,53.30733773231506,100.0,0.0022470194444758817,0.004993742982042022,0.010556141347624361
400,37437.165698242185,1636.838447265625,0.08128223588690162,0.08126838101074099,0.000346383507057908,0.0,0.0,9.074276269529946e-05,0.0055859375,0.4879919904470444,53.601919670104984,60.94422912597656,100.0,0.0022932074445998294,0.0049581038189353424,0.01047904642764479
500,11235.036516113281,499.63505889892576,0.09118841607123614,0.09117426348850131,0.0003538277946427115,0.0,0.0,9.777023267815822e-05,0.005390625,5.9789234638214115,27.304295539855957,67.13256294250488,100.0,0.002290277553256601,0.004971315011498518,0.010468987761996687
600,4216.930685424804,220.77437385559082,0.09404204776510597,0.0940278458967805,0.00035505592299159614,0.0,0.0,8.318790423800237e-05,0.00546875,5.63717084646225,16.789777126312256,70.11564239501953,100.0,0.002295006380591076,0.004948638931964524,0.01049029799643904
700,1497.8616159057617,90.75188995361329,0.09396403281018138,0.09395134063437581,0.0003172928077765391,0.0,0.0,9.038802862050943e-05,0.005625,4.063782452344895,10.208601326942444,69.77161602020264,100.0,0.0024540043616434557,0.004927942050271667,0.010500759375281632
800,437.51673934936525,30.465739812850952,0.08984084509313106,0.08982893615961075,0.0002977184351038886,0.0,0.0,8.211476160795428e-05,0.0054296875,2.3630662643909455,5.666521303653717,64.52214073181152,100.0,0.0025040499464375897,0.004916180612635799,0.010456315465271473
900,115.38589120864869,8.478585677146912,0.07988961554132402,0.07987809652462602,0.0002879742680670461,0.0,0.0,9.266001390642486e-05,0.0055859375,1.1379946328699588,2.899332994222641,50.10394426345825,100.0,0.0025786974956281484,0.004959596528788097,0.010452686729840933
1000,23.292010760307313,2.3264682912826538,0.059647679491899905,0.05963627269258723,0.00028516627640783553,0.0,0.0,8.389849288505502e-05,0.00546875,0.3994932017941028,1.6293781280517579,30.10411626815796,100.0,0.0025943279964849354,0.00494701033749152,0.010449268179945648
