method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Daniel_Pronk_20260316_014417,0.0031970780752355044,-0.01465720347338706,0.16747275567501463,0.08287899396311595,0.18764222996503516,0.1912699354528241
WO_BC_ANCHOR,Daniel_Pronk_20260321_144810,0.010287540013414587,-0.01465720347338706,0.19607634643758406,0.08287899396311595,0.20270748499199723,0.1912699354528241
WO_ENTRY_PEN,Daniel_Pronk_20260321_194032,0.03720221910415544,-0.01465720347338706,0.3124921230021875,0.08287899396311595,0.18587406083418156,0.1912699354528241
WO_FIDELITY,Daniel_Pronk_20260321_162814,-0.0207343985317765,-0.01465720347338706,0.07081255103652688,0.08287899396311595,0.19008517860614155,0.1912699354528241
WO_HARD,Daniel_Pronk_20260321_011710,0.13087405050372602,-0.01465720347338706,0.7472445639437092,0.08287899396311595,0.19205880272708342,0.1912699354528241
WO_MKT_FACTORS,Daniel_Pronk_20260321_211641,-0.0952523896207591,-0.01465720347338706,-0.25965266095097883,0.08287899396311595,0.2308015515495335,0.1912699354528241
WO_REV_PEN,Daniel_Pronk_20260321_180405,0.0003163337679088496,-0.01465720347338706,0.1521695281468292,0.08287899396311595,0.18683358344292422,0.1912699354528241
WO_RL_COMPLETION,Daniel_Pronk_20260321_162411,-0.014341649376865329,-0.01465720347338706,0.08432414129607574,0.08287899396311595,0.19131062134031265,0.1912699354528241
WO_SOFT,Daniel_Pronk_20260321_131414,0.015879816181580964,-0.01465720347338706,0.22104783464834882,0.08287899396311595,0.17875922202116268,0.1912699354528241
WO_REGIME_SPLIT,Daniel_Pronk_20260321_225234,-0.009691980674830236,-0.01465720347338706,0.11430264586929001,0.08287899396311595,0.18639132779780263,0.1912699354528241
