method,run_name,cumulative_return,baseline_cumulative_return,sharpe,baseline_sharpe,max_drawdown,baseline_max_drawdown
HARD_BOTH,traderstewie_20260324_232707,-0.10637462759408911,-0.14236027819137587,0.2550776581403328,0.15155664720499804,0.3857448915292025,0.3957911566906614
BC,traderstewie_20260317_153528,0.013846269169688341,0.06184537975440829,0.2858387155981772,0.6142688580878047,0.06162221887489876,0.13454210058967775
IQL,traderstewie_20260317_153945,0.02445934785747772,0.06184537975440829,0.4268138561329009,0.6142688580878047,0.05988020761734878,0.13454210058967775
TRAIN_ONLY,traderstewie_20260325_005745,-0.019345483486930215,-0.14236027819137587,-0.15799740044550223,0.15155664720499804,0.08189591750281856,0.3957911566906614
INFER_ONLY,traderstewie_20260325_022819,-0.09072539014189429,-0.14236027819137587,0.2985745980075907,0.15155664720499804,0.3719919132112265,0.3957911566906614
HARD_NONE,traderstewie_20260325_035534,0.00048493115038716894,-0.14236027819137587,0.11055219603022194,0.15155664720499804,0.06104997202589453,0.3957911566906614
