method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
HARD_BOTH,Daniel_Pronk_20260325_001128,0.0001331103982062931,-0.01465720347338706,0.15297459288114892,0.08287899396311595,0.18691321960130058,0.1912699354528241
BC,Daniel_Pronk_20260317_153528,0.14117297972815934,-0.01465720347338706,0.8140335642391026,0.08287899396311595,0.18281088382479543,0.1912699354528241
IQL,Daniel_Pronk_20260317_153945,0.13874449551917345,-0.01465720347338706,0.7841871853725143,0.08287899396311595,0.19443834072832958,0.1912699354528241
TRAIN_ONLY,Daniel_Pronk_20260325_014208,-0.1956903746037707,-0.01465720347338706,-2.2755086695981452,0.08287899396311595,0.2172080431569999,0.1912699354528241
INFER_ONLY,Daniel_Pronk_20260325_031134,-0.030878322681619497,-0.01465720347338706,0.018031502736568544,0.08287899396311595,0.19208377259079035,0.1912699354528241
HARD_NONE,Daniel_Pronk_20260325_105831,0.14117443119143425,-0.01465720347338706,0.8000543056034002,0.08287899396311595,0.1532634156575193,0.1912699354528241
