method,run_name,cumulative_return,baseline_cumulative_return,sharpe,baseline_sharpe,max_drawdown,baseline_max_drawdown
KICL,bespokeinvest_20260320_161844,-0.11110919635335992,-0.07885059466186206,-0.22279525850900161,-0.3059334171549831,0.291339365281504,0.20332226149875288
WO_HARD,bespokeinvest_20260321_003327,-0.04797422451461408,-0.09644692467886229,-0.4944031190040625,-0.39980979761955876,0.05899636823869762,0.22021212065157336
WO_RL_COMPLETION,bespokeinvest_20260321_162411,-0.1265509137155264,-0.09644692467886229,-0.34895099680949077,-0.39980979761955876,0.28829196234087695,0.22021212065157336
WO_REGIME_SPLIT,bespokeinvest_20260321_225234,-0.09195731372787419,-0.08035443306389434,-0.16546233256615273,-0.31429957661762975,0.26226481951401215,0.20632391612589185
