date,nav_rorl,daily_return_rorl,cumulative_return_rorl,daily_return_trained,nav_trained,cumulative_return_trained,daily_return_baseline,nav_baseline,cumulative_return_baseline
2024-05-16,1.0,0.0,0.0,0.012775224754757604,1.04719446727394,0.047194467273939944,0.006322756917512943,1.0405227118298217,0.0405227118298217
2024-05-22,0.9953930939464396,-0.0170702153440616,-0.0046069060535605,-0.02985633909702301,1.0159290741584828,0.01592907415848277,-0.02985633909702301,1.0094565129072766,0.00945651290727656
2024-05-23,0.9824810156230178,-0.0129718383641071,-0.0175189843769821,0.05047297780402005,1.0672060397689425,0.06720603976894246,0.05047297780402005,1.060406789077369,0.06040678907736896
2024-05-28,1.078078879378244,0.0697849159387621,0.078078879378244,0.010523976292461157,1.078437290830642,0.0784372908306421,0.010523976292461157,1.071566484985984,0.07156648498598406
2024-06-05,1.158911132494049,0.0515286843009275,0.1589111324940491,-0.00255536970992883,1.0756814848435958,0.07568148484359583,-0.0036285736249658087,1.0676782271011667,0.06767822710116667
2024-06-07,1.1544638735200905,-0.0024809972138358,0.1544638735200902,-0.008530054241418839,1.06650586343139,0.06650586343138998,-0.008530054241418839,1.0585708739116118,0.058570873911611754
2024-06-12,1.1867921747386216,0.0275212913796766,0.1867921747386216,0.035988359157381605,1.1557418400505528,0.1557418400505528,0.046827265177853405,1.1506550178658632,0.15065501786586322
2024-06-14,1.226022326464609,0.0084068344472948,0.226022326464609,0.025510028353444257,1.1852248471595042,0.18522484715950416,0.022909737103390636,1.1770162218218674,0.17701622182186738
2024-06-24,1.0980095312309297,-0.066840483526902,0.0980095312309294,0.021071156190606777,1.1933851508649347,0.19338515086493469,0.02120894651510665,1.1844200486403196,0.18442004864031958
2024-06-25,1.1051468594096372,0.006500242462109,0.1051468594096372,0.0007054012508931907,1.1942269662431522,0.19422696624315217,0.012453620016400461,1.1991703658658928,0.19917036586589276
2024-06-27,1.1245399074853448,0.012550689291891,0.1245399074853448,0.049242135137319565,1.2530332518995286,0.25303325189952863,0.049242135137319565,1.25822007507453,0.25822007507453004
2024-07-03,1.1191705448211653,0.0031529004532607,0.1191705448211652,0.010647579350002854,1.2663750228773212,0.2663750228773212,0.011861370561018434,1.2731442896323015,0.27314428963230153
2024-07-08,1.1306152208737943,-0.003692121061872,0.1306152208737943,-0.005254325456917286,1.2598662600961803,0.2598662600961803,-0.005254325456917286,1.2666007349840482,0.26660073498404824
2024-07-12,1.1217666253911804,-0.0071210024241528,0.1217666253911804,0.017765797674655914,1.2822487891701744,0.2822487891701744,0.017765797674655914,1.2891029073763454,0.28910290737634536
2024-07-15,1.1219935208085483,0.0002022661507589,0.1219935208085483,-0.06036633749406316,1.2048441260117737,0.2048441260117737,-0.047359742995743775,1.2280513249879357,0.22805132498793568
2024-07-17,1.0858935742802014,-0.0280153635419833,0.0858935742802013,0.005209926292200241,1.2111212751018856,0.2111212751018856,0.0016714919806733244,1.2301040029295083,0.23010400292950828
