file,kol,split,rows,state_dim,done_ratio,d_sig,d_sil,sil_sig_ratio,action_abs_mean,baseline_abs_mean,reward_mean,reward_std,prew_mean,prew_std,nan_total,inf_total,done_next_nonzero,non_done_next_zero,meta_len_ok
Adam_Khoo/test.pt,Adam_Khoo,test,2433,1066,0.04233456775546074,306,2127,6.950980392156863,0.016074907034635544,0.011605091392993927,0.00033941990113817155,0.01974051631987095,0.0017692364053800702,0.013763214461505413,0,0,4,0,True
Adam_Khoo/train.pt,Adam_Khoo,train,9771,1066,0.011769521981477737,797,8974,11.259723964868256,0.014220593497157097,0.010206125676631927,0.0007503613014705479,0.016193699091672897,0.0037374659441411495,0.017798589542508125,0,0,0,0,True
Adam_Khoo/val.pt,Adam_Khoo,val,3287,1066,0.026772132143378258,364,2923,8.030219780219781,0.015841493383049965,0.011572128161787987,0.00027670999406836927,0.015877345576882362,0.0013146857963874936,0.012864835560321808,0,0,0,0,True
Ale_s_World_of_Stocks/test.pt,Ale_s_World_of_Stocks,test,7486,1066,0.016163505613803864,639,6847,10.715179968701095,0.012708309106528759,0.009324162267148495,0.0004010018310509622,0.012820090167224407,0.0027546186465770006,0.021739043295383453,0,0,1,0,True
Ale_s_World_of_Stocks/train.pt,Ale_s_World_of_Stocks,train,27779,1066,0.006443716585636139,1309,26470,20.221543162719634,0.008299858309328556,0.005908880848437548,1.0387892871221993e-05,0.009676184505224228,0.00023763264471199363,0.012132196687161922,0,0,0,0,True
Ale_s_World_of_Stocks/val.pt,Ale_s_World_of_Stocks,val,6324,1066,0.01691967062652111,598,5726,9.575250836120402,0.013757116161286831,0.00985931046307087,0.000760618771892041,0.0174518134444952,0.003468229668214917,0.015137000009417534,0,0,0,0,True
Cameron_Stewart_CFA/test.pt,Cameron_Stewart_CFA,test,1377,1066,0.039941903203725815,94,1283,13.648936170212766,0.029048657044768333,0.012536430731415749,0.006055744830518961,0.137567400932312,0.0331890732049942,0.15547779202461243,0,0,0,0,True
Cameron_Stewart_CFA/train.pt,Cameron_Stewart_CFA,train,6252,1066,0.012955853715538979,195,6057,31.06153846153846,0.0191938579082489,0.006893652956932783,-0.00043415999971330166,0.011477483436465263,-0.0008824439137242734,0.008446180261671543,0,0,1,0,True
Cameron_Stewart_CFA/val.pt,Cameron_Stewart_CFA,val,723,1066,0.04287690296769142,54,669,12.38888888888889,0.04979253560304642,0.017645159736275673,-0.00017764259246177971,0.007832211442291737,-0.0003091151302214712,0.0036670025438070297,0,0,0,0,True
Daniel_Pronk/test.pt,Daniel_Pronk,test,1076,1066,0.07527881115674973,211,865,4.099526066350711,0.04114968329668045,0.03044794127345085,0.0002314067678526044,0.019552966579794884,0.0011010216549038887,0.014884373173117638,0,0,41,0,True
Daniel_Pronk/train.pt,Daniel_Pronk,train,7961,1066,0.012058787047863007,356,7605,21.3623595505618,0.014571033418178558,0.007470138370990753,6.564940122189e-05,0.011583445593714714,0.0011898919474333525,0.011332915164530277,0,0,0,0,True
Daniel_Pronk/val.pt,Daniel_Pronk,val,868,1066,0.051843319088220596,98,770,7.857142857142857,0.03932086378335953,0.021590804681181908,-0.0008963946020230651,0.01544620469212532,-0.003558145137503743,0.013308585621416569,0,0,1,0,True
Dividend_Data/test.pt,Dividend_Data,test,4948,1066,0.02687954716384411,393,4555,11.59033078880407,0.011974857188761234,0.0085032619535923,0.0004421478370204568,0.01076808013021946,0.004290402866899967,0.009419025853276253,0,0,0,0,True
Dividend_Data/train.pt,Dividend_Data,train,16522,1066,0.009078804403543472,1023,15499,15.150537634408602,0.00902983732521534,0.006246957927942276,0.0002454598725307733,0.011744686402380466,0.0019229683093726635,0.011335654184222221,0,0,0,0,True
Dividend_Data/val.pt,Dividend_Data,val,4754,1066,0.02355910837650299,390,4364,11.189743589743589,0.013065490871667862,0.009402398020029068,0.00027905459864996374,0.011999220587313175,-0.00030575954588130116,0.0072771646082401276,0,0,0,0,True
EliteOptions2/test.pt,EliteOptions2,test,6566,1066,0.007158087100833654,1084,5482,5.057195571955719,0.030307644978165627,0.026809701696038246,0.000250187556957826,0.01468674372881651,0.0006872517406009138,0.015876276418566704,0,0,0,0,True
EliteOptions2/train.pt,EliteOptions2,train,40343,1066,0.002156507922336459,2294,38049,16.586312118570184,0.014723744243383408,0.011636217124760151,2.8497390303527936e-05,0.009045302867889404,0.0007307862979359925,0.01625075377523899,0,0,1,0,True
EliteOptions2/val.pt,EliteOptions2,val,5548,1066,0.007390050683170557,978,4570,4.67280163599182,0.03568853810429573,0.0315820537507534,0.00024394057982135564,0.01867256686091423,0.0002790920261759311,0.020423905923962593,0,0,0,0,True
Everything_Money/test.pt,Everything_Money,test,62,1066,0.25806450843811035,22,40,1.8181818181818181,0.11290322989225388,0.060603879392147064,0.013776316307485104,0.09375772625207901,0.02826671674847603,0.05552508682012558,0,0,0,0,True
Everything_Money/train.pt,Everything_Money,train,223,1066,0.1165919303894043,39,184,4.717948717948718,0.07174887508153915,0.040560033172369,0.003420634660869837,0.042472779750823975,0.004982376005500555,0.027580343186855316,0,0,0,0,True
Everything_Money/val.pt,Everything_Money,val,78,1066,0.44871795177459717,43,35,0.813953488372093,0.06410256773233414,0.04917386919260025,0.006718874908983707,0.0466831773519516,0.0065087247639894485,0.014789956621825695,0,0,0,0,True
Financial_Education/test.pt,Financial_Education,test,2261,1066,0.03184431791305542,410,1851,4.514634146341463,0.019963344559073448,0.017167827114462852,0.0028161020018160343,0.03304676339030266,0.007559486664831638,0.027949949726462364,0,0,0,0,True
Financial_Education/train.pt,Financial_Education,train,10801,1066,0.010276826098561287,966,9835,10.181159420289855,0.0131983058527112,0.010481266304850578,0.00021893435041420162,0.0191603172570467,0.0009268310386687517,0.024593040347099304,0,0,0,0,True
Financial_Education/val.pt,Financial_Education,val,2382,1066,0.0314861461520195,383,1999,5.219321148825065,0.020151132717728615,0.017520122230052948,0.0006207121768966317,0.020797669887542725,0.003949695732444525,0.015844179317355156,0,0,0,0,True
Humbled_Trader/test.pt,Humbled_Trader,test,137,1066,0.10948905348777771,24,113,4.708333333333333,0.08759123831987381,0.04285774752497673,0.007694377563893795,0.08358827233314514,0.015683084726333618,0.0525185689330101,0,0,0,0,True
Humbled_Trader/train.pt,Humbled_Trader,train,364,1066,0.06043956056237221,49,315,6.428571428571429,0.07417582720518112,0.030046146363019943,0.004697742406278849,0.041616883128881454,0.0048643979243934155,0.03212253749370575,0,0,0,0,True
Humbled_Trader/val.pt,Humbled_Trader,val,67,1066,0.2238806039094925,16,51,3.1875,0.10447761416435242,0.050007179379463196,0.014642384834587574,0.06972765922546387,0.01363987848162651,0.0363171361386776,0,0,0,0,True
Invest_with_Henry/test.pt,Invest_with_Henry,test,1820,1066,0.018681319430470467,356,1464,4.112359550561798,0.037448540329933167,0.02923869900405407,0.001548747648485005,0.017723126336932182,0.0030057469848543406,0.016330428421497345,0,0,0,0,True
Invest_with_Henry/train.pt,Invest_with_Henry,train,7805,1066,0.007559257093816996,881,6924,7.859250851305335,0.024510715156793594,0.017088929191231728,0.0005277455784380436,0.013827643357217312,0.0018349365564063191,0.01462397538125515,0,0,0,0,True
Invest_with_Henry/val.pt,Invest_with_Henry,val,3688,1066,0.01735357940196991,421,3267,7.760095011876484,0.0225478857755661,0.0162140354514122,0.00031524276710115373,0.01710168644785881,0.0008817081106826663,0.025037486106157303,0,0,0,0,True
Investing_with_Tom/test.pt,Investing_with_Tom,test,576,1066,0.0694444477558136,78,498,6.384615384615385,0.04726288840174675,0.02475864440202713,0.00041782192420214415,0.012434379197657108,0.0012085784692317247,0.011459879577159882,0,0,0,0,True
Investing_with_Tom/train.pt,Investing_with_Tom,train,3125,1066,0.017920000478625298,194,2931,15.108247422680412,0.026434170082211494,0.012944357469677925,-0.0001905314129544422,0.01182724628597498,-0.0006059342413209379,0.010474558919668198,0,0,1,0,True
Investing_with_Tom/val.pt,Investing_with_Tom,val,493,1066,0.054766733199357986,66,427,6.46969696969697,0.05095493793487549,0.03103232942521572,0.002034089295193553,0.02185913547873497,0.0037792380899190903,0.020717855542898178,0,0,0,0,True
Joseph_Carlson/test.pt,Joseph_Carlson,test,2173,1066,0.03359410911798477,408,1765,4.325980392156863,0.020274300128221512,0.018068952485919,0.00215877965092659,0.03695327043533325,0.007269944529980421,0.025345997884869576,0,0,0,0,True
Joseph_Carlson/train.pt,Joseph_Carlson,train,9454,1066,0.01163528673350811,990,8464,8.54949494949495,0.013750793412327766,0.011522172950208187,-2.1399744582595304e-05,0.015942251309752464,0.0004773963592015207,0.015827065333724022,0,0,0,0,True
Joseph_Carlson/val.pt,Joseph_Carlson,val,2193,1066,0.03283173590898514,336,1857,5.526785714285714,0.019667305052280426,0.016980765387415886,0.0010963004315271974,0.015943871811032295,0.003313693916425109,0.010180843062698841,0,0,0,0,True
Learn_to_Invest/test.pt,Learn_to_Invest,test,887,1066,0.05298759788274765,75,812,10.826666666666666,0.031567081809043884,0.01646995171904564,0.0018541591707617044,0.02849404886364937,0.0038357421290129423,0.017058556899428368,0,0,0,0,True
Learn_to_Invest/train.pt,Learn_to_Invest,train,6972,1066,0.015490533784031868,374,6598,17.641711229946523,0.012779437936842442,0.007193448953330517,0.0006595315644517541,0.020227866247296333,0.0030540251173079014,0.019421560689806938,0,0,0,0,True
Learn_to_Invest/val.pt,Learn_to_Invest,val,778,1066,0.0514138825237751,82,696,8.487804878048781,0.03470436856150627,0.01772606372833252,0.0007802660693414509,0.01986568421125412,0.0020483783446252346,0.013188978657126427,0,0,0,0,True
MarketBeat/test.pt,MarketBeat,test,6848,1066,0.017231307923793793,404,6444,15.950495049504951,0.013142524287104607,0.008634938858449459,4.482269287109375e-05,0.00792232807725668,-0.0007862885831855237,0.0066954027861356735,0,0,0,0,True
MarketBeat/train.pt,MarketBeat,train,25184,1066,0.0055193775333464146,639,24545,38.41158059467919,0.010494530200958252,0.004958702251315117,3.600783384172246e-05,0.005293256603181362,0.0001396084699081257,0.005467974580824375,0,0,0,0,True
MarketBeat/val.pt,MarketBeat,val,6153,1066,0.01803998090326786,380,5773,15.192105263157895,0.015114576555788517,0.00972805730998516,0.00017841758381109685,0.009962347336113453,0.002003967994824052,0.00860709510743618,0,0,0,0,True
