scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio
ALL,8569,123552,132121,0.06485721422029805,0.9351427857797019,14.418485237483953
SPLIT::test,2909,28685,31594,0.09207444451478129,0.9079255554852187,9.860776899278102
SPLIT::train,5660,94867,100527,0.056303281705412475,0.9436967182945876,16.760954063604242
