scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,kol
The_Maverick_of_Wall_Street,3408,45955,49363,0.06903956404594534,0.9309604359540546,13.484448356807512,The_Maverick_of_Wall_Street
Ale_s_World_of_Stocks,1240,28286,29526,0.04199688410214726,0.9580031158978527,22.811290322580646,Ale_s_World_of_Stocks
Financial_Education,959,11187,12146,0.07895603490861189,0.9210439650913881,11.665276329509906,Financial_Education
Joseph_Carlson,1171,10301,11472,0.10207461645746164,0.8979253835425384,8.796754910333048,Joseph_Carlson
MarketBeat,494,10972,11466,0.04308390022675737,0.9569160997732427,22.210526315789473,MarketBeat
Tom_Nash,559,10805,11364,0.049190425906370995,0.950809574093629,19.329159212880143,Tom_Nash
Invest_with_Henry,738,6046,6784,0.10878537735849056,0.8912146226415094,8.192411924119241,Invest_with_Henry
