scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,kol,split
Ale_s_World_of_Stocks::test,307,3443,3750,0.08186666666666667,0.9181333333333334,11.214983713355048,Ale_s_World_of_Stocks,test
Ale_s_World_of_Stocks::train,933,24843,25776,0.036196461824953445,0.9638035381750466,26.627009646302252,Ale_s_World_of_Stocks,train
Financial_Education::test,419,4001,4420,0.09479638009049773,0.9052036199095023,9.54892601431981,Financial_Education,test
Financial_Education::train,540,7186,7726,0.06989386487186125,0.9301061351281388,13.307407407407407,Financial_Education,train
Invest_with_Henry::test,395,3522,3917,0.10084248149093694,0.8991575185090631,8.916455696202531,Invest_with_Henry,test
Invest_with_Henry::train,343,2524,2867,0.11963725148238577,0.8803627485176142,7.358600583090379,Invest_with_Henry,train
Joseph_Carlson::test,359,2361,2720,0.13198529411764706,0.868014705882353,6.576601671309192,Joseph_Carlson,test
Joseph_Carlson::train,812,7940,8752,0.09277879341864717,0.9072212065813529,9.77832512315271,Joseph_Carlson,train
MarketBeat::test,264,5294,5558,0.04749910039582584,0.9525008996041742,20.053030303030305,MarketBeat,test
MarketBeat::train,230,5678,5908,0.038930264048747464,0.9610697359512526,24.68695652173913,MarketBeat,train
The_Maverick_of_Wall_Street::test,1043,9136,10179,0.10246586108655074,0.8975341389134492,8.75934803451582,The_Maverick_of_Wall_Street,test
The_Maverick_of_Wall_Street::train,2365,36819,39184,0.06035626786443446,0.9396437321355655,15.568287526427062,The_Maverick_of_Wall_Street,train
Tom_Nash::test,122,928,1050,0.11619047619047619,0.8838095238095238,7.60655737704918,Tom_Nash,test
Tom_Nash::train,437,9877,10314,0.04236959472561567,0.9576304052743844,22.601830663615562,Tom_Nash,train
