file,kol,split,signal_key,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Ticker_Take/val.pt,Ticker_Take,val,baseline_actions,140,990,1130,0.12389380530973451,0.8761061946902655,7.071428571428571
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Tom_Nash/test.pt,Tom_Nash,test,baseline_actions,266,2199,2465,0.10791075050709939,0.8920892494929006,8.266917293233083
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Tom_Nash/train.pt,Tom_Nash,train,baseline_actions,588,10988,11576,0.05079474775397374,0.9492052522460263,18.687074829931973
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Tom_Nash/val.pt,Tom_Nash,val,baseline_actions,260,2607,2867,0.09068712940355772,0.9093128705964423,10.026923076923078
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Unrivaled_Investing/test.pt,Unrivaled_Investing,test,baseline_actions,59,1001,1060,0.05566037735849057,0.9443396226415094,16.966101694915253
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Unrivaled_Investing/train.pt,Unrivaled_Investing,train,baseline_actions,272,7415,7687,0.0353844152465201,0.9646155847534799,27.261029411764707
data/multisource_ready_22-25/08_replay_buffer_by_source/youtube/Unrivaled_Investing/val.pt,Unrivaled_Investing,val,baseline_actions,98,1149,1247,0.07858861267040898,0.921411387329591,11.724489795918368
data/multisource_ready_22-25/08_replay_buffer_by_source/x/traderstewie/test.pt,traderstewie,test,baseline_actions,171,4374,4545,0.03762376237623762,0.9623762376237623,25.57894736842105
data/multisource_ready_22-25/08_replay_buffer_by_source/x/traderstewie/train.pt,traderstewie,train,baseline_actions,637,53786,54423,0.011704610183194606,0.9882953898168054,84.43642072213501
data/multisource_ready_22-25/08_replay_buffer_by_source/x/traderstewie/val.pt,traderstewie,val,baseline_actions,149,3517,3666,0.04064375340971085,0.9593562465902892,23.604026845637584
