date,exp0.5,exp0.6,test_v2
2023-10-02,1.0,1.0,1.0
2023-10-03,0.9924657129938532,0.992887701620301,0.9949115632114288
2023-10-04,0.9970950620830265,1.0000289088067118,0.9977227477829126
2023-10-05,0.9940107702759988,0.9966210966044616,0.9978085492777584
2023-10-06,1.0030935841324011,1.007347010625546,1.0034405365077612
2023-10-09,1.0024266341356525,1.0064185890143378,1.006169363344916
2023-10-10,1.0095188016679684,1.0125875132286846,1.0137876406049315
2023-10-11,1.0136444521414474,1.015386011665267,1.0146696939953097
2023-10-12,1.00749653093979,1.0094481447329382,1.008679317321019
2023-10-13,1.00814737547346,1.0088194216396176,1.0081800327467731
2023-10-16,1.0221057186062827,1.023395907033817,1.0216561819518803
2023-10-17,1.0147156333369636,1.0178385418052598,1.0165448099563288
2023-10-18,1.0014708532891583,1.00697322842432,1.0064977801244568
2023-10-19,0.9949966191023252,1.0007504496051092,1.002670964138495
2023-10-20,0.9806787755619354,0.9873721739551162,0.98951310074881
2023-10-23,0.9836376192389172,0.9878933484800696,0.9846643402861278
2023-10-24,0.9947054600291828,0.9981055845758992,0.9960853153652556
2023-10-25,0.9740335080990976,0.9742302328334368,0.9813261964525376
2023-10-26,0.9487364851563612,0.9492354176906276,0.9588610610032704
2023-10-27,0.9460576024216284,0.947518340164928,0.9575260299414348
2023-10-30,0.9532113419616008,0.9594993190297636,0.96084750156801
2023-10-31,0.95715170944709,0.9617374911904674,0.9670185399721952
2023-11-01,0.9725158893458978,0.9751520383162892,0.9844272859898752
2023-11-02,0.995014310053566,0.9953304504822263,1.0140429691459374
2023-11-03,1.0040668946740203,1.0037313985997909,1.034094534203468
2023-11-06,1.0092547640374578,1.008749195280959,1.0417234660621963
2023-11-07,1.0192448166452517,1.018773822893034,1.0520927901007189
2023-11-08,1.023303534161265,1.0229447344578784,1.0564491317288416
2023-11-09,1.009958262528159,1.0094420271805218,1.0424345008983371
2023-11-10,1.0366978329268908,1.036075283743939,1.069898422297098
2023-11-13,1.0470202081749251,1.0465492815229205,1.0807821669460445
2023-11-14,1.0707251887778244,1.0713435463561791,1.0979053396252016
2023-11-15,1.0753976461074404,1.0771313912117104,1.0988847208503127
2023-11-16,1.070041324429137,1.0688617561612297,1.1019295776986997
2023-11-17,1.0588532848502352,1.056148500139148,1.1007790676452012
2023-11-20,1.0638674341770231,1.0599716924408902,1.1079914433097304
2023-11-21,1.060999995064608,1.0564273732562155,1.104456694319525
2023-11-22,1.060311544987509,1.0546964022296257,1.1023423952211642
2023-11-24,1.0590895857862153,1.0520145990955514,1.100478792593545
