source,method,n_kols,event_return_mean,event_sharpe_mean,event_mdd_mean,UER_mean,DRR_mean,BD_mean,daily_return_mean,daily_sharpe_mean,daily_mdd_mean,HVC_mean,MDD_mean
x,BASELINE,10,0.024673354076873842,0.1703190843739372,0.20133808053362898,0.0,0.0,0.0,0.025939629092175974,0.2573372941330138,0.3317476368879715,0.0,0.20133808053362898
x,KICL,10,0.10845029713221706,0.4725679024911583,0.3160031128749874,0.0,0.0,0.0070036854362114905,0.11648397771267831,0.4240745380346028,0.3174453095289689,0.0,0.3160031128749874
x,WO_HARD,10,0.013566337159228484,-0.028827536098896912,0.10393904249992174,0.190701625177199,0.20366581029584188,0.025409721815958592,0.20001326329652375,0.7087171727079051,0.2369836649711478,0.3943674354730409,0.10393904249992174
x,WO_RL_COMPLETION,10,0.021400429314067458,0.2948644970274664,0.33087518623487494,0.0,0.0,5.1556364223859175e-05,0.02687643131368035,0.26110264272009803,0.3309615663899278,0.0,0.33087518623487494
x,WO_REGIME_SPLIT,10,0.06648681810535284,0.40777564181772197,0.33406766642951224,0.0,0.0,0.0068256602156906805,0.07427333848211488,0.34992119658730014,0.3394689026957774,0.0,0.33406766642951224
youtube,BASELINE,10,0.3076282951020296,2.829153663533657,0.09827466692220575,0.0,0.0,0.0,0.3168970676527764,1.248722148437647,0.1851927616627154,0.0,0.09827466692220575
youtube,KICL,10,0.2866621970778738,2.560002152154383,0.15920044542810244,0.0,0.0,0.00838462612591679,0.34186322193065055,1.2888597055579596,0.18916047919701057,0.0,0.15920044542810244
youtube,WO_HARD,10,0.10019335512785703,2.1354510181795767,0.07992558605492724,0.2587359053743524,0.23510958211129704,0.03580131153576072,0.22078268615367708,1.1656346008705825,0.18542398597491702,0.4938454874856495,0.07992558605492724
youtube,WO_RL_COMPLETION,10,0.2704238111911958,2.520371112710184,0.15474244846420854,0.0,0.0,0.00012658985360756953,0.3168770391024839,1.2458992294322437,0.18526171039701333,0.0,0.15474244846420854
youtube,WO_REGIME_SPLIT,10,0.28868028311607014,2.4646464061881606,0.15770593493088308,0.0,0.0,0.00983270327560598,0.35120982850607935,1.29837004925576,0.1861728415336822,0.0,0.15770593493088308
