source,kol,kicl_event_cumulative_return,kicl_event_baseline_cumulative_return,kicl_event_sharpe,kicl_event_baseline_sharpe,kicl_event_max_drawdown,kicl_event_baseline_max_drawdown,kicl_betrayal_reversal_rate,kicl_betrayal_entry_violation_rate,kicl_betrayal_mean_abs_deviation,kicl_betrayal_mean_normalized_deviation,kicl_betrayal_sign_agreement_rate,kicl_betrayal_baseline_policy_corr,kicl_daily_trained_cumulative_return,kicl_daily_baseline_cumulative_return,kicl_daily_trained_sharpe,kicl_daily_baseline_sharpe,kicl_daily_trained_max_drawdown,kicl_daily_baseline_max_drawdown,wo_hard_event_cumulative_return,wo_hard_event_baseline_cumulative_return,wo_hard_event_sharpe,wo_hard_event_baseline_sharpe,wo_hard_event_max_drawdown,wo_hard_event_baseline_max_drawdown,wo_hard_betrayal_reversal_rate,wo_hard_betrayal_entry_violation_rate,wo_hard_betrayal_mean_abs_deviation,wo_hard_betrayal_mean_normalized_deviation,wo_hard_betrayal_sign_agreement_rate,wo_hard_betrayal_baseline_policy_corr,wo_hard_daily_trained_cumulative_return,wo_hard_daily_baseline_cumulative_return,wo_hard_daily_trained_sharpe,wo_hard_daily_baseline_sharpe,wo_hard_daily_trained_max_drawdown,wo_hard_daily_baseline_max_drawdown,wo_rl_completion_event_cumulative_return,wo_rl_completion_event_baseline_cumulative_return,wo_rl_completion_event_sharpe,wo_rl_completion_event_baseline_sharpe,wo_rl_completion_event_max_drawdown,wo_rl_completion_event_baseline_max_drawdown,wo_rl_completion_betrayal_reversal_rate,wo_rl_completion_betrayal_entry_violation_rate,wo_rl_completion_betrayal_mean_abs_deviation,wo_rl_completion_betrayal_mean_normalized_deviation,wo_rl_completion_betrayal_sign_agreement_rate,wo_rl_completion_betrayal_baseline_policy_corr,wo_rl_completion_daily_trained_cumulative_return,wo_rl_completion_daily_baseline_cumulative_return,wo_rl_completion_daily_trained_sharpe,wo_rl_completion_daily_baseline_sharpe,wo_rl_completion_daily_trained_max_drawdown,wo_rl_completion_daily_baseline_max_drawdown,wo_regime_split_event_cumulative_return,wo_regime_split_event_baseline_cumulative_return,wo_regime_split_event_sharpe,wo_regime_split_event_baseline_sharpe,wo_regime_split_event_max_drawdown,wo_regime_split_event_baseline_max_drawdown,wo_regime_split_betrayal_reversal_rate,wo_regime_split_betrayal_entry_violation_rate,wo_regime_split_betrayal_mean_abs_deviation,wo_regime_split_betrayal_mean_normalized_deviation,wo_regime_split_betrayal_sign_agreement_rate,wo_regime_split_betrayal_baseline_policy_corr,wo_regime_split_daily_trained_cumulative_return,wo_regime_split_daily_baseline_cumulative_return,wo_regime_split_daily_trained_sharpe,wo_regime_split_daily_baseline_sharpe,wo_regime_split_daily_trained_max_drawdown,wo_regime_split_daily_baseline_max_drawdown
x,EliteOptions2,0.25560343854872825,0.2299096509289702,0.8994760364233079,0.8942407663660705,0.18432404516780346,0.16267822856765457,0.0,0.0,0.01301654800772667,0.5280479192733765,0.9059040590405905,0.6378003358840942,0.2556034449033684,0.2409410975039996,0.8994760485506361,0.8658238217720032,0.18432404641381117,0.18537174458873187,0.09300567695678374,0.2299096509289702,0.5588924135515564,0.8942407663660705,0.1097551708588667,0.16267822856765457,0.09317343173431734,0.1408245165997811,0.025755349546670914,0.5251541137695312,0.9068265682656826,0.6617835164070129,0.18223661725773543,0.2409410975039996,0.7343012303429313,0.8658238217720032,0.20983712203824356,0.18537174458873187,0.24060965599565365,0.2299096509289702,0.864999725077375,0.8942407663660705,0.185508721288926,0.16267822856765457,0.0,0.0,2.960155688924715e-05,0.001312631880864501,1.0,0.9999821186065674,0.24060966610129997,0.2409410975039996,0.8649997470047995,0.8658238217720032,0.1855087239203638,0.18537174458873187,0.1937975163562633,0.2299096509289702,0.7473268144818919,0.8942407663660705,0.19610439206669872,0.16267822856765457,0.0,0.0,0.010330267250537872,0.42295101284980774,0.9501845018450185,0.6774737238883972,0.19379752371697845,0.2409410975039996,0.7473268309915942,0.8658238217720032,0.1961043952182163,0.18537174458873187
x,GoldTelegraph_,0.04969159758243946,0.01835316790385444,0.43433007964157394,0.2555552205344647,0.3739943029942246,0.22121758618684895,0.0,0.0,0.005410917568951845,0.3097479045391083,0.985981308411215,0.9484025239944458,0.04992477351458624,0.05660901533248319,0.375586077813377,0.3921477282491922,0.3742145730131151,0.3786769444657741,-0.041515687333618545,0.01835316790385444,-0.266643854781799,0.2555552205344647,0.1856244047744385,0.22121758618684895,0.018691588785046728,0.22854324235448867,0.0324416309595108,0.33282917737960815,0.9813084112149533,0.9533515572547913,0.5470653910473262,0.05660901533248319,1.6989885362940031,0.3921477282491922,0.2305903556394148,0.3786769444657741,0.05625937415276727,0.01835316790385444,0.4548941997565718,0.2555552205344647,0.3784568149590201,0.22121758618684895,0.0,0.0,1.4592542356695049e-05,0.0008678302401676774,1.0,0.9999952912330627,0.056603950835245165,0.05660901533248319,0.39213511215075636,0.3921477282491922,0.37867551497170615,0.3786769444657741,0.05270247668288164,0.01835316790385444,0.44370282954114487,0.2555552205344647,0.37379325662774165,0.22121758618684895,0.0,0.0,0.00580120924860239,0.3308221697807312,0.9813084112149533,0.9487959146499634,0.052963877872702625,0.05660901533248319,0.3832100487129456,0.3921477282491922,0.37401359737684947,0.3786769444657741
x,Jake__Wujastyk,0.4622582995684543,0.40614124901807447,1.3994568824032827,2.0172353316337026,0.372308258610569,0.15327407286400663,0.0,0.0,0.0038112225010991096,0.674731433391571,0.6705128205128205,0.8512606620788574,0.40165602434539704,0.22096381797806042,0.7305216174488759,0.5368648276127078,0.3879561324935925,0.3534041643334725,0.2450135408438361,0.40614124901807447,1.6467335869592168,2.0172353316337026,0.10275946209676444,0.15327407286400663,0.3423076923076923,0.08045643554781937,0.010673629119992256,0.9549295902252197,0.6576923076923077,0.8558530211448669,0.9025665420219131,0.22096381797806042,1.39906927074743,0.5368648276127078,0.2652529327816788,0.3534041643334725,0.22465103530789565,0.40614124901807447,1.0315831917190708,2.0172353316337026,0.336783208718608,0.15327407286400663,0.0,0.0,1.5317760698962957e-05,0.0030436785891652107,1.0,0.9999905228614807,0.22119687643052055,0.22096381797806042,0.5371476451316617,0.5368648276127078,0.35331669494592466,0.3534041643334725,0.5017724375021162,0.40614124901807447,1.5198489471205223,2.0172353316337026,0.33735294837836927,0.15327407286400663,0.0,0.0,0.004003239329904318,0.6958693265914917,0.6230769230769231,0.8655110001564026,0.4654850393121097,0.22096381797806042,0.7884454037813247,0.5368648276127078,0.35387223105029386,0.3534041643334725
x,Mr_Derivatives,-0.11082515892975742,-0.09101535594261778,-0.2360478271792655,-0.24335834840299791,0.3049467872460802,0.25350569280634505,0.0,0.0,0.0037839924916625023,0.7600259780883789,0.5957104557640751,0.749220609664917,-0.10827731385325245,-0.11641987772988482,-0.22581237749639088,-0.26138959311347465,0.3049467893626475,0.29381705850389866,0.04824333538979819,-0.09101535594261778,0.4466335502464006,-0.24335834840299791,0.1123802575657506,0.25350569280634505,0.35013404825737265,0.05419513049570853,0.008024896495044231,0.9415791034698486,0.6498659517426274,0.7723504900932312,0.19443778806260004,-0.1084428621436323,0.908860910962007,-0.22982566633391135,0.187251756191937,0.2874415956313457,-0.12005394198994546,-0.09101535594261778,-0.27686867167976126,-0.24335834840299791,0.29527593663013785,0.25350569280634505,0.0,0.0,4.341009116615169e-06,0.0010527166305109859,1.0,0.9999982118606567,-0.10884061857547633,-0.1084428621436323,-0.23137449807975866,-0.22982566633391135,0.2874931163523901,0.2874415956313457,-0.1216292200674518,-0.0891507169162894,-0.25966013135374916,-0.23469817694209694,0.2848476908590451,0.2519743771485662,0.0,0.0,0.0037182867527008057,0.74965900182724,0.6144772117962467,0.7664921879768372,-0.11546246449728548,-0.10961958441534592,-0.236619205547888,-0.23644591075867158,0.2805380347763331,0.2850633822269069
x,Stephanie_Link,-0.11342136246011314,-0.09274821771438313,-0.23397046526656623,-0.6711886359360982,0.2887875878676368,0.1823808702418256,0.0,0.0,0.00426874216645956,0.6905024647712708,0.7577197149643705,0.8895744681358337,-0.11313805442899949,-0.0505557397701798,-0.0978000724010003,0.0850396076309436,0.2898094965132824,0.2697116312480106,-0.11058502537209425,-0.09593610562057098,-1.764998281669376,-0.6994791602592074,0.07598400728882901,0.18424993305332116,0.24703087885985747,0.09112843355605048,0.014026175253093243,0.8380664587020874,0.7529691211401425,0.8426392078399658,0.07207639311556369,-0.045133250391727886,0.5958417275938003,0.01563842589967566,0.13542313648384602,0.2322006004005474,-0.05104088425703712,-0.09593610562057098,0.03216123539293825,-0.6994791602592074,0.2708383950966566,0.18424993305332116,0.0,0.0,6.749558451701887e-06,0.001206134562380612,1.0,0.9999958872795105,-0.050578275539232886,-0.05061161703180883,0.08497090354292329,0.08487711513378285,0.2697590512070916,0.269711631247882,-0.12743931048511192,-0.11308673301570094,-0.2962836293829492,-0.8957792822519455,0.2995473721096883,0.18424993305332082,0.0,0.0,0.004566608462482691,0.7271741628646851,0.7125890736342043,0.8203948140144348,-0.1588543303702159,-0.06901044558226332,-0.24699491087003494,0.030507869919740596,0.3274284322658653,0.28567522293690445
x,Stocktwits,0.2548348756320491,-0.10781145205345055,0.7621173320267859,-0.09620723432970359,0.2942407090937647,0.36232731721382094,0.0,0.0,0.002476762980222702,0.7223945260047913,0.6189047261815454,0.7993995547294617,0.36864758500482675,-0.146241636878926,0.9281775427410487,-0.10479539276047047,0.29424071511738004,0.45824812894081574,0.05165755725514054,-0.11192842791005664,0.39117294011199716,-0.10893193078115411,0.1067721309260596,0.36232731721382094,0.32558139534883723,0.04272643572332835,0.00637653237208724,0.9629806280136108,0.6744186046511628,0.8487376570701599,0.01170941496949407,-0.146241636878926,0.24154385374343018,-0.10479539276047047,0.2700467320400508,0.45824812894081574,-0.16783974497977316,-0.11192842791005664,-0.1658041042044343,-0.10893193078115411,0.47194744540731937,0.36232731721382094,0.0,0.0,2.2485955923912115e-06,0.0008382046944461763,1.0,0.9999997615814209,-0.14620251362249637,-0.146241636878926,-0.10466448211491672,-0.10479539276047047,0.45821740880073303,0.45824812894081574,0.01145220158042104,-0.023080639210261378,0.4805300966263993,0.1546650757597156,0.5343186623071956,0.3017677809311303,0.0,0.0,0.0026494800113141537,0.7568099498748779,0.5573893473368342,0.8237901926040649,0.12613238883938127,-0.146241636878926,0.6486420820151311,-0.10479539276047047,0.5343186687539166,0.45824812894081574
x,bespokeinvest,-0.11110919635335992,-0.07885059466186206,-0.22279525850900161,-0.3059334171549831,0.291339365281504,0.20332226149875288,0.0,0.0,0.0013952136505395174,0.7505578994750977,0.6057312252964426,0.7692667245864868,-0.11102033132304101,-0.12661878457471198,-0.2250154464440916,-0.3528383083333674,0.29111573737017465,0.2881733312733905,-0.04797422451461408,-0.09644692467886229,-0.4944031190040625,-0.39980979761955876,0.05899636823869762,0.22021212065157336,0.3448616600790514,0.023027626510824812,0.003678540699183941,0.9992209076881409,0.6551383399209486,0.7981769442558289,0.06903178231322804,-0.12661878457471198,0.5084970943086192,-0.3528383083333674,0.11400349960735054,0.2881733312733905,-0.1265509137155264,-0.09644692467886229,-0.34895099680949077,-0.39980979761955876,0.28829196234087695,0.22021212065157336,0.0,0.0,6.03569833401707e-06,0.004064938984811306,1.0,0.9999995231628418,-0.12456982040607223,-0.12467940960547352,-0.34444290436862424,-0.3448622489529242,0.2865217971569829,0.2865926941094074,-0.09195731372787419,-0.08035443306389434,-0.16546233256615273,-0.31429957661762975,0.26226481951401215,0.20632391612589185,0.0,0.0,0.0013630390167236328,0.7411649227142334,0.6393280632411067,0.8016017079353333,-0.09187409783459499,-0.12661878457471198,-0.16861482540808148,-0.3528383083333674,0.26203714215684276,0.2881733312733905
x,goldseek,0.6246963936806844,-0.010779751264611392,1.8505440243295195,0.058749120522381466,0.27550206795787624,0.1394803553518147,0.0,0.0,0.008245028555393219,0.4841914772987366,0.9143730886850153,0.8073610067367554,0.6260698172201669,0.46419313503543735,1.708131587023611,1.4022167888442385,0.2754947431844186,0.2743174424064421,-0.05298919839862459,-0.010779751264611392,-0.40074335644614234,0.058749120522381466,0.08231432376370111,0.1394803553518147,0.045871559633027525,0.21521197007481296,0.03164113312959671,0.4368653893470764,0.9541284403669725,0.8208528757095337,0.4910889438917243,0.46419313503543735,1.8673617109805063,1.4022167888442385,0.19817421041449335,0.2743174424064421,0.46305088529155314,-0.010779751264611392,1.5318037197892702,0.058749120522381466,0.2743119372772456,0.1394803553518147,0.0,0.0,8.052105840761214e-06,0.00047326594358310103,1.0,0.9999988079071045,0.4641983502121545,0.46419313503543735,1.4022280803027336,1.4022167888442385,0.2743174424064421,0.2743174424064421,0.4971923815947894,-0.010779751264611392,1.6086325874545682,0.058749120522381466,0.2743045436937155,0.1394803553518147,0.0,0.0,0.007189921103417873,0.42141222953796387,0.9541284403669725,0.8232873678207397,0.4982428242274879,0.46419313503543735,1.473552990727637,1.4022167888442385,0.27430981845821306,0.2743174424064421
x,intocryptoverse,-0.14438491910502016,-0.1010936418518893,-0.24957787915123766,-0.9043063136980357,0.39873400200238485,0.20065232001554334,0.0,0.0,0.023113545030355453,0.3503347337245941,1.0,0.907543957233429,-0.14233447996640503,-0.16053594311599606,-0.11430129301712344,-0.1605518621777662,0.3973125599126903,0.41010285267766006,-0.05867099557745503,-0.1010936418518893,-0.6337044904346347,-0.9043063136980357,0.14305092582440052,0.20065232001554334,0.0,0.891213389121339,0.10139841586351395,0.2555408179759979,1.0,0.8939805030822754,-0.3497860286125357,-0.16053594311599606,-0.8552364138203401,-0.1605518621777662,0.37326448610545554,0.41010285267766006,-0.16254286639676008,-0.1010936418518893,-0.32621521711481555,-0.9043063136980357,0.41149412791443296,0.20065232001554334,0.0,0.0,0.00031416144338436425,0.004741931799799204,1.0,0.9999451041221619,-0.16053594311599606,-0.16053594311599606,-0.1605518621777662,-0.1605518621777662,0.41010285267766006,0.41010285267766006,-0.1467797751527593,-0.1010936418518893,-0.25976588327822664,-0.9043063136980357,0.40041693808648077,0.20065232001554334,0.0,0.0,0.024012723937630653,0.36335277557373047,1.0,0.9006641507148743,-0.14473507533113084,-0.16053594311599606,-0.12043995851502647,-0.1605518621777662,0.39899947471029357,0.41010285267766006
x,traderstewie,-0.08284099684193436,0.07462848640665332,0.3221461001931835,0.6984043542045708,0.37585400252803025,0.13454210058967775,0.0,0.0,0.004514881409704685,0.6882548928260803,0.7485380116959064,0.9143127799034119,-0.0622916882898642,-0.12293879285852216,0.2617816961270852,0.1708553236061315,0.3750383019085767,0.4056530704415187,0.009478392343132747,0.06184537975440829,0.22878525047787485,0.6142688580878047,0.061753373661709465,0.13454210058967775,0.26900584795321636,0.1396890717878372,0.020080914720892906,0.9089152216911316,0.7309941520467836,0.9086267352104187,-0.12029421110181138,-0.12293879285852216,-0.01205619407333607,0.1708553236061315,0.3859924184090081,0.4056530704415187,-0.1425383062681529,0.06184537975440829,0.15104188834793994,0.6142688580878047,0.395843312715526,0.13454210058967775,0.0,0.0,0.00011446337157394737,0.034861549735069275,1.0,0.9999820590019226,-0.12311735918314293,-0.12293879285852216,0.17057868580917226,0.1708553236061315,0.4057030614599837,0.4056530704415187,-0.10424321322974606,0.07462848640665332,0.25888711953377075,0.6984043542045708,0.37772604065217585,0.13454210058967775,0.0,0.0,0.00462182704359293,0.7015299797058105,0.7309941520467836,0.8871505260467529,-0.08296230111428393,-0.12293879285852216,0.23070350998539943,0.1708553236061315,0.39306723219095024,0.4056530704415187
