method,n_rows,n_kols_mean,event_return_mean,event_sharpe_mean,event_mdd_mean,UER_mean,DRR_mean,BD_mean,daily_return_mean,daily_sharpe_mean,daily_mdd_mean
BASELINE,2,10.0,,,,0.0,0.0,0.0,0.17141834837247616,0.7530297212853304,0.2584701992753434
KICL,2,10.0,0.1975562471050454,1.5162850273227708,0.2376017791515449,0.0,0.0,0.00769415578106405,0.2291735998216644,0.8564671217962812,0.2533028943629897
WO_HARD,2,10.0,0.0568798461435427,1.0533117410403399,0.09193231427742445,0.22471876527577572,0.2193876962035694,0.0306055166758596,0.21039797472510036,0.9371758867892438,0.2112038254730324
WO_RL_COMPLETION,2,10.0,0.1459121202526316,1.4076178048688253,0.24280881734954168,0.0,0.0,8.90731089156796e-05,0.17187673520808208,0.7535009360761707,0.25811163839347057
WO_REGIME_SPLIT,2,10.0,0.17758355061071143,1.4362110240029415,0.24588680068019758,0.0,0.0,0.00832918174564825,0.21274158349409705,0.82414562292153,0.2628208721147298
