source,method,n_kols,event_mean_cumulative_return,event_baseline_mean_cumulative_return,event_mean_sharpe,event_baseline_mean_sharpe,event_mean_max_drawdown,event_baseline_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown
x,KICL,10,0.10845029713221706,0.02467335407687382,0.47256790249115826,0.17031908437393717,0.31600311287498745,0.20133808053362903,0.0,0.0,0.007003685436211526,0.5958789229393006,0.780337541055198,0.8274142622947693,0.11648397771267831,0.025939629092175974,0.4240745380346027,0.2573372941330138,0.31744530952896893,0.33174763688797154
x,WO_HARD,10,0.01356633715922848,0.020904924033669902,-0.02882753609889686,0.14841637463834703,0.10393904249992174,0.20321397273006064,0.2036658102958419,0.19070162517719905,0.02540972181595862,0.7156081408262253,0.7963341897041581,0.8356352508068084,0.20001326329652375,0.027279579588646418,0.7087171727079051,0.25355356863784334,0.23698366497114787,0.3273589875159699
x,WO_RL_COMPLETION,10,0.021400429314067458,0.020904924033669902,0.29486449702746637,0.14841637463834703,0.330875186234875,0.20321397273006064,0.0,0.0,5.1556364223870335e-05,0.005246288306079805,1.0,0.999988728761673,0.026876431313680338,0.02692568042156217,0.2611026427200981,0.2612750434992984,0.3309615663899278,0.33095202688430503
x,WO_REGIME_SPLIT,10,0.06648681810535283,0.03114866389349057,0.4077756418177219,0.1729766519511198,0.3340676664295123,0.19561606708344548,0.0,0.0,0.006825660215690732,0.5910745531320571,0.7763476124559043,0.83151615858078,0.07427333848211488,0.024774187842421514,0.3499211965873001,0.2543784885973738,0.33946890269577745,0.3324686284291617
youtube,KICL,10,0.2866621970778739,0.3076282951020296,2.560002152154383,2.829153663533657,0.15920044542810247,0.09827466692220581,0.0,0.0,0.008384626125916839,0.576989260315895,0.7826531892677058,0.8476063489913941,0.34186322193065055,0.3168970676527764,1.2888597055579596,1.248722148437647,0.1891604791970106,0.18519276166271545
youtube,WO_HARD,10,0.10019335512785706,0.3081316729983441,2.1354510181795767,2.830786225577838,0.07992558605492729,0.09827466692220581,0.2351095821112971,0.2587359053743524,0.03580131153576076,0.8314300537109375,0.7648904178887029,0.8023507535457611,0.2207826861536771,0.31657186272063986,1.1656346008705825,1.2450757297197603,0.18542398597491708,0.1852771056183315
youtube,WO_RL_COMPLETION,10,0.2704238111911958,0.3081316729983441,2.520371112710184,2.8368417456739428,0.15474244846420854,0.09827466692220581,0.0,0.0,0.0001265898536075838,0.005951661174185574,1.0,0.9999006688594818,0.31687703910248394,0.31657186272063986,1.2458992294322435,1.2450757297197603,0.1852617103970134,0.1852771056183315
youtube,WO_REGIME_SPLIT,10,0.28868028311607014,0.3076282951020296,2.4646464061881606,2.829153663533657,0.15770593493088314,0.09827466692220581,0.0,0.0,0.009832703275606036,0.6356085032224655,0.7661870939043817,0.8355209350585937,0.35120982850607935,0.31697859409792245,1.29837004925576,1.2496589652814682,0.18617284153368224,0.18527710561851243
