method,n_rows,n_kols_mean,event_return_mean,event_sharpe_mean,event_mdd_mean,UER_mean,DRR_mean,BD_mean,daily_return_mean,daily_sharpe_mean,daily_mdd_mean,HVC_mean,MDD_mean
BASELINE,2,10.0,0.1661508245894517,1.4997363739537972,0.14980637372791736,0.0,0.0,0.0,0.1714183483724762,0.7530297212853304,0.2584701992753434,0.0,0.14980637372791736
KICL,2,10.0,0.19755624710504543,1.5162850273227708,0.2376017791515449,0.0,0.0,0.00769415578106414,0.22917359982166444,0.8564671217962812,0.2533028943629897,0.0,0.2376017791515449
WO_HARD,2,10.0,0.05687984614354276,1.0533117410403399,0.09193231427742449,0.22471876527577572,0.21938769620356946,0.03060551667585966,0.2103979747251004,0.9371758867892438,0.2112038254730324,0.4441064614793452,0.09193231427742449
WO_RL_COMPLETION,2,10.0,0.14591212025263162,1.4076178048688253,0.24280881734954174,0.0,0.0,8.907310891571436e-05,0.1718767352080821,0.7535009360761709,0.25811163839347057,0.0,0.24280881734954174
WO_REGIME_SPLIT,2,10.0,0.1775835506107115,1.4362110240029413,0.24588680068019766,0.0,0.0,0.008329181745648331,0.2127415834940971,0.82414562292153,0.2628208721147298,0.0,0.24588680068019766
