source,method,n_kols,event_return_mean,event_sharpe_mean,event_mdd_mean,UER_mean,DRR_mean,BD_mean,daily_return_mean,daily_sharpe_mean,daily_mdd_mean
x,BASELINE,10,,,,0.0,0.0,0.0,0.0259396290921759,0.2573372941330138,0.3317476368879715
x,KICL,10,0.108450297132217,0.4725679024911583,0.3160031128749874,0.0,0.0,0.0070036854362114,0.1164839777126783,0.4240745380346028,0.3174453095289689
x,WO_HARD,10,0.0135663371592284,-0.0288275360988969,0.1039390424999217,0.190701625177199,0.2036658102958418,0.0254097218159585,0.2000132632965237,0.7087171727079051,0.2369836649711478
x,WO_RL_COMPLETION,10,0.0214004293140674,0.2948644970274664,0.3308751862348749,0.0,0.0,5.1556364223859175e-05,0.0268764313136803,0.261102642720098,0.3309615663899278
x,WO_REGIME_SPLIT,10,0.0664868181053528,0.4077756418177219,0.3340676664295122,0.0,0.0,0.0068256602156906,0.0742733384821148,0.3499211965873001,0.3394689026957774
youtube,BASELINE,10,,,,0.0,0.0,0.0,0.3168970676527764,1.248722148437647,0.1851927616627154
youtube,KICL,10,0.2866621970778738,2.560002152154383,0.1592004454281024,0.0,0.0,0.0083846261259167,0.3418632219306505,1.2888597055579596,0.1891604791970105
youtube,WO_HARD,10,0.100193355127857,2.1354510181795767,0.0799255860549272,0.2587359053743524,0.235109582111297,0.0358013115357607,0.220782686153677,1.1656346008705825,0.185423985974917
youtube,WO_RL_COMPLETION,10,0.2704238111911958,2.520371112710184,0.1547424484642085,0.0,0.0,0.0001265898536075,0.3168770391024839,1.2458992294322435,0.1852617103970133
youtube,WO_REGIME_SPLIT,10,0.2886802831160701,2.464646406188161,0.157705934930883,0.0,0.0,0.0098327032756059,0.3512098285060793,1.29837004925576,0.1861728415336822
