method,n_kols,event_mean_cumulative_return,event_baseline_mean_cumulative_return,event_mean_sharpe,event_baseline_mean_sharpe,event_mean_max_drawdown,event_baseline_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown
KICL,20,0.19755624710504552,0.1661508245894517,1.5162850273227706,1.499736373953797,0.23760177915154493,0.14980637372791744,0.0,0.0,0.007694155781064182,0.5864340916275979,0.781495365161452,0.8375103056430817,0.22917359982166446,0.1714183483724762,0.8564671217962812,0.7530297212853305,0.25330289436298975,0.2584701992753435
WO_HARD,20,0.05687984614354276,0.16451829851600702,1.0533117410403399,1.4896013001080928,0.09193231427742453,0.15074431982613323,0.21938769620356952,0.22471876527577575,0.03060551667585969,0.7735190972685814,0.7806123037964305,0.8189930021762848,0.21039797472510044,0.17192572115464314,0.9371758867892437,0.7493146491788019,0.21120382547303246,0.2563180465671507
WO_RL_COMPLETION,20,0.14591212025263164,0.16451829851600702,1.4076178048688255,1.4926290601561452,0.24280881734954168,0.15074431982613323,0.0,0.0,8.907310891572706e-05,0.005598974740132689,1.0,0.9999446988105773,0.1718767352080821,0.17174877157110102,0.7535009360761709,0.7531753866095293,0.2581116383934706,0.25811456625131823
WO_REGIME_SPLIT,20,0.17758355061071152,0.1693884794977601,1.436211024002941,1.5010651577423881,0.2458868006801977,0.14694536700282565,0.0,0.0,0.008329181745648385,0.6133415281772614,0.7712673531801431,0.8335185468196868,0.21274158349409716,0.17087639097017196,0.82414562292153,0.7520187269394211,0.26282087211472976,0.25887286702383705
