scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio
ALL,34478,730336,764814,0.04508024173197667,0.9549197582680233,21.182667208074715
SPLIT::test,8103,101028,109131,0.07425021304670533,0.9257497869532947,12.467974824139208
SPLIT::train,18924,545041,563965,0.033555273820183876,0.9664447261798161,28.80157471993236
SPLIT::val,7451,84267,91718,0.08123814300355438,0.9187618569964456,11.30948865924037
