date,equity_a,equity_b
2024-05-14,0.9853562032803893,0.9853562032803893
2024-05-18,0.9853562032803893,0.9853562032803893
2024-05-19,1.0416845323203467,1.041617474856177
2024-05-25,1.0416845323203467,1.041617474856177
2024-05-26,1.033705545368979,1.0309950746192174
2024-06-01,1.033705545368979,1.0309950746192174
2024-06-02,1.0562075979516075,1.0499291027474718
2024-06-05,1.0309500317662972,1.0248216770349912
2024-06-08,1.0309500317662972,1.0248216770349912
2024-06-09,1.0962125760796069,1.087145305172593
2024-06-15,1.0962125760796069,1.087145305172593
2024-06-16,1.060585845224819,1.025612271515864
2024-06-22,1.060585845224819,1.025612271515864
2024-06-23,1.0758490386290251,1.0421536824594513
2024-06-30,1.0668426642695292,1.0327197402899708
2024-07-02,1.0746693022325424,1.0443771537369613
2024-07-06,1.0746693022325424,1.0443771537369613
2024-07-07,1.1462238597706529,1.1118208704444026
2024-07-13,1.2032859579233721,1.167170295512412
2024-07-20,1.1942237916212062,1.146017010748368
2024-07-27,1.1942237916212062,1.146017010748368
2024-07-28,1.0652241200589239,1.0222246202194245
2024-08-03,1.0652241200589239,1.0222246202194245
2024-08-04,1.0652241200589239,1.0222246202194245
2024-08-05,1.056424026856959,1.012703270182919
2024-08-07,1.0973898573620686,1.0550808082027712
2024-08-11,1.1941508104705476,1.1445712746724714
2024-08-17,1.1941508104705476,1.1445712746724714
2024-08-18,1.1661921020217778,1.1177733742005915
2024-08-24,1.1661921020217778,1.1177733742005915
2024-08-25,1.1506218680491516,1.1047804145216404
2024-08-28,1.1506218680491516,1.1047804145216404
2024-08-31,1.1506218680491516,1.1047804145216404
2024-09-02,1.1660232609202283,1.119067054375397
2024-09-05,1.1303717530504547,1.084851246481151
2024-09-07,1.138564213955299,1.0936918743513968
2024-09-11,1.1387699805428493,1.0591116701938001
2024-09-14,1.1388416464407585,1.0600667312018985
2024-09-18,1.1388416464407585,1.0600667312018985
2024-09-23,1.1895830892209622,1.092158968423838
2024-09-28,1.1895830892209622,1.092158968423838
2024-09-29,1.2246042041065375,1.1235855045920877
2024-10-05,1.2246042041065375,1.1235855045920877
2024-10-06,1.2112591518602602,1.1203751247458256
2024-10-08,1.1959397001855836,1.0998766483033526
2024-10-12,1.1959397001855836,1.0998766483033526
2024-10-13,1.2133155560267768,1.1134347065003658
2024-10-16,1.1920231279427829,1.0935370056401559
2024-10-19,1.1803299512449783,1.0835775394254443
2024-10-22,1.1680191749568887,1.072275885456065
2024-10-26,1.1756308997784533,1.0792636722560482
2024-10-29,1.149627418798947,1.0553917134816821
2024-10-31,1.178496895134793,1.0825927494594698
2024-11-05,1.331428411264713,1.2464559966550193
2024-11-09,1.401323544298952,1.2998970553904476
2024-11-15,1.3883959167492712,1.2897769886411428
2024-11-23,1.4873960073185293,1.4090896224550256
2024-11-30,1.6138943942163804,1.5289282957861492
2024-12-07,1.5804127435041775,1.4947786820310327
2024-12-14,1.5803134854249374,1.4893949336157823
2024-12-22,1.5650829628223166,1.4744742377466988
2024-12-29,1.5743652487598576,1.4825687056848431
