Date,NAV,Daily_Return,Cumulative_Return
2024-01-02,1.0,0.0,0.0
2024-01-03,0.9852941015270897,-0.01470589847291025,-0.014705898472910262
2024-01-04,0.9844421466586492,-0.0008646706268922226,-0.015557853341350847
2024-01-05,0.9804567708402805,-0.004048359603350638,-0.01954322915971951
2024-01-08,0.9906536088122373,0.010400089300436823,-0.009346391187762704
2024-01-09,0.9861498195851198,-0.0045462805435265265,-0.013850180414880175
2024-01-10,0.9928943802576334,0.006839286017768675,-0.007105619742366565
2024-01-11,0.9877990438843197,-0.005131800999811943,-0.012200956115680284
2024-01-12,0.9861964368167017,-0.001622401922273677,-0.01380356318329834
2024-01-16,0.9638843368710348,-0.022624397242487573,-0.03611566312896519
2024-01-17,0.968692619101308,0.004988443163089365,-0.031307380898692005
2024-01-18,0.9732871996709347,0.004743073787316942,-0.02671280032906531
2024-01-19,0.979880694225497,0.006774459334091225,-0.02011930577450305
2024-01-22,0.9855029876542412,0.005737732625897012,-0.014497012345758842
2024-01-23,0.9890433556150834,0.0035924477197874674,-0.010956644384916614
2024-01-24,0.9880407767788559,-0.001013685426968839,-0.011959223221144066
2024-01-25,0.9942248238238792,0.006258898610626189,-0.005775176176120778
2024-01-26,0.988211612457792,-0.006048140442681605,-0.011788387542208012
2024-01-29,0.9948011581558134,0.006668152463451002,-0.005198841844186619
2024-01-30,1.00583381642532,0.011090315063524066,0.005833816425319993
2024-01-31,0.99366134597764,-0.012101870357610634,-0.006338654022360002
2024-02-01,1.0133195954229877,0.019783651165384195,0.013319595422987662
2024-02-02,1.006294042915462,-0.006933205021652631,0.006294042915462095
2024-02-05,1.000731223737579,-0.005528025547847133,0.0007312237375789454
2024-02-06,1.0046096833237523,0.003875625636709926,0.004609683323752334
2024-02-07,1.018860251974664,0.014185179465684233,0.0188602519746639
2024-02-08,0.967686748063381,-0.05022622465848784,-0.03231325193661905
2024-02-09,0.9704792389654259,0.002885738497125692,-0.029520761034574128
2024-02-12,0.9519512834566201,-0.019091552673045773,-0.04804871654337994
2024-02-13,0.9363266319808928,-0.016413288943729086,-0.06367336801910717
2024-02-14,0.9335119784526411,-0.0030060594584359938,-0.06648802154735889
2024-02-15,0.9407813198484407,0.007787089575271313,-0.05921868015155929
2024-02-16,0.9387423582374238,-0.0021673066503333786,-0.0612576417625762
2024-02-20,0.9441500390318599,0.005760559057534758,-0.0558499609681401
2024-02-21,0.9404267178291333,-0.003943569399779364,-0.05957328217086666
2024-02-22,0.9645618177682358,0.02566398793391946,-0.035438182231764204
2024-02-23,0.9713214187612808,0.007007950002297584,-0.028678581238719247
2024-02-26,0.960550382424822,-0.011089054692312859,-0.03944961757517795
2024-02-27,0.9482057996276869,-0.012851572414111464,-0.05179420037231308
2024-02-28,0.9516410066897263,0.0036228496634256066,-0.04835899331027371
2024-02-29,0.9494025814428491,-0.0023521740142993337,-0.05059741855715094
2024-03-01,0.9507988268938715,0.0014706568934123802,-0.04920117310612848
2024-03-04,0.9428867693380777,-0.008321484347684188,-0.05711323066192231
2024-03-05,0.9359498673353789,-0.0073570891312523395,-0.06405013266462112
2024-03-06,0.944438153172547,0.009069167199450603,-0.05556184682745302
2024-03-07,0.9456127723615024,0.0012437227202328567,-0.05438722763849757
2024-03-08,0.9490701420497485,0.0036562214357700384,-0.05092985795025151
2024-03-11,0.9456349349877091,-0.003619550241692575,-0.05436506501229088
2024-03-12,0.9499123218456033,0.004523296146995422,-0.05008767815439674
2024-03-13,0.9486268895256142,-0.0013532115442944422,-0.05137311047438575
2024-03-14,0.940248784840447,-0.008831822898628711,-0.05975121515955295
2024-03-15,0.942642586739655,0.002545923948855902,-0.05735741326034505
2024-03-18,0.9351227722524109,-0.007977376147679682,-0.06487722774758908
2024-03-19,0.9408668805795247,0.006142624794900468,-0.05913311942047528
2024-03-20,0.9588199006921498,0.01908136048063143,-0.04118009930785016
2024-03-21,0.9617719474224774,0.003078833395298331,-0.0382280525775226
2024-03-22,0.9527226053052477,-0.009409031050948882,-0.04727739469475234
2024-03-25,0.9512450930931694,-0.001550831484264971,-0.0487549069068306
2024-03-26,0.9535409197611681,0.002413496463391299,-0.04645908023883194
2024-03-27,0.9610875975213223,0.00791437221387874,-0.038912402478677666
2024-03-28,0.9670885701980715,0.006243939358104081,-0.032911429801928516
2024-04-01,0.9708164471639308,0.0038547420378422527,-0.029183552836069215
2024-04-02,0.9688609240040642,-0.0020143078185164533,-0.031139075995935794
2024-04-03,0.9697111305376174,0.0008775320714139016,-0.030288869462382628
2024-04-04,0.9728384830537264,0.003225035185865302,-0.027161516946273556
2024-04-05,0.9806808423490865,0.008061316890695976,-0.01931915765091352
2024-04-08,0.9861872162835242,0.005614848069478094,-0.013812783716475763
2024-04-09,0.9882115045272681,0.002052640928942965,-0.011788495472731864
2024-04-10,0.9638670260944584,-0.02463488668294285,-0.0361329739055416
2024-04-11,0.9613212024239891,-0.002641260258466193,-0.03867879757601089
2024-04-12,0.949705881927473,-0.012082663387874807,-0.05029411807252704
2024-04-15,0.9309531629262483,-0.019745817476843543,-0.0690468370737517
2024-04-16,0.928680106077615,-0.00244164469186444,-0.07131989392238502
2024-04-17,0.9367494578902632,0.008689054239279449,-0.0632505421097368
2024-04-18,0.9396135095195411,0.0030574361214238694,-0.060386490480458854
2024-04-19,0.9377723334721482,-0.001959503592423258,-0.06222766652785183
2024-04-22,0.9477055919006755,0.010592398681403927,-0.05229440809932451
2024-04-23,0.9393634732661913,-0.008802436859904578,-0.060636526733808704
2024-04-24,0.9394089344031639,4.8395683105023014e-05,-0.060591065596836136
2024-04-25,0.9444551206071299,0.0053716608594658035,-0.05554487939287012
2024-04-26,0.9450915765247472,0.0006738868832730991,-0.05490842347525282
2024-04-29,0.9440232398058896,-0.0011304055029101219,-0.05597676019411035
2024-04-30,0.9452052293671789,0.0012520767619368226,-0.05479477063282112
2024-05-01,0.9460462604011731,0.0008897866916768982,-0.05395373959882688
2024-05-02,0.9477737836061345,0.00182604517059104,-0.05222621639386549
2024-05-03,0.9664583109019003,0.019714121258633987,-0.033541689098099736
2024-05-06,0.9735491330710595,0.007336914680305248,-0.026450866928940497
2024-05-07,0.9807650206970457,0.007411939860933041,-0.019234979302954258
2024-05-08,0.9833840247340407,0.002670368520212593,-0.01661597526595926
2024-05-09,0.9876303939632693,0.004318118987520731,-0.012369606036730652
2024-05-10,0.9884768586378907,0.0008570662464371566,-0.011523141362109302
2024-05-13,0.9853516104407316,-0.0031616806906998893,-0.014648389559268393
2024-05-14,0.985105876435739,-0.00024938712474700646,-0.014894123564261008
