method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Sven_Carlin_Ph.D._20260316_014418,0.1521003051081573,1.4632623542616545,0.13035140806146484
WO_BC_ANCHOR,Sven_Carlin_Ph.D._20260321_144811,0.16112552827953786,1.545525824114145,0.13035140805070716
WO_ENTRY_PEN,Sven_Carlin_Ph.D._20260321_194033,0.17954916931345188,1.6747497752407594,0.13035140805453016
WO_FIDELITY,Sven_Carlin_Ph.D._20260321_162814,0.16464346004079045,1.5618413856282827,0.13035140805954654
WO_HARD,Sven_Carlin_Ph.D._20260321_015904,0.06407984815634449,2.537520614441399,0.02532268583223368
WO_MKT_FACTORS,Sven_Carlin_Ph.D._20260321_211641,0.18107779284178527,1.6826157166133433,0.13035140806714626
WO_REV_PEN,Sven_Carlin_Ph.D._20260321_180404,0.19697548734059,1.72378811015064,0.13035140805433965
WO_RL_COMPLETION,Sven_Carlin_Ph.D._20260321_162411,0.16442161887676443,1.5690903393893618,0.13035140804730622
WO_SOFT,Sven_Carlin_Ph.D._20260322_131142,0.14352346498130308,1.4129108033059252,0.13035140805433965
WO_REGIME_SPLIT,Sven_Carlin_Ph.D._20260321_225235,0.19374555198130028,1.7167713399236717,0.1303514080667755
