method,run_name,turnover,baseline_turnover,turnover_improve_vs_baseline,rebalance_freq,baseline_rebalance_freq,rebalance_freq_improve_vs_baseline,active_exposure_ratio,baseline_active_exposure_ratio,active_exposure_ratio_improve_vs_baseline
HARD_BOTH,Dividend_Data_20260325_001129,1.7552938145930097,1.2158335052310345,-0.5394603093619752,1.0,1.0,0.0,1.0,1.0,0.0
BC,Dividend_Data_20260317_153549,0.7890513920134635,1.2158335052310345,0.426782113217571,1.0,1.0,0.0,1.0,1.0,0.0
IQL,Dividend_Data_20260317_161334,0.8828574420114018,1.2158335052310345,0.3329760632196327,1.0,1.0,0.0,1.0,1.0,0.0
TRAIN_ONLY,Dividend_Data_20260325_014218,0.5294867200622517,1.2158335052310345,0.6863467851687828,1.0,1.0,0.0,1.0,1.0,0.0
INFER_ONLY,Dividend_Data_20260325_031135,1.7109349789287855,1.2158335052310345,-0.49510147369775104,1.0,1.0,0.0,1.0,1.0,0.0
HARD_NONE,Dividend_Data_20260325_105832,1.006365117697008,1.2158335052310345,0.2094683875340264,1.0,1.0,0.0,1.0,1.0,0.0
