date,step_50000,step_100000,step_200000,step_300000,step_500000
2024-05-14,1.0,1.0,1.0,1.0,1.0
2024-05-15,0.9799493241486684,0.9799493241486684,0.9799493241486684,0.9799493241486684,0.9799493241486684
2024-05-16,0.9847366563374422,0.9847366563374422,0.9847366563374422,0.9847366563374422,0.9847366563374422
2024-05-17,0.999493121169565,0.999493121169565,0.999493121169565,0.999493121169565,0.999493121169565
2024-05-20,1.0089664150179325,1.0089664150179325,1.0089664150179325,1.0089664150179325,1.0086705048329991
2024-05-21,1.0139338319149758,1.0139338319149758,1.0139338319149758,1.0139338319149758,1.0136111254057043
2024-05-22,1.0113210213437076,1.0113210213437076,1.0113210213437076,1.0113210213437076,1.0110254620975168
2024-05-23,1.033632846234501,1.033632846234501,1.033632846234501,1.033632846234501,1.0326720868251318
2024-05-24,1.0438815101446952,1.0438815101446952,1.0438815101446952,1.0438815101446952,1.0428119577013375
2024-05-28,1.064243293661769,1.0641186085354997,1.06458467781057,1.0654062209150144,1.065889270071891
2024-05-29,1.06122112223988,1.061786936160995,1.062206734143628,1.0641479549520136,1.06324532941952
2024-05-30,1.0445250705841185,1.041520283948975,1.0449958917611597,1.0421308997793362,1.0422014904934531
2024-05-31,1.0503840837957077,1.04589301062786,1.050561942448482,1.0452001127135877,1.046619392914377
2024-06-03,1.052326602003266,1.0504587031288322,1.0539255237566871,1.0524923599219418,1.0526693375357603
2024-06-04,1.0549218469688528,1.055596858548865,1.0569080495553365,1.056562889655609,1.0583339480411813
2024-06-05,1.073178834628742,1.0714701840863838,1.0767553083453396,1.075840420613153,1.0817087867465696
2024-06-06,1.0597198356776911,1.0580326137408136,1.063251455960316,1.0623480420595457,1.068142811574127
2024-06-07,1.0541901792110966,1.0525117612593666,1.0577033713712347,1.0568046715169042,1.062569203714376
2024-06-10,1.0556113424326004,1.052052453281178,1.0572674514268732,1.0565663293379552,1.0621671927198149
2024-06-11,1.0751763828110847,1.0774526287252462,1.0827628782917702,1.0814517147933922,1.0877690233263295
2024-06-12,1.0990080777731834,1.100405356130019,1.1057604441432052,1.1044758834074977,1.1107267844494833
2024-06-13,1.106534998979296,1.104939829047717,1.1102060909431375,1.109150604293777,1.1149423911070198
2024-06-14,1.113163659828042,1.1094441093312817,1.1147209144762669,1.113861936542471,1.119436354750622
2024-06-17,1.1273393226524908,1.1247067101195094,1.1244647579395255,1.1301247609209124,1.1275810204209125
2024-06-18,1.1330323681699928,1.1275918783041148,1.1282392873900244,1.1322534055467557,1.1265802522018469
2024-06-20,1.1193778673460737,1.1139089559521944,1.1184494258616944,1.1109175753860332,1.1139223757997203
2024-06-21,1.1030897166204,1.0987510411678338,1.1102573485910878,1.092992765555644,1.1046025187759516
2024-06-24,1.0781510753817858,1.0756724446916863,1.087051494699356,1.065002185183516,1.0704099138371128
2024-06-25,1.0910736470164764,1.0873811222628975,1.0998080934156669,1.080813948492838,1.0895534685744093
2024-06-26,1.0920298065744278,1.0873130592839693,1.0959108642152553,1.0810290014517765,1.0903648260897922
2024-06-27,1.0812913401250173,1.0774797109618457,1.08910021371811,1.07186294253382,1.0809541362661952
2024-06-28,1.0868206317311384,1.0828907000701464,1.0928504422102283,1.076395691639918,1.0852689879957589
2024-07-01,1.0834509943852422,1.079533884455204,1.089462109714474,1.0730583763409487,1.0819049957011475
2024-07-02,1.0743809812244476,1.0700276259313015,1.0803417750389734,1.064075364053221,1.0722338000738725
2024-07-03,1.0873137516334834,1.0766213530584217,1.0827359385138229,1.0694801255564377,1.080625919935597
2024-07-05,1.08305944715896,1.0766543076747357,1.0859041358959065,1.0730925430825642,1.080027111677056
2024-07-08,1.0888007157498902,1.081774668795555,1.0890450790265829,1.0781959651350037,1.0845634697814248
2024-07-09,1.0875409121969704,1.0814562279370716,1.086958837131763,1.0778785777357098,1.0835146558276574
2024-07-10,1.0943620968163827,1.0873475278731743,1.0895426516091855,1.0837503882002482,1.0885339877360831
2024-07-11,1.1191602733205803,1.1110842651364297,1.1147768626561805,1.10740860010052,1.1123467478259317
2024-07-12,1.16529282983414,1.1560580820134791,1.1584424523994956,1.152233635565202,1.1566122503859435
2024-07-15,1.1318037445234796,1.1228343920177737,1.1251502385261645,1.119119855465184,1.1233726342715606
2024-07-16,1.155611144255758,1.1464531221494465,1.1488176823008258,1.1426604506225244,1.147002686285274
2024-07-17,1.159737794114748,1.1505470690089703,1.1529200729278437,1.1467408539752213,1.1510985956204758
2024-07-18,1.148786351488877,1.1396824147064577,1.1420330102702692,1.135912141888074,1.1402287332337966
2024-07-19,1.1538652585881353,1.1447210723293049,1.1470820601270433,1.1409341307322935,1.1452698061891755
2024-07-22,1.1649886197243755,1.1536135297642958,1.1524707452820628,1.1543881388004624,1.1553737245163958
2024-07-23,1.1589491842586548,1.147236205891066,1.1476950419086174,1.1483184158106376,1.149068439193638
2024-07-24,1.1378841484222335,1.1294867144219911,1.134983328261917,1.1248160560156042,1.1297870110919672
2024-07-25,1.1373781149773017,1.129296777501839,1.1379804067037895,1.1246170520741603,1.1295944313670203
