kol,iql_steps,cumulative_return,sharpe,max_drawdown
Ale_s_World_of_Stocks,50000,0.5675342529727685,3.332133959526952,0.13733069508819895
Ale_s_World_of_Stocks,100000,0.5515251013226348,3.388283072150898,0.13296132871147212
Ale_s_World_of_Stocks,200000,0.565083008415467,3.608549414029201,0.12205072995855502
Ale_s_World_of_Stocks,300000,0.5702834102138603,3.3100231789427306,0.1396566536588308
Ale_s_World_of_Stocks,500000,0.6101840335084465,3.5220750677602184,0.13522958496176837
Financial_Education,50000,0.3698135475084088,2.058633318013358,0.14463923354906305
Financial_Education,100000,0.32325249806550205,1.9104107474339957,0.13494280865425098
Financial_Education,200000,0.4436927111687816,2.413645576308302,0.12268195280431367
Financial_Education,300000,0.2567392450578687,1.6167126422651743,0.13550279369742135
Financial_Education,500000,0.3841872498313377,2.2053747500374508,0.13334658736959928
Invest_with_Henry,50000,0.499985127047079,2.493866650960104,0.23590533909494593
Invest_with_Henry,100000,0.5100834804419672,2.5077480440197295,0.24143571944175646
Invest_with_Henry,200000,0.5296271621071014,2.587618327699277,0.23603233104598534
Invest_with_Henry,300000,0.5319291454967505,2.618750698365645,0.21770034423223353
Invest_with_Henry,500000,0.5075003419203445,2.516815923446864,0.23415730835120502
Joseph_Carlson,50000,0.27232164791955515,2.338685519610332,0.14031263141610473
Joseph_Carlson,100000,0.25384661194530356,2.217102963221188,0.12361214067673704
Joseph_Carlson,200000,0.302561979892499,2.574232070738338,0.12456658575175544
Joseph_Carlson,300000,0.27398031616002294,2.3672636255117916,0.13182842384917626
Joseph_Carlson,500000,0.3313870282721578,2.7485091591297266,0.12272604651664058
MarketBeat,50000,0.23213229324693252,0.7691049133683636,0.261368139723191
MarketBeat,100000,0.21341400638801722,0.737198762063594,0.27412567148374417
MarketBeat,200000,0.27028387812751875,0.8325257505614927,0.25367179137695417
MarketBeat,300000,0.26005570150376855,0.815811587377995,0.262194115061855
MarketBeat,500000,0.23858432170607036,0.7799557600778262,0.2566989097890145
The_Maverick_of_Wall_Street,50000,0.674180697745252,3.901326496999399,0.10258519989975412
The_Maverick_of_Wall_Street,100000,0.5538780032167423,3.3729916128692548,0.1181350587837075
The_Maverick_of_Wall_Street,200000,0.5992508219685113,3.3896802146724037,0.12717555650511345
The_Maverick_of_Wall_Street,300000,0.5580917907121854,3.299633756196497,0.13711735380916645
The_Maverick_of_Wall_Street,500000,0.44576013422185445,3.4779729965240267,0.06684670883913234
Tom_Nash,50000,0.01098971218294098,0.4496819631400015,0.3159142220619378
Tom_Nash,100000,-0.03770625363294189,0.14796061721043016,0.31504069668685364
Tom_Nash,200000,0.03702239882488545,0.6001683214889131,0.3111577146541869
Tom_Nash,300000,-0.020854735865471263,0.2555127025970434,0.3124046415512326
Tom_Nash,500000,0.03534742209218189,0.5908096890721701,0.3105098272821911
