date,beta5,beta8,test_v2
2023-10-02,1.0,1.0,1.0
2023-10-03,0.9935521033652462,0.992546248114845,0.9949115632114288
2023-10-04,0.9948904528912026,0.9989041025505015,0.9977227477829126
2023-10-05,0.9919012294532398,0.9948350588724992,0.9978085492777584
2023-10-06,1.0003655728247272,1.0036700582796607,1.0034405365077612
2023-10-09,0.9998696611779152,1.0021769273014614,1.006169363344916
2023-10-10,1.0067070413521575,1.0077442898729172,1.0137876406049315
2023-10-11,1.0128470796302715,1.0122434958791506,1.0146696939953097
2023-10-12,1.0085047351570853,1.0072039154386558,1.008679317321019
2023-10-13,1.0108483094828036,1.0081159015905,1.0081800327467731
2023-10-16,1.0229720486182463,1.0205041869301572,1.0216561819518803
2023-10-17,1.016087590512637,1.013602008318181,1.0165448099563288
2023-10-18,1.003988720676255,1.0010117636370384,1.0064977801244568
2023-10-19,0.997022433723274,0.9939986329108844,1.002670964138495
2023-10-20,0.9835806098696164,0.979960202039526,0.98951310074881
2023-10-23,0.9848447704326232,0.9826058599802232,0.9846643402861278
2023-10-24,0.9954883856215776,0.9922258461861406,0.9960853153652556
2023-10-25,0.973378465610018,0.9720886711380404,0.9813261964525376
2023-10-26,0.9478542347253492,0.9488954460628376,0.9588610610032704
2023-10-27,0.947035978151166,0.946099476554213,0.9575260299414348
2023-10-30,0.9561564474546884,0.9522447958054988,0.96084750156801
2023-10-31,0.9592264893210658,0.955885910321444,0.9670185399721952
2023-11-01,0.9739071613468224,0.9717936876199506,0.9844272859898752
2023-11-02,0.9934557048286474,0.9940826214060006,1.0140429691459374
2023-11-03,1.0020579028842502,1.0028147317566016,1.034094534203468
2023-11-06,1.007769663824364,1.0078632852238407,1.0417234660621963
2023-11-07,1.0177734394818894,1.018250547777775,1.0520927901007189
2023-11-08,1.0219082140783242,1.0234902122380387,1.0564491317288416
2023-11-09,1.008464724212352,1.0084567619949594,1.0424345008983371
2023-11-10,1.035098219461524,1.0341946565684668,1.069898422297098
2023-11-13,1.0455180071951151,1.0461293526990432,1.0807821669460445
2023-11-14,1.0706460236741022,1.070201234013894,1.0979053396252016
2023-11-15,1.075656506990787,1.0742146131750985,1.0988847208503127
2023-11-16,1.069426118810782,1.06958707730364,1.1019295776986997
2023-11-17,1.0574131536283295,1.0594186348959755,1.1007790676452012
2023-11-20,1.060078406976473,1.064681257047272,1.1079914433097304
2023-11-21,1.055972464993573,1.0649252285325437,1.104456694319525
2023-11-22,1.054630408432243,1.0656807976045537,1.1023423952211642
2023-11-24,1.0531779231730305,1.065711847226508,1.100478792593545
2023-11-27,1.0531779231730305,1.065711847226508,1.100478792593545
2023-11-28,1.0564520222536111,1.0717689356452078,1.1058688915633257
2023-11-29,1.0543404261442593,1.0673965181417906,1.1060199791542122
2023-11-30,1.063275360914708,1.0759731851038072,1.1150576019943632
2023-12-01,1.0668527334714353,1.0791719387856749,1.120697305832682
2023-12-04,1.062856148707331,1.0755347233412502,1.1168667363353395
2023-12-05,1.0661454848188725,1.0773157997470426,1.117842831964136
2023-12-06,1.0543554260764882,1.069044573505488,1.1077871998798658
2023-12-07,1.0594508541601375,1.075928340639959,1.1118380827422578
2023-12-08,1.064037777349389,1.075290777247153,1.116803548905635
