method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
HARD_BOTH,Ale_s_World_of_Stocks_20260325_001036,0.6666303058524754,0.6797743161520666,2.12427187327115,2.1010003320719277,0.13863438988683177,0.1571776162031464
BC,Ale_s_World_of_Stocks_20260317_153528,0.24305982454378938,0.6797743161520666,1.3264940182180427,2.1010003320719277,0.11521954707702403,0.1571776162031464
IQL,Ale_s_World_of_Stocks_20260317_153946,0.21613138352897177,0.6797743161520666,1.227002083933723,2.1010003320719277,0.12453476807652486,0.1571776162031464
TRAIN_ONLY,Ale_s_World_of_Stocks_20260325_014112,0.1615688209692332,0.6797743161520666,1.0043827824774467,2.1010003320719277,0.163727452610896,0.1571776162031464
INFER_ONLY,Ale_s_World_of_Stocks_20260325_031041,0.7607828325342945,0.6797743161520666,2.2549348737846486,2.1010003320719277,0.16466324312344957,0.1571776162031464
HARD_NONE,Ale_s_World_of_Stocks_20260325_105831,0.2470839869978072,0.6797743161520666,1.3375314201614503,2.1010003320719277,0.12852041530745115,0.1571776162031464
