date,exp0.5,exp0.6,test_v2
2023-09-25,1.0,1.0,1.0
2023-09-26,0.9901703519610392,0.9869784847917432,0.9837067280561425
2023-09-27,0.990441954419068,0.9775006178679814,0.979404602024043
2023-09-28,1.0026458865869716,0.9878580458269288,0.9904463572081366
2023-09-29,1.0071357395356406,0.997183572182879,1.0001817528737906
2023-10-02,1.0034672027393428,1.0035381787762645,0.9995950619842418
2023-10-03,0.9798975525210312,0.9887038849450976,0.9860272823141693
2023-10-04,1.0380483092201085,1.0473772420863183,1.0445417999236752
2023-10-05,1.0336362626585696,1.0429255444933108,1.04010215389198
2023-10-06,1.038688668152466,1.0452730484312474,1.0396947691104863
2023-10-09,1.047840302323194,1.053517689585156,1.041925538799357
2023-10-10,1.0619912496379718,1.0663279534539694,1.0511880490840024
2023-10-11,1.0590129202625764,1.0623482201761445,1.0458022276320185
2023-10-12,1.0289405809273586,1.0363221707995751,1.0254537791772786
2023-10-13,1.0484201203896883,1.046795385064982,1.0522313237980616
2023-10-16,1.066830481935732,1.0615608418999327,1.0641607519552947
2023-10-17,1.0714907861301048,1.0542755802971702,1.0613275745597968
2023-10-18,1.065718973717646,1.0558501614010904,1.056349098699825
2023-10-19,1.0540726918924388,1.0508168857624491,1.0418075620216225
2023-10-20,1.0273442627290483,1.0237085216059143,1.0149316151702144
2023-10-23,1.0279243634159851,1.0242810950234371,1.0154992795504412
2023-10-24,1.0396165703886633,1.036305578451536,1.027420669408682
2023-10-25,1.0228727157940878,1.019503127584158,1.01076227667508
2023-10-26,0.9943904050486686,0.9909781795719984,0.982481891245435
2023-10-27,1.002083535288593,0.998635379639344,0.9900734412501584
2023-10-30,0.99294974195196,0.9920927397255154,0.9703033999231736
2023-10-31,1.011709744462542,1.0104359080369896,0.9797350755377962
2023-11-01,1.032412302999164,1.0351874794589562,0.9852726997203266
2023-11-02,1.0640176382917277,1.0684358005199308,1.0153409834436191
2023-11-03,1.090801473198445,1.0954304656502734,1.029904327766138
2023-11-06,1.0830343147325023,1.087992240243996,1.0219847484378604
2023-11-07,1.084775855362191,1.091166732408789,1.0330817618537045
2023-11-08,1.0830368178063463,1.0894063757281247,1.0276006343839932
2023-11-09,1.0541580240362698,1.062568202859829,1.0022061291376363
2023-11-10,1.0551125713264964,1.0671358495833434,1.0144856476547242
2023-11-13,1.0670704177910306,1.0718977616151302,1.0228157615728048
2023-11-14,1.1090277975902687,1.108674066333338,1.0511511131447138
2023-11-15,1.147097631885895,1.168694011392914,1.0769660444787392
2023-11-16,1.1288975657627305,1.1498730149126797,1.055670074179598
2023-11-17,1.1343140985562672,1.1560575513732858,1.0616791842698476
2023-11-20,1.140607789425103,1.16247188481425,1.0675698635765554
2023-11-21,1.167718965200701,1.1901027496001857,1.0929449964596505
2023-11-22,1.1338784002482938,1.155613501246699,1.0612713855615483
2023-11-24,1.1398815517062686,1.1617317259816842,1.0668901299208602
2023-11-27,1.1429315876065056,1.1648402274443006,1.0697448591626804
2023-11-28,1.194442902839575,1.2173389533546584,1.11795768769661
2023-11-29,1.1819523675721908,1.2046089893747227,1.10626697406566
2023-11-30,1.1665105605277444,1.188637157651013,1.0873503427315594
2023-12-01,1.1789024126195735,1.2030746552808234,1.0982590066433588
2023-12-04,1.157589984473277,1.185108276531658,1.0844117109075904
2023-12-05,1.173748571370722,1.2012452847006527,1.0928820225740563
2023-12-06,1.1500378440906325,1.1787450967630295,1.0839144670197536
2023-12-07,1.1650254773003226,1.1935409378624988,1.096396354353608
2023-12-08,1.173519137404566,1.201614613562163,1.1043328328038386
2023-12-11,1.1862164700412672,1.2140531183803644,1.106628901168349
2023-12-12,1.176717534683572,1.20500239688965,1.100332459657602
2023-12-13,1.1887684447166718,1.2197773686566704,1.1091198262735404
2023-12-14,1.1907385903620058,1.2222919595703985,1.108087525519945
2023-12-15,1.1911318122722874,1.2257640377025725,1.1123330125594466
2023-12-18,1.1898373429183082,1.2244319315782397,1.1111241782546766
2023-12-19,1.2168723352390989,1.2522529678438838,1.1363706825817996
2023-12-20,1.191728422306468,1.2266457183476538,1.1145937261240884
2023-12-21,1.2044840506568455,1.2406544959068773,1.1313163336455825
2023-12-22,1.19555139995616,1.2315753885502232,1.1298875012293703
2023-12-26,1.199980503274965,1.2363079385442066,1.137330327075209
2023-12-27,1.2004259536520483,1.2371751166182698,1.1404377694187835
2023-12-28,1.1964754478752446,1.2330209846624347,1.1405000601003183
2023-12-29,1.184824839497848,1.2212541002962738,1.1382764213864374
2024-01-02,1.170178621207448,1.2048223169239978,1.1258242753331371
2024-01-03,1.1346352332556588,1.1695136527796604,1.0900639607567328
2024-01-04,1.125023217146841,1.159375341737751,1.0811093500850275
2024-01-05,1.13130956659135,1.1653341205805308,1.087780410921407
2024-01-08,1.169727379591263,1.202681916740857,1.1309473952645677
2024-01-09,1.171609505597724,1.202419939459496,1.1357440295244772
2024-01-10,1.1814052199313134,1.212702863365942,1.1543675736037398
2024-01-11,1.182474999370047,1.210176976698196,1.1712274966867195
2024-01-12,1.1778582704084053,1.2057798881906352,1.165385990602813
2024-01-16,1.177473014637709,1.2023439007835943,1.164669181518372
2024-01-17,1.1712085370070346,1.1956942928643752,1.1561187611927697
2024-01-18,1.1687464002390102,1.1954833131726204,1.1676763915848622
2024-01-19,1.184041865994036,1.2117745994989433,1.1969079922905983
2024-01-22,1.1747986524303131,1.2064349995724608,1.182778792252696
2024-01-23,1.190210247613479,1.2218994629274784,1.192476709525757
2024-01-24,1.198420176052516,1.2280051152356697,1.2072446912614705
2024-01-25,1.200551126928093,1.227173238010652,1.2011577731453915
2024-01-26,1.1862617382801872,1.2092830511026404,1.191740912343173
2024-01-29,1.209826388790822,1.234821188613951,1.2171036141379477
2024-01-30,1.2057374538667864,1.2309396521981104,1.2133680769629946
2024-01-31,1.1865141399449024,1.2113145345763487,1.2160843195069906
2024-02-01,1.1968503507779007,1.2218667918086457,1.2234138981235154
2024-02-02,1.172968225717737,1.1974854850647667,1.2172269012177468
2024-02-05,1.1341000155763974,1.157804855654519,1.2116650594987617
2024-02-06,1.165217028853324,1.1860946206179446,1.2484258980995522
2024-02-07,1.1611804629386084,1.1827319033598334,1.2491849998502496
2024-02-08,1.149789903986371,1.1954765380475163,1.2297241415286817
2024-02-09,1.1792852895378694,1.2191202436690836,1.2521498493045926
2024-02-12,1.1947218767179544,1.2352880359386802,1.2594644001809732
2024-02-13,1.1530873617356334,1.193400244238012,1.2324590580215913
2024-02-14,1.1837388304882528,1.2252470240492224,1.2612869474907922
2024-02-15,1.222625460042921,1.2646521775616606,1.294523034108879
2024-02-16,1.19616900288511,1.2334672686771917,1.2800453664472944
2024-02-20,1.1665895271310291,1.2227755890642331,1.2535913781774968
2024-02-21,1.1638444091078228,1.2279916798575357,1.2517968927899628
2024-02-22,1.2152699644737552,1.2623990336100093,1.3146182969472784
2024-02-23,1.2096905195916976,1.2487553151382715,1.3154962048897256
2024-02-26,1.2319612567199876,1.2652844595408907,1.3429744664693752
2024-02-27,1.2434183025911083,1.2717791982549276,1.3474286720965365
2024-02-28,1.2360079649453015,1.2625635745782628,1.3427596856887876
2024-02-29,1.1887246965619078,1.2329750732724394,1.3552554019445948
2024-03-01,1.1961115111371992,1.244106774657896,1.3721504217395204
2024-03-04,1.195587862327942,1.239491029660195,1.3701799882232484
2024-03-05,1.162965123248005,1.2050606282877412,1.331250923707829
2024-03-06,1.175535157134008,1.2160379886407235,1.343437175688598
2024-03-07,1.1907090528187738,1.2340769451977425,1.3458156240888657
2024-03-08,1.1934710703651,1.2366858507780605,1.3428445973825502
2024-03-11,1.20996263534129,1.2574354044718354,1.3543791508079306
2024-03-12,1.2121124101826024,1.262815622503242,1.3484857919357969
2024-03-13,1.2187835464919283,1.2639289473702755,1.325308760581127
2024-03-14,1.2216507021712233,1.276537127234082,1.2890170807049022
2024-03-15,1.2146143185615266,1.271085171272662,1.285523237738841
2024-03-18,1.238005076314289,1.3020799915326071,1.3116254065347228
2024-03-19,1.246761354573977,1.3094637564782876,1.3152559490197946
2024-03-20,1.2649964794133384,1.327776344535235,1.33467974941086
2024-03-21,1.27401457823488,1.334095896724084,1.3491892761314146
2024-03-22,1.2820184494195883,1.338402154428194,1.3467649782717854
2024-03-25,1.2804635054101228,1.3335894683329974,1.3423831432796065
2024-03-26,1.2824763231336893,1.3415997678725278,1.3489857808207528
2024-03-27,1.289153605648352,1.359780827031443,1.3696020806747926
2024-03-28,1.2862629187645032,1.3571488904362432,1.366987799414914
2024-04-01,1.290347552082351,1.35877849205575,1.3567622822606984
2024-04-02,1.267906951091669,1.327969617078084,1.3364263277932036
2024-04-03,1.263490226661713,1.3038170099844455,1.338783262301805
2024-04-04,1.2675242146224326,1.3095213083043606,1.3338632942270596
2024-04-05,1.2638907437215725,1.3056274734982225,1.3339149321515509
2024-04-08,1.2826504791856552,1.3280759476100197,1.3476323424032288
2024-04-09,1.2964226434577495,1.3460621526718024,1.3567111072449507
2024-04-10,1.2782099064155412,1.326803194135548,1.3375679171912112
2024-04-11,1.26184785958243,1.3196762345221362,1.3500204686321997
2024-04-12,1.2308718916447148,1.289384189285744,1.3267432109130348
2024-04-15,1.1893603218144089,1.2496954373249642,1.2858711471174995
2024-04-16,1.1841465045489594,1.244938258361307,1.2770524796963183
2024-04-17,1.1635286010607135,1.2273847304005503,1.261422432013334
2024-04-18,1.157327528687579,1.2197742399130662,1.2437993290968954
2024-04-19,1.138280222250813,1.1990952467678166,1.1696347049417366
2024-04-22,1.1492976005327786,1.2039763291253958,1.1795094693979946
2024-04-23,1.1786498167020454,1.2299127972736972,1.2015461454223428
2024-04-24,1.2006657937632108,1.2586982047786226,1.2267884912872489
2024-04-25,1.2309567760972395,1.2934819468135867,1.2595564767253478
2024-04-26,1.2507292454089112,1.3140644980111047,1.2766722418009806
2024-04-29,1.3158749599881343,1.3867774347427355,1.3358674771051502
2024-04-30,1.2751236151929846,1.344591292075868,1.294536045519277
2024-05-01,1.2535055840244598,1.319391798066346,1.273280882188511
2024-05-02,1.2829369007580504,1.3474569750207412,1.2920829606549615
2024-05-03,1.308178814625329,1.3692214443960635,1.3099058186036
2024-05-06,1.3228722401035755,1.3853961699405128,1.3162340706626847
2024-05-07,1.3278920203757665,1.3891665965032227,1.3141840292072164
2024-05-08,1.3135477391133257,1.3753758964954763,1.3019486236909783
2024-05-09,1.3272195360040362,1.3886717114157503,1.3090715516503737
2024-05-10,1.303818664195849,1.3666238601686769,1.2991908648171402
2024-05-13,1.32230839465247,1.384587099661344,1.3136222378976108
2024-05-14,1.3368285650832932,1.3994360168603002,1.3241748144635888
2024-05-15,1.300381775545929,1.366406851640906,1.3354689186428252
2024-05-16,1.2243640493408448,1.2968179619269733,1.333930875662214
2024-05-17,1.224539074398061,1.3016248698886812,1.3347140300730045
2024-05-20,1.2417648651523057,1.319935039092751,1.3534896698867798
2024-05-21,1.2432394425801494,1.3215024424470303,1.3550969188692914
2024-05-22,1.242862328255956,1.3211015884494537,1.3546858745915171
2024-05-23,1.2704218556460902,1.3503960119622436,1.38472500412103
2024-05-24,1.2749020191607776,1.355158205651123,1.3896082595639108
2024-05-28,1.3008852638846704,1.382777118138377,1.4179292841885007
2024-05-29,1.2963854349608268,1.3779673343611425,1.412924941625589
2024-05-30,1.2844650718295227,1.365517067546503,1.406942687207462
2024-05-31,1.2860998702009534,1.3672244420593709,1.4083882316131129
2024-06-03,1.3104088382694534,1.3934048125976584,1.4423041992294354
2024-06-04,1.3183884408454911,1.4002614888530396,1.4520482265358643
2024-06-05,1.3258988884344038,1.4041175222663755,1.4617528989016213
2024-06-06,1.319775576034339,1.398680472396196,1.4553500626880116
2024-06-07,1.3234603237324498,1.402585518636361,1.4616973665780173
2024-06-10,1.3157443080415625,1.3944081885906152,1.4526444401675516
2024-06-11,1.2912053509985175,1.36840213070295,1.426954047510398
2024-06-12,1.324511049924154,1.403686648063343,1.4707288063271189
2024-06-13,1.3416282305136122,1.4212675208513936,1.497856075005143
2024-06-14,1.3408253750894663,1.418161298746978,1.4930424487288356
2024-06-17,1.3586130710162307,1.4369749507152916,1.52749451015456
